,DBA,borough,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,score,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
0,MORRIS PARK BAKE SHOP,Bronx,10462,Bakery,11/4/2019,04N,Y,1,11/4/2019,40.84823122,-73.85597189,211,13,25200,2045445,2041270037,BX37
1,WENDY'S,Brooklyn,11225,Hamburgers,3/4/2019,02G,Y,1,3/4/2019,40.66265152,-73.96208137,309,40,32700,3029737,3011970017,BK60
2,DJ REYNOLDS PUB AND RESTAURANT,Manhattan,10019,Irish,6/6/2019,06C,Y,1,6/6/2019,40.76732571,-73.98431042,104,3,13900,1026048,1010480008,MN15
3,RIVIERA CATERERS,Brooklyn,11224,American,11/8/2019,06D,Y,1,11/8/2019,40.57992037,-73.98209025,313,47,34800,3347399,3069970098,BK21
4,BRUNOS ON THE BOULEVARD,Queens,11369,American,10/6/2018,04N,Y,0,,40.76397135,-73.88097314,403,22,32900,4024132,4011000037,QN28
5,WILKEN'S FINE FOOD,Brooklyn,11234,Delicatessen,5/3/2019,06C,Y,1,5/3/2019,40.62011159,-73.90698949,318,46,70000,3237693,3084310041,BK45
6,TASTE THE TROPICS ICE CREAM,Brooklyn,11226,"Ice Cream, Gelato, Yogurt, Ices",5/31/2019,10F,N,1,5/31/2019,40.64079502,-73.94848798,317,45,82800,3112318,3049640001,BK95
7,WILD ASIA,Bronx,10460,American,5/22/2019,04L,Y,1,5/22/2019,40.85055596,-73.88245143,206,15,33400,2116700,2031200020,BX99
8,1 EAST 66TH STREET KITCHEN,Manhattan,10065,American,10/1/2019,04H,Y,1,10/1/2019,40.76854691,-73.96958058,108,4,12200,1041159,1013810001,MN40
9,NATHAN'S FAMOUS,Brooklyn,11224,Hotdogs,4/6/2019,10F,N,1,4/6/2019,40.57553687,-73.98165226,313,47,35200,3189660,3070740340,BK21
10,SEUDA FOODS,Brooklyn,11223,Jewish/Kosher,12/6/2019,06D,Y,1,12/6/2019,40.60618692,-73.96546645,315,44,41800,3177501,3066640028,BK25
11,CARVEL ICE CREAM,Brooklyn,11218,"Ice Cream, Gelato, Yogurt, Ices",9/16/2019,08A,N,1,9/16/2019,40.64332972,-73.97818872,312,39,49600,3124566,3053350041,BK41
12,CARVEL ICE CREAM,Queens,11004,"Ice Cream, Gelato, Yogurt, Ices",3/19/2019,10F,N,1,3/19/2019,40.73836796,-73.70351065,413,23,157901,4179545,4087770025,QN44
13,SAL'S DELI,Queens,11356,Delicatessen,5/16/2019,22G,,1,5/16/2019,40.78167384,-73.83941598,407,19,90700,4099345,4041740023,QN23
14,STEVE CHU'S DELI & GROCERY,Queens,11106,Delicatessen,7/15/2019,06F,Y,1,7/15/2019,40.76457121,-73.93882546,401,26,3900,4003862,4003240031,QN68
15,P & S DELI GROCERY,Manhattan,10025,American,5/13/2019,04H,Y,1,5/13/2019,40.79262064,-73.96770962,107,6,18100,1082743,1012260029,MN12
16,ANGELIKA FILM CENTER,Manhattan,10012,American,12/16/2019,06C,Y,0,,40.72574362,-73.99747811,102,1,5501,1008240,1005230048,MN23
17,HO MEI RESTAURANT,Queens,11368,Chinese,2/7/2019,02G,Y,1,2/7/2019,40.75330591,-73.86429538,403,21,37900,4043399,4017450030,QN26
18,THE COUNTRY CAFE,Manhattan,10005,Sandwiches/Salads/Mixed Buffet,1/2/2020,04N,Y,0,1/2/2020,40.70590688,-74.00860938,101,1,700,1001004,1000400003,MN25
19,SHASHEMENE INT'L RESTAURANT,Brooklyn,11203,Caribbean,6/14/2019,06C,Y,1,6/14/2019,40.65198322,-73.92457494,317,41,93800,3103101,3047040001,BK96
20,DUNKIN',Brooklyn,11201,Donuts,11/18/2019,10F,N,1,11/18/2019,40.69216379,-73.99117243,302,33,900,3397831,3002657502,BK09
21,CAFE METRO,Manhattan,10018,American,5/10/2019,02B,Y,1,5/10/2019,40.75618542,-73.99056473,104,3,11500,1083268,1010320029,MN15
22,LEXLER DELI,Manhattan,10174,Sandwiches/Salads/Mixed Buffet,8/3/2018,09A,N,1,8/3/2018,40.75181634,-73.97576011,106,4,9200,1036156,1012970023,MN19
23,BAGELS N BUNS,Staten Island,10314,Delicatessen,12/3/2019,10F,N,1,12/3/2019,40.61026786,-74.14640121,501,50,18901,5000000,5004860001,SI07
24,HOT BAGELS,Queens,11379,Bagels/Pretzels,8/22/2019,06A,Y,1,8/22/2019,40.7132078,-73.87410229,405,30,65703,4437624,4030690069,QN21
25,LORENZO & MARIA'S KITCHEN,Manhattan,10028,Continental,12/3/2019,04L,Y,1,12/3/2019,40.77528111,-73.95657589,108,5,14000,1047523,1015090035,MN40
26,BERKELEY,Manhattan,10022,American,1/23/2019,10B,N,1,1/23/2019,40.75751173,-73.97582661,105,4,10200,1035455,1012850021,MN17
27,CARVEL ICE CREAM,Staten Island,10305,"Ice Cream, Gelato, Yogurt, Ices",10/1/2019,10F,N,1,10/1/2019,40.59855313,-74.07964601,502,50,6400,5047319,5032270002,SI14
28,NEW GOLDEN BILLION,Brooklyn,11212,Chinese,1/31/2019,10I,N,1,1/31/2019,40.66214059,-73.92718021,317,41,88200,3099886,3046110006,BK96
29,DOMINO'S,Manhattan,10023,Pizza,1/13/2020,04A,Y,1,1/13/2020,40.77807357,-73.9804011,107,6,15700,1081483,1011430049,MN14
30,SPOONBREAD TOO,Manhattan,10025,Soul Food,5/18/2019,,,1,,40.80137127,-73.96015994,107,7,19300,1055741,1018450003,MN09
31,KOSHER BAGEL HOLE,Brooklyn,11230,Jewish/Kosher,11/27/2019,10F,N,1,11/27/2019,40.62511113,-73.96203434,314,44,53000,3179615,3067070043,BK43
