trial__id,race,struck_state,defendant_race,same_race,struck_by
4,Black,Not struck by State,White,different race,Juror chosen to serve on jury
4,Black,Struck by State,White,different race,Struck by the state
4,White,Not struck by State,White,same race,Juror chosen to serve on jury
4,White,Not struck by State,White,same race,Struck by the defense
4,Black,Struck by State,White,different race,Struck by the state
4,White,Not struck by State,White,same race,Juror chosen to serve on jury
4,Black,Struck by State,White,different race,Struck by the state
4,White,Not struck by State,White,same race,Struck by the defense
4,White,Not struck by State,White,same race,Juror chosen to serve on jury
4,White,Not struck by State,White,same race,Struck by the defense
4,White,Not struck by State,White,same race,Juror chosen to serve on jury
4,White,Not struck by State,White,same race,Struck by the defense
301,Black,Struck by State,Black,same race,Struck by the state
5,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
5,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
5,White,Not struck by State,Black,different race,Struck by the defense
5,Black,Struck by State,Black,same race,Struck by the state
5,White,Not struck by State,Black,different race,Juror chosen to serve on jury
5,Black,Struck by State,Black,same race,Struck by the state
5,White,Not struck by State,Black,different race,Struck by the defense
5,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
5,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
5,White,Not struck by State,Black,different race,Juror chosen to serve on jury
5,White,Not struck by State,Black,different race,Juror chosen to serve on jury
5,White,Not struck by State,Black,different race,Juror chosen to serve on jury
5,White,Struck by State,Black,different race,Struck by the state
6,White,Struck by State,White,same race,Struck by the state
7,Black,Struck by State,White,different race,Struck by the state
7,White,Not struck by State,White,same race,Juror chosen to serve on jury
7,White,Struck by State,White,same race,Struck by the state
269,Black,Struck by State,Black,same race,Struck by the state
8,Black,Struck by State,Black,same race,Struck by the state
7,White,Not struck by State,White,same race,Struck by the defense
301,Black,Not struck by State,Black,same race,Struck by the defense
102,White,Not struck by State,Black,different race,Juror chosen to serve on jury
36,Black,Not struck by State,White,different race,Struck by the defense
58,White,Not struck by State,Black,different race,Juror chosen as alternate
161,White,Not struck by State,Black,different race,Struck by the defense
161,White,Not struck by State,Black,different race,Struck by the defense
161,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
161,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
161,Black,Struck by State,Black,same race,Struck by the state
161,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
161,White,Not struck by State,Black,different race,Struck by the defense
161,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
161,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
161,White,Struck by State,Black,different race,Struck by the state
161,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
161,Black,Struck by State,Black,same race,Struck by the state
161,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
161,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
161,White,Not struck by State,Black,different race,Juror chosen as alternate
22,White,Not struck by State,Black,different race,Juror chosen to serve on jury
22,White,Not struck by State,Black,different race,Juror chosen to serve on jury
166,White,Not struck by State,Black,different race,Juror chosen to serve on jury
166,Black,Struck by State,Black,same race,Struck by the state
166,Black,Struck by State,Black,same race,Struck by the state
166,White,Not struck by State,Black,different race,Juror chosen to serve on jury
166,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
166,Black,Struck by State,Black,same race,Struck by the state
166,White,Not struck by State,Black,different race,Juror chosen to serve on jury
166,White,Not struck by State,Black,different race,Juror chosen to serve on jury
59,Black,Struck by State,Black,same race,Struck by the state
59,White,Not struck by State,Black,different race,Juror chosen to serve on jury
59,White,Struck by State,Black,different race,Struck by the state
59,Black,Struck by State,Black,same race,Struck by the state
59,White,Not struck by State,Black,different race,Juror chosen as alternate
71,Black,Not struck by State,Black,same race,Juror chosen as alternate
71,Black,Struck by State,Black,same race,Struck by the state
71,Black,Struck by State,Black,same race,Struck by the state
71,White,Not struck by State,Black,different race,Struck by the defense
71,White,Not struck by State,Black,different race,Juror chosen to serve on jury
71,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
71,White,Not struck by State,Black,different race,Struck by the defense
71,White,Not struck by State,Black,different race,Juror chosen to serve on jury
71,White,Not struck by State,Black,different race,Struck by the defense
71,Black,Struck by State,Black,same race,Struck by the state
71,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
71,White,Not struck by State,Black,different race,Juror chosen to serve on jury
71,Black,Struck by State,Black,same race,Struck by the state
71,White,Not struck by State,Black,different race,Juror chosen to serve on jury
71,Black,Struck by State,Black,same race,Struck by the state
71,White,Not struck by State,Black,different race,Struck by the defense
71,Black,Struck by State,Black,same race,Struck by the state
71,White,Not struck by State,Black,different race,Struck by the defense
71,White,Not struck by State,Black,different race,Juror chosen to serve on jury
71,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
237,Black,Struck by State,Black,same race,Struck by the state
237,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
237,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
237,Black,Struck by State,Black,same race,Struck by the state
237,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
237,Black,Struck by State,Black,same race,Struck by the state
170,White,Not struck by State,White,same race,Juror chosen to serve on jury
170,White,Not struck by State,White,same race,Juror chosen to serve on jury
170,Black,Not struck by State,White,different race,Juror chosen to serve on jury
170,Black,Struck by State,White,different race,Struck by the state
170,White,Not struck by State,White,same race,Juror chosen to serve on jury
170,White,Not struck by State,White,same race,Struck by the defense
170,Black,Not struck by State,White,different race,Struck by the defense
170,Black,Not struck by State,White,different race,Juror chosen to serve on jury
170,White,Not struck by State,White,same race,Juror chosen to serve on jury
170,Black,Not struck by State,White,different race,Juror chosen to serve on jury
170,Black,Not struck by State,White,different race,Juror chosen to serve on jury
170,White,Not struck by State,White,same race,Struck by the defense
170,White,Not struck by State,White,same race,Juror chosen to serve on jury
170,White,Struck by State,White,same race,Struck by the state
170,White,Not struck by State,White,same race,Struck by the defense
170,White,Not struck by State,White,same race,Struck by the defense
170,Black,Struck by State,White,different race,Struck by the state
170,White,Not struck by State,White,same race,Juror chosen to serve on jury
170,Black,Struck by State,White,different race,Struck by the state
170,Black,Struck by State,White,different race,Struck by the state
170,White,Not struck by State,White,same race,Struck by the defense
4,Black,Not struck by State,White,different race,Juror chosen to serve on jury
38,White,Not struck by State,Black,different race,Juror chosen to serve on jury
38,White,Not struck by State,Black,different race,Struck by the defense
38,White,Not struck by State,Black,different race,Struck by the defense
38,White,Not struck by State,Black,different race,Struck by the defense
38,White,Not struck by State,Black,different race,Struck by the defense
38,White,Not struck by State,Black,different race,Struck by the defense
38,White,Struck by State,Black,different race,Struck by the state
38,White,Not struck by State,Black,different race,Struck by the defense
38,White,Not struck by State,Black,different race,Juror chosen to serve on jury
38,White,Not struck by State,Black,different race,Juror chosen to serve on jury
38,White,Not struck by State,Black,different race,Juror chosen to serve on jury
38,White,Struck by State,Black,different race,Struck by the state
38,White,Not struck by State,Black,different race,Struck by the defense
38,White,Not struck by State,Black,different race,Struck by the defense
38,White,Not struck by State,Black,different race,Struck by the defense
172,White,Struck by State,Black,different race,Struck by the state
172,White,Not struck by State,Black,different race,Struck by the defense
172,White,Not struck by State,Black,different race,Struck by the defense
172,White,Not struck by State,Black,different race,Struck by the defense
172,White,Not struck by State,Black,different race,Juror chosen to serve on jury
172,White,Not struck by State,Black,different race,Struck by the defense
172,White,Not struck by State,Black,different race,Juror chosen to serve on jury
172,White,Not struck by State,Black,different race,Struck by the defense
172,White,Not struck by State,Black,different race,Juror chosen to serve on jury
172,White,Not struck by State,Black,different race,Juror chosen to serve on jury
172,White,Struck by State,Black,different race,Struck by the state
172,White,Struck by State,Black,different race,Struck by the state
172,White,Struck by State,Black,different race,Struck by the state
172,White,Not struck by State,Black,different race,Juror chosen to serve on jury
172,White,Not struck by State,Black,different race,Juror chosen to serve on jury
172,White,Not struck by State,Black,different race,Struck by the defense
172,Black,Struck by State,Black,same race,Struck by the state
45,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
45,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
45,White,Not struck by State,Black,different race,Struck by the defense
47,White,Not struck by State,Black,different race,Struck by the defense
47,White,Not struck by State,Black,different race,Juror chosen to serve on jury
47,White,Not struck by State,Black,different race,Struck by the defense
47,White,Not struck by State,Black,different race,Struck by the defense
47,Black,Struck by State,Black,same race,Struck by the state
47,White,Not struck by State,Black,different race,Struck by the defense
47,White,Not struck by State,Black,different race,Juror chosen to serve on jury
52,White,Not struck by State,Black,different race,Juror chosen to serve on jury
52,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
52,White,Not struck by State,Black,different race,Juror chosen as alternate
245,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
245,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
245,White,Not struck by State,Black,different race,Juror chosen to serve on jury
245,White,Not struck by State,Black,different race,Juror chosen to serve on jury
245,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
245,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
245,White,Not struck by State,Black,different race,Juror chosen to serve on jury
245,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
245,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
245,White,Not struck by State,Black,different race,Juror chosen to serve on jury
245,White,Not struck by State,Black,different race,Juror chosen to serve on jury
245,White,Not struck by State,Black,different race,Juror chosen to serve on jury
245,White,Not struck by State,Black,different race,Juror chosen as alternate
245,Black,Not struck by State,Black,same race,Juror chosen as alternate
58,Black,Struck by State,Black,same race,Struck by the state
59,White,Not struck by State,Black,different race,Struck by the defense
59,White,Not struck by State,Black,different race,Struck by the defense
59,White,Not struck by State,Black,different race,Juror chosen to serve on jury
59,White,Not struck by State,Black,different race,Struck by the defense
59,Black,Struck by State,Black,same race,Struck by the state
59,White,Not struck by State,Black,different race,Juror chosen to serve on jury
59,White,Not struck by State,Black,different race,Struck by the defense
59,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
59,White,Struck by State,Black,different race,Struck by the state
59,White,Not struck by State,Black,different race,Juror chosen to serve on jury
59,Black,Struck by State,Black,same race,Struck by the state
59,White,Not struck by State,Black,different race,Juror chosen to serve on jury
59,White,Not struck by State,Black,different race,Juror chosen to serve on jury
59,White,Not struck by State,Black,different race,Struck by the defense
59,White,Not struck by State,Black,different race,Juror chosen to serve on jury
117,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
117,Black,Struck by State,Black,same race,Struck by the state
61,White,Not struck by State,White,same race,Struck by the defense
59,White,Not struck by State,Black,different race,Juror chosen to serve on jury
61,White,Not struck by State,White,same race,Juror chosen to serve on jury
61,Black,Struck by State,White,different race,Struck by the state
61,Black,Struck by State,White,different race,Struck by the state
61,Black,Not struck by State,White,different race,Juror chosen to serve on jury
61,White,Not struck by State,White,same race,Juror chosen to serve on jury
61,Black,Not struck by State,White,different race,Juror chosen to serve on jury
117,White,Not struck by State,Black,different race,Juror chosen to serve on jury
117,White,Not struck by State,Black,different race,Struck by the defense
117,White,Not struck by State,Black,different race,Struck by the defense
117,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
117,White,Not struck by State,Black,different race,Juror chosen to serve on jury
117,White,Not struck by State,Black,different race,Juror chosen to serve on jury
117,White,Not struck by State,Black,different race,Juror chosen to serve on jury
117,White,Not struck by State,Black,different race,Juror chosen to serve on jury
117,White,Not struck by State,Black,different race,Juror chosen to serve on jury
117,Black,Struck by State,Black,same race,Struck by the state
117,White,Not struck by State,Black,different race,Juror chosen to serve on jury
117,White,Not struck by State,Black,different race,Juror chosen to serve on jury
117,White,Struck by State,Black,different race,Struck by the state
117,White,Not struck by State,Black,different race,Juror chosen to serve on jury
117,White,Not struck by State,Black,different race,Juror chosen to serve on jury
61,White,Not struck by State,White,same race,Juror chosen to serve on jury
61,Black,Struck by State,White,different race,Struck by the state
61,Black,Not struck by State,White,different race,Juror chosen to serve on jury
61,Black,Struck by State,White,different race,Struck by the state
61,White,Not struck by State,White,same race,Juror chosen to serve on jury
61,Black,Struck by State,White,different race,Struck by the state
61,White,Not struck by State,White,same race,Struck by the defense
61,White,Not struck by State,White,same race,Juror chosen to serve on jury
61,White,Not struck by State,White,same race,Juror chosen to serve on jury
61,White,Not struck by State,White,same race,Struck by the defense
61,White,Not struck by State,White,same race,Struck by the defense
61,White,Not struck by State,White,same race,Juror chosen to serve on jury
61,White,Not struck by State,White,same race,Juror chosen to serve on jury
61,White,Not struck by State,White,same race,Juror chosen to serve on jury
61,White,Not struck by State,White,same race,Juror chosen as alternate
117,White,Struck by State,Black,different race,Struck by the state
68,White,Not struck by State,White,same race,Struck by the defense
38,White,Not struck by State,Black,different race,Juror chosen to serve on jury
73,White,Not struck by State,Black,different race,Struck by the defense
73,White,Not struck by State,Black,different race,Juror chosen to serve on jury
74,White,Not struck by State,White,same race,Juror chosen to serve on jury
74,White,Not struck by State,White,same race,Struck by the defense
74,Black,Struck by State,White,different race,Struck by the state
74,White,Not struck by State,White,same race,Struck by the defense
74,White,Struck by State,White,same race,Struck by the state
74,White,Not struck by State,White,same race,Juror chosen to serve on jury
74,Black,Not struck by State,White,different race,Juror chosen to serve on jury
74,White,Not struck by State,White,same race,Struck by the defense
74,White,Not struck by State,White,same race,Struck by the defense
74,White,Not struck by State,White,same race,Struck by the defense
74,White,Not struck by State,White,same race,Struck by the defense
74,White,Not struck by State,White,same race,Struck by the defense
74,White,Not struck by State,White,same race,Juror chosen to serve on jury
74,Black,Not struck by State,White,different race,Juror chosen to serve on jury
74,Black,Not struck by State,White,different race,Juror chosen to serve on jury
73,White,Not struck by State,Black,different race,Struck by the defense
8,White,Struck by State,Black,different race,Struck by the state
8,Black,Struck by State,Black,same race,Struck by the state
8,White,Not struck by State,Black,different race,Juror chosen to serve on jury
8,White,Not struck by State,Black,different race,Juror chosen to serve on jury
8,White,Not struck by State,Black,different race,Struck by the defense
8,White,Not struck by State,Black,different race,Struck by the defense
8,White,Struck by State,Black,different race,Struck by the state
8,Black,Struck by State,Black,same race,Struck by the state
8,White,Not struck by State,Black,different race,Juror chosen to serve on jury
82,White,Not struck by State,Black,different race,Struck by the defense
82,Black,Struck by State,Black,same race,Struck by the state
82,White,Not struck by State,Black,different race,Juror chosen to serve on jury
82,Black,Not struck by State,Black,same race,Struck by the defense
82,Black,Not struck by State,Black,same race,Struck by the defense
82,White,Struck by State,Black,different race,Struck by the state
82,Black,Not struck by State,Black,same race,Struck by the defense
8,White,Not struck by State,Black,different race,Struck by the defense
82,White,Not struck by State,Black,different race,Struck by the defense
82,White,Not struck by State,Black,different race,Struck by the defense
82,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
82,Black,Not struck by State,Black,same race,Struck by the defense
82,White,Not struck by State,Black,different race,Juror chosen to serve on jury
82,White,Not struck by State,Black,different race,Struck by the defense
82,Black,Not struck by State,Black,same race,Struck by the defense
82,White,Not struck by State,Black,different race,Struck by the defense
8,Black,Struck by State,Black,same race,Struck by the state
82,Black,Struck by State,Black,same race,Struck by the state
82,White,Not struck by State,Black,different race,Juror chosen to serve on jury
82,White,Not struck by State,Black,different race,Juror chosen to serve on jury
82,White,Not struck by State,Black,different race,Juror chosen to serve on jury
82,Black,Struck by State,Black,same race,Struck by the state
82,White,Not struck by State,Black,different race,Juror chosen to serve on jury
82,White,Not struck by State,Black,different race,Juror chosen to serve on jury
82,Black,Struck by State,Black,same race,Struck by the state
82,White,Not struck by State,Black,different race,Juror chosen to serve on jury
82,Black,Struck by State,Black,same race,Struck by the state
82,Black,Struck by State,Black,same race,Struck by the state
76,White,Not struck by State,Black,different race,Juror chosen as alternate
76,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
82,White,Not struck by State,Black,different race,Struck by the defense
82,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
82,White,Not struck by State,Black,different race,Juror chosen to serve on jury
82,White,Not struck by State,Black,different race,Juror chosen to serve on jury
82,White,Not struck by State,Black,different race,Struck by the defense
82,White,Struck by State,Black,different race,Struck by the state
82,Black,Not struck by State,Black,same race,Juror chosen as alternate
82,Black,Not struck by State,Black,same race,Juror chosen as alternate
79,White,Not struck by State,Black,different race,Struck by the defense
79,White,Not struck by State,Black,different race,Struck by the defense
79,Black,Not struck by State,Black,same race,Struck by the defense
224,Black,Struck by State,Black,same race,Struck by the state
224,Black,Struck by State,Black,same race,Struck by the state
224,White,Not struck by State,Black,different race,Juror chosen to serve on jury
224,White,Not struck by State,Black,different race,Juror chosen to serve on jury
224,White,Not struck by State,Black,different race,Juror chosen to serve on jury
224,White,Not struck by State,Black,different race,Juror chosen to serve on jury
224,White,Not struck by State,Black,different race,Juror chosen to serve on jury
224,White,Not struck by State,Black,different race,Juror chosen to serve on jury
224,White,Not struck by State,Black,different race,Juror chosen to serve on jury
8,White,Not struck by State,Black,different race,Struck by the defense
8,White,Not struck by State,Black,different race,Juror chosen to serve on jury
80,White,Struck by State,White,same race,Struck by the state
80,White,Not struck by State,White,same race,Juror chosen to serve on jury
80,White,Not struck by State,White,same race,Juror chosen to serve on jury
80,White,Not struck by State,White,same race,Juror chosen to serve on jury
80,Black,Struck by State,White,different race,Struck by the state
80,Black,Struck by State,White,different race,Struck by the state
8,White,Not struck by State,Black,different race,Juror chosen to serve on jury
8,White,Struck by State,Black,different race,Struck by the state
8,White,Not struck by State,Black,different race,Juror chosen to serve on jury
8,White,Not struck by State,Black,different race,Struck by the defense
8,White,Not struck by State,Black,different race,Juror chosen to serve on jury
8,Black,Struck by State,Black,same race,Struck by the state
8,White,Not struck by State,Black,different race,Struck by the defense
8,White,Struck by State,Black,different race,Struck by the state
8,White,Not struck by State,Black,different race,Struck by the defense
8,White,Not struck by State,Black,different race,Juror chosen to serve on jury
8,White,Not struck by State,Black,different race,Juror chosen to serve on jury
8,White,Struck by State,Black,different race,Struck by the state
8,White,Not struck by State,Black,different race,Struck by the defense
8,White,Not struck by State,Black,different race,Juror chosen to serve on jury
8,White,Struck by State,Black,different race,Struck by the state
8,Black,Struck by State,Black,same race,Struck by the state
80,Black,Not struck by State,White,different race,Juror chosen as alternate
80,Black,Not struck by State,White,different race,Juror chosen to serve on jury
80,White,Not struck by State,White,same race,Struck by the defense
80,White,Not struck by State,White,same race,Juror chosen to serve on jury
80,White,Not struck by State,White,same race,Juror chosen to serve on jury
80,Black,Not struck by State,White,different race,Juror chosen to serve on jury
80,White,Not struck by State,White,same race,Struck by the defense
80,Black,Struck by State,White,different race,Struck by the state
80,Black,Struck by State,White,different race,Struck by the state
80,Black,Struck by State,White,different race,Struck by the state
80,White,Not struck by State,White,same race,Juror chosen to serve on jury
80,White,Not struck by State,White,same race,Struck by the defense
80,Black,Not struck by State,White,different race,Juror chosen to serve on jury
80,White,Not struck by State,White,same race,Juror chosen to serve on jury
195,Black,Struck by State,Black,same race,Struck by the state
92,White,Not struck by State,Black,different race,Struck by the defense
92,Black,Struck by State,Black,same race,Struck by the state
92,White,Not struck by State,Black,different race,Juror chosen to serve on jury
92,White,Not struck by State,Black,different race,Struck by the defense
92,White,Struck by State,Black,different race,Struck by the state
92,White,Not struck by State,Black,different race,Juror chosen to serve on jury
92,White,Not struck by State,Black,different race,Juror chosen to serve on jury
92,Black,Struck by State,Black,same race,Struck by the state
92,White,Not struck by State,Black,different race,Struck by the defense
92,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
92,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
92,White,Not struck by State,Black,different race,Struck by the defense
92,White,Not struck by State,Black,different race,Juror chosen to serve on jury
92,White,Not struck by State,Black,different race,Struck by the defense
92,White,Not struck by State,Black,different race,Juror chosen to serve on jury
92,White,Not struck by State,Black,different race,Struck by the defense
92,White,Not struck by State,Black,different race,Juror chosen to serve on jury
92,Black,Struck by State,Black,same race,Struck by the state
92,White,Not struck by State,Black,different race,Juror chosen to serve on jury
92,Black,Struck by State,Black,same race,Struck by the state
92,White,Not struck by State,Black,different race,Juror chosen to serve on jury
92,White,Not struck by State,Black,different race,Juror chosen to serve on jury
79,Black,Struck by State,Black,same race,Struck by the state
79,White,Not struck by State,Black,different race,Struck by the defense
79,Black,Struck by State,Black,same race,Struck by the state
79,White,Not struck by State,Black,different race,Juror chosen to serve on jury
79,White,Not struck by State,Black,different race,Juror chosen to serve on jury
79,White,Not struck by State,Black,different race,Juror chosen to serve on jury
79,White,Not struck by State,Black,different race,Juror chosen to serve on jury
79,Black,Struck by State,Black,same race,Struck by the state
79,White,Not struck by State,Black,different race,Juror chosen to serve on jury
79,White,Not struck by State,Black,different race,Juror chosen to serve on jury
79,White,Not struck by State,Black,different race,Struck by the defense
79,White,Not struck by State,Black,different race,Struck by the defense
79,White,Not struck by State,Black,different race,Juror chosen to serve on jury
79,Black,Not struck by State,Black,same race,Juror chosen to serve on jury
79,White,Not struck by State,Black,different race,Juror chosen to serve on jury
79,Black,Struck by State,Black,same race,Struck by the state
79,Black,Struck by State,Black,same race,Struck by the state
95,White,Not struck by State,Black,different race,Juror chosen to serve on jury
79,White,Not struck by State,Black,different race,Juror chosen to serve on jury
