,existingAcctStatus,duration,creditHistory,purpose,creditAmount,savingsAccountAndBonds, presentEmploymentSince,installmentRatePercentage,sex,relationshipStatus,otherDebtors,residentSince,property,age,installmentPlans,housing,existingCredits,job,liableFor,telephone,foreignWorker,creditQuality
0,A11,6.0090816057536065,A34,A43,1060.0058778286088,A65,A75,4.003998440959929,M,single,A101,4.015678629012816,A121,67.25416535504166,A143,A152,1.5062615503240808,A173,0.9976661634261761,A192,A201,1
1,A12,48.00923137561303,A32,A43,6489.50149428628,A61,A73,2.0127837302242293,F,divorced/separated/married/widowed,A101,2.004294375295376,A121,23.010998738919213,A143,A152,0.9999429333103954,A173,1.000365127410628,A191,A201,0
2,A14,12.000837584957068,A34,A46,1827.9939763580492,A61,A74,1.4988843474753213,M,single,A101,3.4986116365265363,A121,47.49314677123287,A143,A152,0.9909130207407351,A172,2.0025500711934408,A191,A201,1
3,A11,38.99928410515645,A32,A42,7678.0066088932,A61,A74,1.493276875364955,M,single,A103,4.01295401628815,A122,42.50470776436249,A143,A153,0.9984940651030952,A173,1.518730110359062,A191,A201,1
4,A11,23.998820983997614,A33,A40,4384.746591766167,A61,A73,2.9948562091390203,M,single,A101,4.002328383086672,A124,54.00504398232944,A143,A153,1.5043067091629192,A173,1.513857129360379,A191,A201,0
5,A14,32.99732045616847,A32,A46,8505.997128561428,A65,A73,2.003437280059245,M,single,A101,4.0016412647677235,A124,31.99718061631433,A143,A153,1.0114854234679465,A172,1.5093810662391647,A192,A201,1
6,A14,23.99209530309552,A32,A42,2564.753061476178,A63,A75,2.996997585955537,M,single,A101,4.012060196000055,A122,53.504386719493255,A143,A152,1.0040656753645159,A173,1.009542410247724,A191,A201,1
7,A12,36.00605177928135,A32,A41,6445.500930867394,A61,A73,1.4904999225181572,M,single,A101,1.9954863450457916,A123,32.00697484559764,A143,A151,0.9850898574136386,A174,0.9833400684438602,A192,A201,1
8,A14,12.008546273754055,A32,A43,2791.4997867847896,A64,A74,1.4984155737166323,M,divorced/separated/married/widowed,A101,4.015678629012816,A121,59.992634216974025,A143,A152,1.010913486480973,A172,0.9837128692204589,A191,A201,1
9,A12,27.008445160122122,A34,A40,4589.000925419424,A61,A71,4.029559926394653,M,divorced/separated/married/widowed,A101,1.5010718113641184,A123,26.00456785882272,A143,A152,1.5035653949564618,A174,0.9910060148428824,A191,A201,0
10,A12,12.006158179309026,A32,A40,1419.2538708764823,A61,A72,3.01056450876002,F,divorced/separated/married/widowed,A101,1.4963356135304715,A123,27.512919193683103,A143,A151,1.0015671962433186,A173,0.9907917400453383,A191,A201,0
11,A11,48.00006592509847,A32,A49,5087.011170046724,A61,A72,2.988924485398709,F,divorced/separated/married/widowed,A101,3.9942761416713335,A122,26.00684316061119,A143,A151,0.9875830346657096,A173,0.9876478875087887,A191,A201,0
12,A12,11.992888006448121,A32,A43,1816.4892224610246,A61,A73,1.5004680359001448,F,divorced/separated/married/widowed,A101,0.9989926500168207,A123,23.005499496083274,A143,A152,0.9987898149325257,A173,0.997786373470533,A192,A201,1
13,A11,20.994479407331312,A34,A40,1073.0137999108101,A61,A75,4.00706373230734,M,single,A101,4.008705759567504,A123,59.0046035029188,A143,A152,2.018331393049711,A172,0.9906389624063106,A191,A201,0
14,A11,16.498369173927394,A32,A40,1614.505557977201,A61,A73,2.508508247331974,F,divorced/separated/married/widowed,A101,3.998292790568488,A123,30.99786315821614,A143,A151,0.9948019880341897,A173,1.0082277271192033,A191,A201,1
15,A11,27.017111019893676,A32,A43,1390.4950253297939,A62,A73,3.9896130183923155,F,divorced/separated/married/widowed,A101,2.0061665979540804,A123,35.00665770133596,A143,A152,0.9870012330229687,A172,0.9942344053227461,A191,A201,0
16,A14,24.002337670243577,A34,A43,2181.250389078381,A65,A75,4.001306797335204,M,single,A101,4.002034423372471,A122,53.504386719493255,A143,A152,1.9956879572173931,A173,1.0031037332989248,A191,A201,1
17,A11,27.004144101697435,A30,A49,7748.996728264094,A65,A72,1.9953761302251976,M,single,A101,3.4978082894654534,A123,24.000221253562707,A141,A152,3.005748318876267,A173,1.0065745635191274,A191,A201,1
18,A12,30.00534256290374,A32,A41,13413.745264903959,A61,A75,4.004301115839388,F,divorced/separated/married/widowed,A101,2.0211851545780686,A124,45.497182570813855,A143,A153,1.002086905870963,A174,1.0066986830976918,A192,A201,0
19,A14,21.005304398085922,A32,A43,3169.4930387640356,A63,A75,2.988924485398709,M,single,A101,2.0036260063790152,A123,28.502944137779238,A143,A152,0.9895588363865615,A173,1.4999758473441918,A192,A201,1
20,A14,9.250643257471326,A34,A40,1857.0013769571542,A61,A73,4.001958788242513,M,single,A101,4.000510566537914,A123,46.50174094392158,A143,A152,3.005748318876267,A173,1.009542410247724,A192,A201,1
21,A11,5.998106271028137,A32,A43,2395.4875872496423,A63,A73,2.0024407531476323,M,single,A101,3.4986116365265363,A121,41.4959595244968,A143,A151,0.9894594103899631,A173,1.5045484863966583,A191,A201,1
22,A11,9.497541838398611,A34,A40,2009.499733942409,A61,A72,0.995434465411563,M,single,A101,3.492399014547101,A121,47.002879409854465,A143,A151,1.9982363108272927,A172,1.5041784782592553,A191,A202,1
23,A12,11.998444583509574,A34,A41,1597.496036105928,A62,A72,2.4959848078853657,M,single,A101,3.9959809454533204,A122,40.760998509835545,A143,A152,1.0034347429184556,A173,0.9997082275651686,A191,A201,1
24,A14,9.507475020142447,A34,A42,1816.4892224610246,A65,A73,1.9951293578398344,M,divorced/separated/married/widowed,A101,0.9989926500168207,A123,24.497269344499216,A143,A152,2.008791186697036,A173,0.9994483888360055,A191,A202,1
25,A11,5.998106271028137,A32,A42,1303.0140254944758,A61,A73,0.981746441761033,M,single,A101,1.9968023832740074,A121,32.99922553349894,A141,A152,0.9934854315658326,A172,0.9915193350014859,A192,A201,1
26,A14,6.004596314797384,A30,A43,370.01246749998336,A61,A75,3.9964570803536947,M,divorced/separated/married/widowed,A101,4.007548432695159,A123,35.99482859641276,A143,A152,0.9924359362996487,A172,0.9976661634261761,A191,A201,1
27,A13,13.508929192303615,A31,A43,515.2381711824047,A64,A73,3.49912730591355,F,divorced/separated/married/widowed,A101,2.9929395958988585,A121,43.987793824542806,A143,A151,2.002690772053509,A173,1.0061463522407517,A191,A201,1
28,A12,6.499168803913221,A32,A43,2181.250389078381,A61,A73,2.9950784978262583,M,single,A103,1.9994312002748593,A121,30.992047215636916,A143,A152,1.004877457006038,A173,1.0192715585384806,A191,A201,1
29,A11,60.00270259796916,A33,A49,6290.998159347286,A61,A75,2.998253373797519,M,single,A101,4.016644954815035,A124,62.509985609457786,A143,A152,1.998128877227369,A173,1.0051528714630356,A192,A201,0
30,A12,16.49736117087081,A32,A49,1680.99612989716,A64,A72,3.0029764587499836,M,divorced/separated/married/widowed,A101,2.9878934032230777,A121,33.014389874617116,A141,A152,1.0085056856907673,A173,0.9998345522570107,A192,A201,1
31,A11,24.002497444553754,A32,A42,3755.987990587457,A61,A73,2.000729964039434,M,single,A101,2.01397942054384,A123,25.498694658197664,A142,A152,0.997523055782911,A173,1.0047038237417871,A191,A201,1
32,A12,18.00617946360537,A32,A40,5087.011170046724,A62,A73,1.9970088594412805,M,single,A101,1.9989278773432453,A123,27.505614745149316,A143,A152,2.0066590233667387,A173,0.9941008098170265,A192,A201,1
33,A14,11.981379268404126,A34,A49,1180.9973672061496,A65,A75,4.006321389546214,M,single,A101,3.9935311233270223,A124,57.00112297641756,A143,A151,1.000114805177745,A172,1.0046508914869239,A191,A201,1
34,A13,12.002159542406421,A32,A42,1702.5053063651987,A61,A72,4.0024012944475515,F,divorced/separated/married/widowed,A101,0.9971450956924682,A122,35.99610057860397,A141,A152,0.9967533516579018,A174,1.513857129360379,A192,A201,1
35,A12,40.49988401711079,A34,A43,4287.506823473952,A61,A72,3.995965912929125,M,single,A101,1.5038696230736532,A122,23.99328855755745,A143,A152,2.0084875316923316,A172,0.9977145913223169,A191,A201,0
36,A14,48.00006592509847,A34,A46,5329.508175642796,A61,A73,1.0047555549598444,M,single,A101,2.986393815908306,A124,28.494986877661052,A141,A153,1.0105629228133668,A173,0.9886008643145416,A192,A201,1
37,A13,16.49099936247049,A32,A43,1837.9997133991628,A61,A73,3.9921389174374857,M,single,A102,1.4974692282882192,A121,33.994808803780025,A142,A152,1.0121453944919283,A173,0.9903514594821321,A191,A201,0
38,A13,9.497541838398611,A32,A44,1126.239315911934,A61,A73,2.0013988948482666,M,single,A101,1.5017274251626533,A123,34.00583999379825,A143,A152,1.0052101236613402,A173,0.9881137567881932,A192,A201,1
39,A12,7.9813167072706745,A32,A43,408.99335487427646,A61,A73,4.003542022825666,M,single,A101,2.993294503933158,A121,22.998695218886283,A143,A152,1.0035854507410353,A173,1.0003302066190916,A191,A201,1
40,A14,27.005202515859196,A32,A43,2099.4973085098036,A63,A75,3.9849900873089084,M,single,A101,1.9972029925139991,A123,27.499111997260133,A141,A152,0.9913256095498654,A174,1.0152371671777485,A191,A201,1
41,A12,12.00131393212207,A32,A43,1045.0026218727382,A63,A73,2.4928311975481594,M,divorced/separated/married/widowed,A101,0.9835114010633701,A123,24.488770160614262,A143,A152,0.998242969798145,A173,1.0012769335837373,A192,A201,1
42,A12,16.498043402364626,A33,A45,5404.98772091551,A61,A73,1.9996394103994994,M,single,A101,4.004554931116752,A121,41.99816353122223,A143,A152,0.9913256095498654,A172,1.5076359272901092,A192,A201,1
43,A11,27.000050857185588,A34,A41,5404.98772091551,A62,A74,1.2501257183245038,M,divorced/separated/married/widowed,A101,4.0016412647677235,A123,23.010998738919213,A143,A151,2.0122371945530118,A173,0.9923278683303924,A191,A201,1
44,A11,48.00498110921663,A34,A41,6687.993671772521,A61,A75,3.995965912929125,F,divorced/separated/married/widowed,A101,3.9940776215175666,A124,59.500776832471885,A142,A153,2.0128483646066337,A172,1.5080818674360108,A191,A201,0
45,A14,11.489419196224791,A34,A40,1597.496036105928,A61,A72,4.010667238798167,F,divorced/separated/married/widowed,A101,3.502894982948595,A123,37.99771236839055,A143,A152,1.999568890387009,A174,0.9959787672757283,A191,A201,1
46,A14,36.00072572223178,A32,A43,2067.737351331625,A63,A75,4.01560226232735,M,single,A101,4.0041285405323634,A123,36.00420604583388,A143,A152,0.9875830346657096,A173,0.9993467104696085,A191,A201,1
