,existingAcctStatus,duration,creditHistory,purpose,creditAmount,savingsAccountAndBonds, presentEmploymentSince,installmentRatePercentage,sex,relationshipStatus,otherDebtors,residentSince,property,age,installmentPlans,housing,existingCredits,job,liableFor,telephone,foreignWorker,creditQuality
0,A11,6.000546773313271,A34,A43,1060.0101599720597,A65,A75,4.00132952874827,M,single,A101,4.006741204027083,A121,67.24777792980298,A143,A152,1.9889576136360625,A173,1.0050686718594504,A192,A201,1
1,A12,53.99729819528934,A32,A43,6489.4935399763235,A61,A73,2.50378885821885,F,divorced/separated/married/widowed,A101,1.984108939200603,A121,23.01490021848751,A143,A152,1.0074211099621275,A173,1.5084559877719208,A191,A201,0
2,A14,11.9983090974102,A34,A46,1828.009032325831,A61,A74,2.008722094592487,M,single,A101,3.001513204670106,A121,48.00550988232777,A143,A152,1.0009202801401726,A172,1.5034757566791592,A191,A201,1
3,A11,38.9996267192132,A32,A42,7678.004744523077,A61,A74,1.996707601855917,M,single,A103,3.997697024331691,A122,42.99932015739835,A143,A153,0.9893659833280758,A173,1.5032630370883564,A191,A201,1
4,A11,22.510018427444002,A33,A40,4384.76100284242,A61,A73,2.9984546248849577,M,single,A101,4.006042898017894,A124,53.99999494069378,A143,A153,1.992036230982507,A173,1.5055972447324,A191,A201,0
5,A14,34.49988582279207,A32,A46,8505.996147927457,A65,A73,1.9959785208214966,M,single,A101,4.004119022403367,A124,31.50271619636017,A143,A153,0.9912182271851019,A172,1.5017901034632137,A192,A201,1
6,A14,22.50338509116537,A32,A42,2564.746392253297,A63,A75,2.5009026913538106,M,single,A101,4.008954811954925,A122,53.99999494069378,A143,A152,0.9887795914808533,A173,1.0098996993495561,A191,A201,1
7,A12,31.489912499893016,A32,A41,6445.502857580112,A61,A73,1.5086940912103906,M,single,A101,1.9816555828921811,A123,32.00657723391937,A143,A151,0.9960773873755532,A174,0.9912914357817759,A192,A201,1
8,A14,11.997333440125203,A32,A43,2791.4956955272633,A64,A74,1.9977584137635906,M,divorced/separated/married/widowed,A101,4.006741204027083,A121,60.26349518012533,A143,A152,0.9942572287814307,A172,1.0014371242331426,A191,A201,1
9,A12,27.00541483337463,A34,A40,4588.99940968525,A61,A71,3.495227869620094,M,divorced/separated/married/widowed,A101,2.0012978057373325,A123,25.99812347803632,A143,A152,1.503424317620342,A174,1.0129980864621873,A191,A201,0
10,A12,12.506477550381337,A32,A40,1415.9925630604648,A61,A72,2.997113404352076,F,divorced/separated/married/widowed,A101,0.9938607972401445,A123,28.003527141217884,A143,A151,1.0072373889092043,A173,0.9925484784250111,A191,A201,0
11,A11,48.01217001731062,A32,A49,5087.0000300647425,A61,A72,2.9978873820170118,F,divorced/separated/married/widowed,A101,3.9911362600672335,A122,25.99526721764702,A143,A151,1.496396162531168,A173,0.9972206376146407,A191,A201,0
12,A12,12.005958838842531,A32,A43,1816.499778786957,A61,A73,0.9929125970100767,F,divorced/separated/married/widowed,A101,1.008432706102666,A123,23.00271169707652,A143,A152,1.0009202801401726,A173,0.999364146223279,A192,A201,1
13,A11,23.995126445536293,A34,A40,1073.0056019000972,A61,A75,4.01347355079051,M,single,A101,4.008613598899393,A123,59.00103738087205,A143,A152,2.008617288089688,A172,1.0039471179478012,A191,A201,0
14,A11,15.499387302641047,A32,A40,1614.4926387465787,A61,A73,1.9935876873012535,F,divorced/separated/married/widowed,A101,3.998729535879612,A123,31.50617135221612,A143,A151,0.9942572287814307,A173,1.0104857899096622,A191,A201,1
15,A11,25.508061928437137,A32,A43,1385.5035068517982,A62,A73,3.9965840996104527,F,divorced/separated/married/widowed,A101,2.004281632669061,A123,34.998808970653116,A143,A152,0.9963610243552754,A172,1.5031971913503068,A191,A201,0
16,A14,21.004874773486925,A34,A43,2181.2461036416057,A65,A75,4.000773776383615,M,single,A101,3.996302474003165,A122,53.25946422519173,A143,A152,1.5010801839928323,A173,0.9942933726523755,A191,A201,1
17,A11,27.003116564300917,A30,A49,7748.995173754915,A65,A72,1.9935876873012535,M,single,A101,2.9899340168708224,A123,23.997159673294593,A141,A152,3.0010283155455513,A173,1.001550633540225,A191,A201,1
18,A12,27.004717312719517,A32,A41,13413.748387625601,A61,A75,3.996019190683656,F,divorced/separated/married/widowed,A101,1.9976589551849644,A124,45.503351743325325,A143,A153,0.9948490313980067,A174,1.5058877020722221,A192,A201,0
19,A14,22.495091938622103,A32,A43,3169.505973166093,A63,A75,2.987319715747094,M,single,A101,2.001789601610806,A123,28.495323952593626,A143,A152,1.003151088311927,A173,2.017287787490088,A192,A201,1
20,A14,8.498061437215544,A34,A40,1857.0030664776382,A61,A73,4.011185590246793,M,single,A101,4.015705786617089,A123,46.49464059016874,A143,A152,3.747487693833257,A173,1.0050686718594504,A192,A201,1
21,A11,6.005476169814982,A32,A43,2395.5154955629705,A63,A73,1.992511185312988,M,single,A101,2.9788306152017734,A121,41.49294771978748,A143,A151,0.9840786374921673,A173,2.017287787490088,A191,A201,1
22,A11,10.00193873455217,A34,A40,2009.5018055621895,A61,A72,1.0021447817486455,M,single,A101,3.4972386324369094,A121,47.488157667784805,A143,A151,2.0038542274398115,A172,1.510670041096607,A191,A202,1
23,A12,12.00359763323829,A34,A41,1597.486589746235,A62,A72,2.4962866823471916,M,single,A101,3.994671291012419,A122,41.50413175557826,A143,A152,1.002532959485401,A173,1.0078115305493136,A191,A201,1
24,A14,9.503559399625349,A34,A42,1816.499778786957,A65,A73,1.5092882018491673,M,divorced/separated/married/widowed,A101,1.0078503867875914,A123,24.493346112518118,A143,A152,1.9908750707682303,A173,1.0022541610078433,A191,A202,1
25,A11,6.010679980243329,A32,A42,1303.0010630523875,A61,A73,0.9945074881989051,M,single,A101,2.4945744644529673,A121,32.500477985615674,A141,A152,1.0094475240964154,A172,1.000799810280999,A192,A201,1
26,A14,5.988878137580272,A30,A43,370.0055426619948,A61,A75,4.003738933251839,M,divorced/separated/married/widowed,A101,3.989972992546068,A123,35.99511034118126,A143,A152,0.9930738326952779,A172,1.0102086915682622,A191,A201,1
27,A13,12.001219586196134,A31,A43,515.2500254352635,A64,A73,3.5049086518543637,F,divorced/separated/married/widowed,A101,3.0073103745759564,A121,43.99778520852641,A143,A151,2.0109592179550617,A173,0.9990638861279455,A191,A201,1
28,A12,6.5026025174333135,A32,A43,2181.2461036416057,A61,A73,3.003554580719168,M,single,A103,1.9955701591058057,A121,30.990983719443182,A143,A152,1.0014771031017031,A173,0.995148497871845,A191,A201,1
29,A11,60.01254642470715,A33,A49,6290.9991065088825,A61,A75,3.002166756955832,M,single,A101,4.009307439873552,A124,62.50010101564963,A143,A152,1.5003507931706608,A173,0.9810426216832195,A192,A201,0
