,existingAcctStatus,duration,creditHistory,purpose,creditAmount,savingsAccountAndBonds, presentEmploymentSince,installmentRatePercentage,sex,relationshipStatus,otherDebtors,residentSince,property,age,installmentPlans,housing,existingCredits,job,liableFor,telephone,foreignWorker,creditQuality
0,A11,5.983880846083573,A34,A43,1059.9969395035919,A65,A75,3.9754942887830858,M,single,A101,4.016204750607308,A121,67.24020233747223,A143,A152,1.5023502732981553,A173,1.0021353150456591,A192,A201,1
1,A12,47.98956713393443,A32,A43,6489.5007632210045,A61,A73,1.9980161904574456,F,divorced/separated/married/widowed,A101,2.003990525722691,A121,23.009627536134104,A143,A152,0.9994917811703895,A173,1.5098434067095048,A191,A201,0
2,A14,11.999743813845948,A34,A46,1827.9966805069714,A61,A74,2.004917299798785,M,single,A101,2.996287077455393,A121,47.4977402357165,A143,A152,0.983467142411925,A172,2.012771484721484,A191,A201,1
3,A11,38.99884888697936,A32,A42,7677.991997686006,A61,A74,2.0064949278705275,M,single,A103,3.9997759252493545,A122,42.50216334627922,A143,A153,0.9934927725703946,A173,1.495256300553916,A191,A201,1
4,A11,20.99646856097351,A33,A40,4384.748978746583,A61,A73,2.5049718480204657,M,single,A101,4.006040286538925,A124,53.252569231648266,A143,A153,2.018216853906215,A173,1.5060302992671142,A191,A201,0
5,A14,32.991215279173865,A32,A46,8506.002317994808,A65,A73,2.009648496811481,M,single,A101,4.004391635803856,A124,32.002761750604876,A143,A153,0.993882418601278,A172,1.5019006241659865,A192,A201,1
6,A14,20.993687773836314,A32,A42,2564.7570916114246,A63,A75,2.5045577965270835,M,single,A101,3.9887392137228064,A122,53.50242668061982,A143,A152,0.9788121794062643,A173,1.0081989612477997,A191,A201,1
7,A12,32.99086820985979,A32,A41,6445.506325464754,A61,A73,1.5018718218689853,M,single,A101,2.5072440554741253,A123,31.99571204851546,A143,A151,0.9939645436226334,A174,1.0069419800474542,A192,A201,1
8,A14,11.99561618967728,A32,A43,2791.4971333551375,A64,A74,2.001205790415225,M,divorced/separated/married/widowed,A101,4.001290151834243,A121,59.50429693689547,A143,A152,0.9905797467914945,A172,1.0033095225636672,A191,A201,1
9,A12,27.00636032101368,A34,A40,4589.007230921881,A61,A71,4.00157450027347,M,divorced/separated/married/widowed,A101,1.9950583520623613,A123,25.993404471822664,A143,A152,2.000727317720761,A174,1.003384501884459,A191,A201,0
10,A12,12.011546711451825,A32,A40,1415.9974523245705,A61,A72,3.5000586379671623,F,divorced/separated/married/widowed,A101,1.0000491038475137,A123,27.000921237421153,A143,A151,0.9924844756439317,A173,1.0068644593640304,A191,A201,0
11,A11,48.0087568769261,A32,A49,5087.009308031785,A61,A72,3.0012902682718923,F,divorced/separated/married/widowed,A101,3.98760557264635,A122,26.010563151330444,A143,A151,1.490942079737559,A173,1.0111610731047502,A191,A201,0
12,A12,12.009868196650217,A32,A43,1816.4983191831834,A61,A73,1.0042392964700615,F,divorced/separated/married/widowed,A101,1.495872849545734,A123,22.490255626010594,A143,A152,1.0031635140786324,A173,0.9980815400880636,A192,A201,1
13,A11,24.00529051920131,A34,A40,1072.9989938393974,A61,A75,3.5002218875576734,M,single,A101,3.9964570397986288,A123,59.00023832977668,A143,A152,2.004676524059887,A172,0.9969750036621432,A191,A201,0
14,A11,14.9974599211818,A32,A40,1614.5035795559793,A61,A73,1.9988543422305245,F,divorced/separated/married/widowed,A101,3.98050995028658,A123,31.25346448044865,A143,A151,0.9788121794062643,A173,0.9897692485535925,A191,A201,1
15,A11,23.991777975664064,A32,A43,1390.5001002664706,A62,A73,3.9863630941437576,F,divorced/separated/married/widowed,A101,1.9978923743192105,A123,34.50087045253217,A143,A152,1.5098091314354374,A172,1.5085251057314661,A191,A201,0
16,A14,24.007218009465344,A34,A43,2181.2536915061546,A65,A75,3.9898149218131937,M,single,A101,4.0098489148046585,A122,53.50242668061982,A143,A152,2.0145123208981675,A173,0.9978795424661706,A191,A201,1
17,A11,27.006056776518,A30,A49,7749.004571007228,A65,A72,1.506172697035132,M,single,A101,3.0005434769997894,A123,24.00086468846505,A141,A152,2.5086699008814457,A173,0.9830817614819269,A191,A201,1
18,A12,24.005767755179598,A32,A41,13413.753634542703,A61,A75,3.991240188063287,F,divorced/separated/married/widowed,A101,2.0054294664383536,A124,45.51069762664338,A143,A153,1.4952636683399803,A174,0.989538991940947,A192,A201,0
19,A14,22.500685527314033,A32,A43,3169.506217750678,A63,A75,2.999627292579006,M,single,A101,2.0045890204502523,A123,28.00240944010219,A143,A152,0.9988905049577106,A173,1.511828313047503,A192,A201,1
20,A14,9.001331125606566,A34,A40,1856.9999495727745,A61,A73,4.010452127080921,M,single,A101,4.002409165234935,A123,46.48456127927473,A143,A152,2.2618443318623465,A173,0.9734434260355855,A192,A201,1
21,A11,6.007374154691689,A32,A43,2395.4998888701607,A63,A73,1.4921644480118874,M,single,A101,3.0001887788176003,A121,41.498216882938124,A143,A151,0.9870869418209339,A173,2.0015519220802878,A191,A201,1
22,A11,9.503771322845335,A34,A40,2009.490095525769,A61,A72,0.9934442454347989,M,single,A101,3.4980188192916146,A121,47.48628436440382,A143,A151,1.495530035534506,A172,1.5165086541532387,A191,A202,1
23,A12,11.998592727999942,A34,A41,1597.4937401040224,A62,A72,2.9928838929560655,M,single,A101,3.9984380306289573,A122,41.50843394549183,A143,A152,1.0028666596357902,A173,1.0044538180656193,A191,A201,1
24,A14,10.013525116195257,A34,A42,1816.4983191831834,A65,A73,1.494404581291949,M,divorced/separated/married/widowed,A101,1.0081928978739132,A123,24.50815408158492,A143,A152,1.990237140605513,A173,1.010869609840189,A191,A202,1
25,A11,5.994867430422387,A32,A42,1303.0011129220766,A61,A73,1.00220825763528,M,single,A101,1.990723744502112,A121,32.498550550348796,A141,A152,1.0059416577649278,A172,0.9879441755093938,A192,A201,1
26,A14,6.00422031588021,A30,A43,370.0022708157418,A61,A75,3.9953260971754956,M,divorced/separated/married/widowed,A101,4.017636218795898,A123,36.50925354254592,A143,A152,0.9975240697200931,A172,0.9937248889830028,A191,A201,1
27,A13,11.998014791234171,A31,A43,515.2476926356,A64,A73,3.499155906333957,F,divorced/separated/married/widowed,A101,3.0011730090630855,A121,44.007023539610636,A143,A151,2.003598867467825,A173,0.9890542620856333,A191,A201,1
28,A12,6.5145066893025145,A32,A43,2181.2536915061546,A61,A73,3.010700452398855,M,single,A103,2.0083145270693943,A121,30.99402362583237,A143,A152,1.0010510823702483,A173,1.0022732094825975,A191,A201,1
29,A11,54.00520224257025,A33,A49,6290.997593973455,A61,A75,3.0053547446845696,M,single,A101,4.0076630228076375,A124,61.494859182676834,A143,A152,1.4999959481534924,A173,1.0089421487623187,A192,A201,0
30,A12,16.494496641891956,A32,A49,1681.0052167313431,A64,A72,2.9920059422154086,M,divorced/separated/married/widowed,A101,3.501508286809799,A121,32.99921102438692,A141,A152,1.0077998039435274,A173,0.9973659948255349,A192,A201,1
31,A11,23.99821761751926,A32,A42,3756.001984410939,A61,A73,2.013865374018869,M,single,A101,1.9972654714083304,A123,24.998871740267404,A142,A152,0.9876232297707419,A173,0.9897692485535925,A191,A201,1
32,A12,18.006768350142046,A32,A40,5087.009308031785,A62,A73,1.506172697035132,M,single,A101,1.9984756257615603,A123,27.49732338315598,A143,A152,1.9996711153483773,A173,0.9983485958732501,A192,A201,1
33,A14,11.981630884897191,A34,A49,1181.0101556219065,A65,A75,3.9996734723800436,M,single,A101,4.001757362431993,A124,56.742645798673635,A143,A151,0.9929040123719399,A172,1.0026822584441095,A191,A201,1
34,A13,11.995954137288553,A32,A42,1702.5045968193908,A61,A72,3.991322955387413,F,divorced/separated/married/widowed,A101,1.496468713789389,A122,36.000966461099196,A141,A152,0.9932383603370344,A174,1.010119264414291,A192,A201,1
35,A12,41.25265276783473,A34,A43,4287.512088281526,A61,A72,4.008047280383589,M,single,A101,2.0032599992005524,A122,23.99263472080819,A143,A152,1.5009741557144336,A172,0.9911503670045969,A191,A201,0
36,A14,44.986436703973084,A34,A46,5329.5103254907335,A61,A73,0.9789967080246068,M,single,A101,3.491589636256779,A124,28.504621183663744,A141,A153,0.9832008446413174,A173,0.9961969946615099,A192,A201,1
37,A13,17.999267015288254,A32,A43,1837.990584992072,A61,A73,4.000676633491757,M,single,A102,1.9991714449750146,A121,34.50087045253217,A142,A152,0.9975240697200931,A173,1.0081989612477997,A191,A201,0
38,A13,9.500184863169853,A32,A44,1126.2405037567669,A61,A73,1.4906056451019585,M,single,A101,2.007365197985178,A123,33.502675913636814,A143,A152,1.0137266270122058,A173,0.9928144707889375,A192,A201,1
39,A12,9.002455719993284,A32,A43,409.00326224540436,A61,A73,3.999247360549088,M,single,A101,3.49872264349211,A121,23.001874720186315,A143,A152,1.0122306904764602,A173,1.0010520206713007,A191,A201,1
40,A14,27.011396020412324,A32,A43,2099.507912204158,A63,A75,4.000893594452466,M,single,A101,1.990723744502112,A123,27.512008508029297,A141,A152,0.993352466500842,A174,1.0078041330910095,A191,A201,1
41,A12,11.98653132433089,A32,A43,1044.9975655256753,A63,A73,2.4910764275851336,M,divorced/separated/married/widowed,A101,0.97884874022355,A123,24.495003725820343,A143,A152,0.9946331753284169,A173,1.0156104166002042,A192,A201,1
42,A12,17.993046315370698,A33,A45,5405.0074651040795,A61,A73,1.4974251889144474,M,single,A101,3.9942285434767015,A121,41.50246286753377,A143,A152,1.0064791665862831,A172,1.495256300553916,A192,A201,1
43,A11,27.00636032101368,A34,A41,5405.0074651040795,A62,A74,0.9891185398651123,M,divorced/separated/married/widowed,A101,4.009538670870663,A123,22.745179157870883,A143,A151,2.000727317720761,A173,1.0091045029456942,A191,A201,1
44,A11,47.99750745613635,A34,A41,6687.996874132787,A61,A75,4.00142306702101,F,divorced/separated/married/widowed,A101,4.012056580981067,A124,59.00023832977668,A142,A153,2.008661452119123,A172,1.0004560375594953,A191,A201,0
45,A14,11.495944174113003,A34,A40,1597.4937401040224,A61,A72,3.9905170923851196,F,divorced/separated/married/widowed,A101,4.00305592903248,A123,37.99066776323146,A143,A152,2.0012512661791533,A174,0.9911503670045969,A191,A201,1
46,A14,32.998413545837245,A32,A43,2067.756492133473,A63,A75,4.005071292114096,M,single,A101,3.993358151127493,A123,36.00617176137086,A143,A152,0.9996260394428281,A173,0.9893369230530427,A191,A201,1
47,A11,6.007374154691689,A32,A41,1451.245984038546,A63,A71,1.4974251889144474,F,divorced/separated/married/widowed,A101,2.0117545493889484,A122,24.505085824504583,A143,A151,1.5036750885949013,A171,1.010869609840189,A192,A201,1
48,A14,10.504853404340992,A34,A40,6687.996874132787,A61,A73,1.0042392964700615,M,single,A101,4.010582325019945,A122,36.00265109218675,A143,A152,1.995332481637917,A172,0.9844248300259608,A191,A201,1
49,A14,12.004525441100473,A32,A43,2339.25046771277,A62,A73,3.988680065172499,F,divorced/separated/married/widowed,A102,1.9947893708417468,A121,30.990545204149168,A143,A152,1.0027215100558646,A173,1.0037573467947531,A191,A201,1
50,A12,23.995159488810387,A33,A42,2095.0007958287365,A65,A72,4.001049213166266,M,single,A101,1.9864540076689496,A122,26.507897136893952,A141,A152,0.9899366087371947,A172,0.9779671838428067,A191,A201,1
51,A12,25.501968967426755,A33,A41,5166.249082651668,A61,A75,0.9926500030509167,M,single,A101,2.0032599992005524,A123,27.49196801813944,A143,A152,2.010326798722354,A174,0.9993386604686776,A192,A201,1
52,A14,11.993683068012384,A32,A43,1176.9973836460551,A61,A73,3.0024882341632373,M,single,A101,1.4951531907991842,A123,23.981800061577506,A143,A152,0.9838798101951143,A173,1.009320286626391,A191,A201,1
53,A14,16.496928937386734,A32,A41,3081.5013929693114,A65,A73,2.004558834352342,M,single,A101,0.9924124888819925,A122,28.496394280306276,A143,A152,0.9788121794062643,A173,0.9946123885741569,A192,A201,1
