,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,Bayes Classification
0,39, State-gov,77516, Higher ed,13, Never-married, Adm-clerical, Not-in-family, White, Male,2174,0,40, United-States,0,0
1,50, Self-emp-not-inc,83311, Higher ed,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,13, United-States,0,0
2,38, Private,215646, HS,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,0,0
3,53, Private,234721, HS,7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States,0,0
4,28, Private,338409, Higher ed,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,40, Cuba,0,0
5,37, Private,284582, Higher ed,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States,0,0
6,49, Private,160187, HS,5, Married-spouse-absent, Other-service, Not-in-family, Black, Female,0,0,16, Jamaica,0,0
7,52, Self-emp-not-inc,209642, HS,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States,1,0
8,31, Private,45781, Higher ed,14, Never-married, Prof-specialty, Not-in-family, White, Female,14084,0,50, United-States,1,1
9,42, Private,159449, Higher ed,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178,0,40, United-States,1,1
10,37, Private,280464, Higher ed,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,80, United-States,1,0
11,30, State-gov,141297, Higher ed,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, India,1,1
12,23, Private,122272, Higher ed,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States,0,0
13,32, Private,205019, Higher ed,12, Never-married, Sales, Not-in-family, Black, Male,0,0,50, United-States,0,0
14,40, Private,121772, Higher ed,11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, ?,1,0
15,34, Private,245487, HS,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,45, Mexico,0,0
16,25, Self-emp-not-inc,176756, HS,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,35, United-States,0,0
17,32, Private,186824, HS,9, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States,0,0
18,38, Private,28887, HS,7, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,0,0
19,43, Self-emp-not-inc,292175, Higher ed,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, United-States,1,0
20,40, Private,193524, Higher ed,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States,1,1
21,54, Private,302146, HS,9, Separated, Other-service, Unmarried, Black, Female,0,0,20, United-States,0,0
22,35, Federal-gov,76845, HS,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, United-States,0,0
23,43, Private,117037, HS,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,2042,40, United-States,0,1
24,59, Private,109015, HS,9, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States,0,0
