,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,GP,F,17.992953520762107,U,GT3,A,4.00696692071018,3.988846428715137,at_home,teacher,course,mother,2.500661833508389,1.9857068495604633,0.005662200106266682,yes,no,no,no,yes,yes,no,no,4.01247916619306,3.000729735076191,4.502253589619347,1.5132291907569537,0.9853031022943904,3.4950861681737377,4.006976110743617,3.2463898782733454,10.995308445905554,0
1,GP,F,16.495762394218076,U,GT3,T,1.0098563337856366,0.9981392021160861,at_home,other,course,father,1.002411890128219,2.0019428338193603,0.018429996391078007,no,yes,no,no,no,yes,yes,no,4.999556202554853,3.498248030565863,3.013304549886114,0.996551619369979,1.5125043310137078,3.0055769817048823,1.9873098512560108,8.99651770660868,11.000826730948596,0
2,GP,F,14.991346184743854,U,LE3,T,1.4970722095203164,0.9972220206974631,at_home,other,other,mother,0.9946544065710409,2.0012016619005646,0.0058541683820368135,yes,no,no,no,yes,yes,yes,no,3.9980012159942033,3.005846036794544,2.0017293323987624,3.0097507301205972,3.485369516476115,2.996436835846894,6.007435392175804,11.999053462976505,12.99960683813563,1
3,GP,F,15.004181151764358,U,GT3,T,4.000382308549283,1.9940172210770966,health,services,home,mother,0.9850016329535106,3.000377245536821,-0.011749547345668788,no,yes,no,yes,yes,yes,yes,yes,2.999512384177165,2.002251855565344,2.0017293323987624,0.9901002377090812,1.5026341297996724,5.0220175148264605,0.00022963647029004114,13.49030601170339,13.486695770091583,1
4,GP,F,15.987595234148618,U,GT3,T,3.4939973291308704,3.4963112591242655,other,other,home,father,1.0049300463846802,1.501142715094379,-0.00029967436738372304,no,yes,no,no,yes,yes,no,no,4.002583753064361,3.5009532481553807,2.501042909570267,1.0023432224378963,2.4951188248862777,5.00830958623143,-0.017872965998225736,10.50396649952818,12.997877703855472,1
5,GP,M,15.996089959409945,U,LE3,T,4.0024735924282275,3.0088018562359755,services,other,reputation,mother,1.0005566069811591,2.492356146345138,0.004799280854216345,no,yes,no,yes,yes,yes,yes,no,4.996931066250258,4.0041092678415815,1.9780475471280745,1.0013541535141042,1.5055186285414626,4.496495762748975,4.999889827069325,12.488614616283112,12.500498989853655,1
6,GP,M,16.013953130359578,U,LE3,T,2.001433513402625,1.9964115500652468,other,other,home,mother,1.0049300463846802,2.0019428338193603,0.0052801556944329624,no,no,no,no,yes,yes,yes,no,3.4982157037366575,3.496148027391273,4.006109204319538,1.0050859122493705,0.9957169895883149,2.4814882170458583,-0.0068579258902685385,13.505261135206307,12.499382643995881,1
7,GP,F,17.009891816424666,U,GT3,A,4.006762229932348,4.003270947485393,other,teacher,home,mother,2.000710981391709,2.014514933756515,-0.01785645406075724,yes,yes,no,no,yes,yes,no,no,3.995027106058409,1.4915518306986595,3.99309106713405,1.0134901249091357,1.4963604746016728,1.497675153344798,1.9968834259015718,9.504057354997668,12.501989444070876,1
8,GP,M,14.992973774668009,U,LE3,A,2.5069264660313593,1.504496070705658,services,other,home,mother,0.981407898854239,2.0025786736743445,0.008654741563589407,no,yes,no,no,yes,yes,yes,no,4.014370971091394,2.0075910580353917,1.9887249964723615,0.9885708735480803,0.9902316515504455,1.000671692463051,0.003986239623162925,15.002934577047693,16.501317404665496,1
9,GP,M,14.98359089469482,U,GT3,T,2.995690306418143,3.9980200460268422,other,other,home,mother,1.0194695463572883,1.996292258739771,-0.005622545568064272,no,yes,no,yes,yes,yes,yes,no,5.011449007600965,4.495444625723031,1.0023363087228814,0.9928552266668492,0.9912122506958558,4.998932505756776,-0.024857991215620996,12.496016769088929,12.51395420711436,1
10,GP,F,14.99810587347989,U,GT3,T,4.019014304596049,4.002552982135693,teacher,health,reputation,mother,1.0133440764127266,2.0025786736743445,-0.006030957309107235,no,yes,no,no,yes,yes,yes,no,3.0129367865653474,2.993418394572199,2.985450810066224,1.0016607472180004,2.5085679455588545,2.495082343233535,2.9997678273402713,13.994652920936634,13.486695770091583,1
11,GP,F,15.004715270899082,U,GT3,T,1.996212085613395,1.011254556615883,services,other,reputation,father,3.0129285865582203,2.5118202115469024,0.006046327658054951,no,yes,no,yes,yes,yes,yes,no,4.997723328017215,2.0075910580353917,2.0058691953958276,1.5021628325941478,1.0089754188420605,4.494185848355221,-0.0068579258902685385,10.001809305395573,11.500321300690892,1
12,GP,M,15.009898553410858,U,LE3,T,4.005018726131981,3.497499023741478,health,services,course,father,1.0140418115219,0.9926381233003287,0.010151121640682752,no,yes,no,yes,yes,yes,yes,no,4.004642311292483,3.0130214662066592,2.9959333971933693,0.9939046856048817,2.496845731278647,5.0220175148264605,-1.7962370184724727e-05,12.506043945394897,13.49324929409327,1
13,GP,M,14.996180629159984,U,GT3,T,3.990867828909253,2.5005715805745403,teacher,other,course,mother,2.0086804414456254,2.008116747831406,0.0037095842162920495,no,yes,no,no,yes,yes,yes,no,4.74554497562602,3.9938474973476135,2.998230255888004,0.999463071959974,1.4959169328573314,2.498726113748333,-0.021214976231128634,12.489590064895463,12.491216182265882,1
14,GP,M,15.504835563734765,U,GT3,A,2.0023771786228135,1.9991046735229254,other,other,home,other,1.0003002508000582,3.008580599913508,-0.0015229063156292967,no,yes,no,no,yes,yes,yes,yes,4.010308455948409,4.990848363615531,1.500038314865182,1.0088994062975536,0.9995510046566414,2.495082343233535,-0.015723286229575025,14.001541600217848,14.505764609519685,1
15,GP,F,16.007053839162534,U,GT3,T,4.002991972440609,3.9944751860844527,health,other,home,mother,0.9924936971086962,0.9843622046993948,0.0035866405695998806,no,yes,no,no,yes,yes,yes,no,4.500981654195527,3.999217767122474,4.010023319859876,0.999463071959974,2.5109989599345752,2.5038046106376726,6.000609659289976,17.00660979126934,16.49930204311704,1
16,GP,F,15.986602103616455,U,GT3,T,4.022782061909611,3.9983606435451353,services,services,reputation,mother,0.9840513347684559,2.503347325809696,-0.0028374740241133055,no,yes,no,yes,yes,yes,yes,no,3.501346832333635,2.0075910580353917,3.4931252826952703,1.0044744278546531,2.4833286858343424,2.5044081072744966,9.999933809041686,12.50214722777211,12.486168043314454,1
17,GP,F,15.504835563734765,U,GT3,T,3.500822032261438,3.4968274411283518,other,other,reputation,mother,2.997441562576224,1.4935221660630984,-0.003980291027747389,yes,yes,no,yes,yes,yes,no,no,4.995408137890932,2.98951978536856,2.497240341558488,0.9841603879753061,1.5016366700116592,4.483580700345191,1.983958332345162,12.499764783026611,13.501035125282325,1
18,GP,M,17.008340178485174,U,GT3,T,3.0077724988068173,1.9936189000472517,services,services,course,mother,1.0119028450666487,0.9766242686879979,2.9999937019531044,no,yes,yes,yes,yes,yes,yes,no,4.988626408782377,4.506521778695678,4.990060945888897,1.5052879331779723,3.503311032573932,4.502129597976815,2.0072246594107854,8.008070416348504,7.985446972508716,0
19,GP,M,16.00354210062942,U,LE3,T,4.000542960690476,3.000837383628445,health,other,home,father,1.0034813195622663,1.4937468264966354,0.004189154876311994,no,no,no,yes,yes,yes,yes,no,3.0091492905498063,0.9985556142050038,3.0025897237589794,0.9985101413602544,2.5092218436712566,4.98160108020508,5.998021207165212,12.515194344909013,12.489974346713275,1
20,GP,M,15.002836986408184,U,GT3,T,4.007259660716661,2.507474214400269,teacher,other,reputation,mother,0.9827570687082237,2.0052655271149975,0.005559289938332059,no,no,no,no,yes,yes,yes,no,3.9988377272982,4.003003222127652,1.0096684362468544,1.0005810948253056,0.975979681649761,0.9872867085374117,0.015732888702379853,12.507290603870832,13.510419361501812,1
