,DBA,borough,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,score,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Bayes Classification
0,MORRIS PARK BAKE SHOP,less wealthy,10462,Bakery,11/4/19,04N,Y,1,11/4/19,40.84823122,-73.85597189,211,13,25200,2045445,2041270037,BX37,1
1,WENDY'S,less wealthy,11225,Hamburgers,3/4/19,02G,Y,1,3/4/19,40.66265152,-73.96208137,309,40,32700,3029737,3011970017,BK60,1
2,DJ REYNOLDS PUB AND RESTAURANT,wealthier,10019,Irish,6/6/19,06C,Y,1,6/6/19,40.76732571,-73.98431042,104,3,13900,1026048,1010480008,MN15,1
3,RIVIERA CATERERS,less wealthy,11224,American,11/8/19,06D,Y,1,11/8/19,40.57992037,-73.98209025,313,47,34800,3347399,3069970098,BK21,1
4,WILKEN'S FINE FOOD,less wealthy,11234,Delicatessen,5/3/19,06C,Y,1,5/3/19,40.62011159,-73.90698949,318,46,70000,3237693,3084310041,BK45,1
5,TASTE THE TROPICS ICE CREAM,less wealthy,11226,"Ice Cream, Gelato, Yogurt, Ices",5/31/19,10F,N,1,5/31/19,40.64079502,-73.94848798,317,45,82800,3112318,3049640001,BK95,1
6,WILD ASIA,less wealthy,10460,American,5/22/19,04L,Y,1,5/22/19,40.85055596,-73.88245143,206,15,33400,2116700,2031200020,BX99,1
7,1 EAST 66TH STREET KITCHEN,wealthier,10065,American,10/1/19,04H,Y,1,10/1/19,40.76854691,-73.96958058,108,4,12200,1041159,1013810001,MN40,1
8,NATHAN'S FAMOUS,less wealthy,11224,Hotdogs,4/6/19,10F,N,1,4/6/19,40.57553687,-73.98165226,313,47,35200,3189660,3070740340,BK21,1
9,SEUDA FOODS,less wealthy,11223,Jewish/Kosher,12/6/19,06D,Y,1,12/6/19,40.60618692,-73.96546645,315,44,41800,3177501,3066640028,BK25,1
