,existingAcctStatus,duration,creditHistory,purpose,creditAmount,savingsAccountAndBonds, presentEmploymentSince,installmentRatePercentage,sex,relationshipStatus,otherDebtors,residentSince,property,age,installmentPlans,housing,existingCredits,job,liableFor,telephone,foreignWorker,creditQuality
0,A11,5.996997576923641,A34,A43,1060.006865620091,A65,A75,4.007357541116578,M,single,A101,3.994472338019796,A121,67.24391906321806,A143,A152,2.0028788276780176,A173,0.9909113062853523,A192,A201,1
1,A12,48.002306326755615,A32,A43,6489.4907593375265,A61,A73,2.0083113593825486,F,divorced/separated/married/widowed,A101,1.9886796330352683,A121,22.49169256844312,A143,A152,1.0046084056327758,A173,0.9923010126667009,A191,A201,0
2,A14,12.009740723359405,A34,A46,1827.9951789474028,A61,A74,1.996080160392998,M,single,A101,2.9999333749804853,A121,48.4963689038383,A143,A152,0.9789664493680057,A172,1.4942406644194066,A191,A201,1
3,A11,38.99712026243252,A32,A42,7677.986532496357,A61,A74,1.4916863001865772,M,single,A103,4.0104034916269145,A122,42.48820404785104,A143,A153,0.9850933948569772,A173,1.5068586389538434,A191,A201,1
4,A11,24.007847248633738,A33,A40,4384.7506986073495,A61,A73,2.498172280759679,M,single,A101,4.005692365927247,A124,53.49764298303818,A143,A153,1.4995095742049973,A173,1.5014596845847976,A191,A201,0
5,A14,32.99087841266044,A32,A46,8506.00536077502,A65,A73,1.4993631747518785,M,single,A101,4.001014275920387,A124,32.01230623820505,A143,A153,1.0012427459523994,A172,1.508948102247973,A192,A201,1
6,A14,20.994716675897916,A32,A42,2564.745853564244,A63,A75,2.4989233155934247,M,single,A101,4.0022640527005855,A122,53.25042667934399,A143,A152,0.9884753219349076,A173,1.0070705915076752,A191,A201,1
7,A12,32.99471164088401,A32,A41,6445.498570781364,A61,A73,1.5056544074293456,M,single,A101,1.4958765081090224,A123,32.00978128149572,A143,A151,1.001369495350306,A174,1.0094882458175016,A192,A201,1
8,A14,11.9979824135539,A32,A43,2791.495996586085,A64,A74,2.006843219587174,M,divorced/separated/married/widowed,A101,3.998904494137108,A121,60.00101651688987,A143,A152,0.9948260730672663,A172,1.004339127669108,A191,A201,1
9,A12,27.010912713979277,A34,A40,4588.999862225439,A61,A71,4.005522543749632,M,divorced/separated/married/widowed,A101,1.997094542476605,A123,25.99559967727513,A143,A152,1.9952929377060986,A174,0.9983518197279091,A191,A201,0
10,A12,13.502121066922996,A32,A40,1419.2519314100336,A61,A72,3.0099737531423143,F,divorced/separated/married/widowed,A101,1.504187924514763,A123,26.99739831089724,A143,A151,0.9847964536298358,A173,1.0046079391963119,A191,A201,0
11,A11,53.993568859511534,A32,A49,5087.005858670009,A61,A72,3.008046090741972,F,divorced/separated/married/widowed,A101,4.002719966108822,A122,26.003758548338652,A143,A151,0.9968119965485878,A173,1.0001873011906441,A191,A201,0
12,A12,11.992812983673549,A32,A43,1816.4985393627016,A61,A73,1.4950438748061772,F,divorced/separated/married/widowed,A101,1.0033044552141002,A123,23.009821561929506,A143,A152,0.994293806918618,A173,0.984665264138101,A192,A201,1
13,A11,21.003823534904882,A34,A40,1073.0041613568915,A61,A75,4.00792377524591,M,single,A101,4.014182941431017,A123,59.00121046052919,A143,A152,2.0088375527193225,A172,1.0020022807522335,A191,A201,0
14,A11,15.495049144065023,A32,A40,1614.4979954182822,A61,A73,2.490030619706867,F,divorced/separated/married/widowed,A101,4.000693734359004,A123,31.00286629262308,A143,A151,0.9789664493680057,A173,0.9902340265272793,A191,A201,1
15,A11,27.01240127195991,A32,A43,1390.5000478123065,A62,A73,4.007239995911574,F,divorced/separated/married/widowed,A101,2.0007314955984126,A123,34.99089691693645,A143,A152,0.9963980577761069,A172,0.9813366165072944,A191,A201,0
16,A14,22.494895404187723,A34,A43,2181.2511341078857,A65,A75,4.006490353652899,M,single,A101,4.008995024266584,A122,53.99840169018472,A143,A152,1.4984381385873096,A173,0.9949422572189215,A191,A201,1
17,A11,26.999946569781645,A30,A49,7749.001636453511,A65,A72,1.4923051773732485,M,single,A101,3.0088026198759694,A123,24.00364288576459,A141,A152,3.017364026356461,A173,1.006570345052042,A191,A201,1
18,A12,24.0050994218708,A32,A41,13413.742421122293,A61,A75,3.9955884979990497,F,divorced/separated/married/widowed,A101,2.014802534564166,A124,45.511582667610384,A143,A153,0.9840511322662945,A174,0.9897808939121943,A192,A201,0
