,existingAcctStatus,duration,creditHistory,purpose,creditAmount,savingsAccountAndBonds, presentEmploymentSince,installmentRatePercentage,sex,relationshipStatus,otherDebtors,residentSince,property,age,installmentPlans,housing,existingCredits,job,liableFor,telephone,foreignWorker,creditQuality
0,A11,6.001830495936795,A34,A43,1060.0127831860864,A65,A75,3.992748349800671,M,single,A101,3.9959219706334093,A121,67.240687991334,A143,A152,2.012417741999472,A173,1.002437566017493,A192,A201,1
1,A12,49.507184144705775,A32,A43,6489.50485049256,A61,A73,2.5036386352019377,F,divorced/separated/married/widowed,A101,2.0018971355575887,A121,22.998380936652577,A143,A152,0.9796257944539495,A173,1.003468691994468,A191,A201,0
2,A14,11.998537200089004,A34,A46,1828.0010086273983,A61,A74,1.9951193068762842,M,single,A101,3.0113762790460594,A121,48.506805810959506,A143,A152,0.9870741458827863,A172,1.992117241181238,A191,A201,1
3,A11,39.00775030235547,A32,A42,7677.99993758061,A61,A74,2.0026931289664773,M,single,A103,3.9987393756992864,A122,43.01009177372893,A143,A153,0.9914446928668852,A173,1.4999829952556785,A191,A201,1
4,A11,23.99289272434126,A33,A40,4384.756229278108,A61,A73,3.0004488672725698,M,single,A101,4.000597149888273,A124,53.99518790259759,A143,A153,1.9901744799394447,A173,2.006369280603397,A191,A201,0
5,A14,34.51142550511213,A32,A46,8506.00946088588,A65,A73,2.0004538603116844,M,single,A101,4.018476022263176,A124,31.991015624896722,A143,A153,1.003301611491259,A172,1.513791407552676,A192,A201,1
6,A14,22.492318868624967,A32,A42,2564.7540375062404,A63,A75,3.0029455400549825,M,single,A101,3.9915289264298948,A122,53.240822470359916,A143,A152,0.9975617009261337,A173,1.0126212650933333,A191,A201,1
7,A12,36.00180000280521,A32,A41,6445.506229568315,A61,A73,1.997612305199342,M,single,A101,2.506069284089817,A123,31.989534512468715,A143,A151,0.9946593805614683,A174,0.9896474972579232,A192,A201,1
8,A14,12.007348113869805,A32,A43,2791.4939038241027,A64,A74,1.5055091089411206,M,divorced/separated/married/widowed,A101,3.9990294294827047,A121,59.5000479602605,A143,A152,1.0016979279218794,A172,1.0113451399158548,A191,A201,1
9,A12,26.999600467115656,A34,A40,4588.995710863257,A61,A71,4.003247849879498,M,divorced/separated/married/widowed,A101,1.4982245123030964,A123,26.005468022116947,A143,A152,2.007083922653238,A174,0.9784103061926892,A191,A201,0
10,A12,11.984210858333041,A32,A40,1415.9944633553919,A61,A72,3.0070578819874845,F,divorced/separated/married/widowed,A101,0.9888366018984786,A123,27.49099563826892,A143,A151,1.0069259836160176,A173,0.9914905670260432,A191,A201,0
11,A11,47.99908980595448,A32,A49,5087.0104015066,A61,A72,3.4961726395869266,F,divorced/separated/married/widowed,A101,3.4970254229618623,A122,25.4936500535447,A143,A151,1.0025026828161283,A173,0.9951265964992393,A191,A201,0
12,A12,12.011779318120169,A32,A43,1816.4940494237749,A61,A73,1.5144507740530226,F,divorced/separated/married/widowed,A101,1.0129633147988661,A123,22.746887205574264,A143,A152,0.9994711356024871,A173,1.0040589035951604,A192,A201,1
13,A11,24.009303156886084,A34,A40,1073.0066779376393,A61,A75,3.983887032647183,M,single,A101,3.99738944611908,A123,58.99125135379117,A143,A152,1.99167942420942,A172,1.007948063441468,A191,A201,0
14,A11,16.50541915997361,A32,A40,1614.501394414076,A61,A73,1.9955970087655361,F,divorced/separated/married/widowed,A101,3.987717907058329,A123,31.003244782952322,A143,A151,1.0191226301981864,A173,1.5022815308088124,A191,A201,1
15,A11,25.499977617586794,A32,A43,1385.4992302651972,A62,A73,3.9853325698507214,F,divorced/separated/married/widowed,A101,1.990999173873758,A123,34.50075318254262,A143,A152,1.006154482939483,A172,0.9742313276391954,A191,A201,0
16,A14,21.00494710761732,A34,A43,2181.2495586410696,A65,A75,3.9950441853238354,M,single,A101,3.9966795537733697,A122,53.49798506558146,A143,A152,1.9986834627032004,A173,1.006729143755317,A191,A201,1
17,A11,26.996521521114673,A30,A49,7749.003525309885,A65,A72,1.9980691785714115,M,single,A101,3.4937461974495942,A123,23.982470671527548,A141,A152,3.0030868143149396,A173,1.0036413378518527,A191,A201,1
18,A12,24.00483570114927,A32,A41,13413.743421625844,A61,A75,3.992875649900049,F,divorced/separated/married/widowed,A101,2.001088824122453,A124,45.506882886899234,A143,A153,1.0003621226145019,A174,0.9913317576776255,A192,A201,0
19,A14,23.99870395488864,A32,A43,3169.4967342743394,A63,A75,3.0124311186323487,M,single,A101,1.9966846436438237,A123,28.0086133780069,A143,A152,1.0005147829498524,A173,1.511912675218296,A192,A201,1
20,A14,8.494468178120975,A34,A40,1856.9956453995433,A61,A73,3.9992812954767007,M,single,A101,3.989264177353645,A123,47.489347306406735,A143,A152,3.748086310122793,A173,1.010294250436837,A192,A201,1
21,A11,6.0060725078121555,A32,A43,2395.4933481156277,A63,A73,2.0011034211047622,M,single,A101,3.004284765764222,A121,41.50431233367615,A143,A151,0.9924901529239507,A173,1.5060782309027851,A191,A201,1
22,A11,9.511618365120702,A34,A40,2009.4901757388204,A61,A72,0.9875062621693858,M,single,A101,3.4948779297140837,A121,46.500671039956345,A143,A151,2.002176603990578,A172,1.516742600917477,A191,A202,1
23,A12,12.001185443698432,A34,A41,1597.502882100675,A62,A72,3.0039742822393034,M,single,A101,4.004284345814032,A122,41.50176192784532,A143,A152,0.9994711356024871,A173,0.9983295638109018,A191,A201,1
24,A14,10.01144691723047,A34,A42,1816.4940494237749,A65,A73,1.9982621353818575,M,divorced/separated/married/widowed,A101,0.9862996588694042,A123,24.749945054444307,A143,A152,2.001557332274178,A173,0.9951032723662862,A191,A202,1
25,A11,5.992149902036871,A32,A42,1302.991216909551,A61,A73,1.000873292184777,M,single,A101,2.0128569623052073,A121,32.99675488732815,A141,A152,0.9883658951842262,A172,1.001051201969552,A192,A201,1
26,A14,6.00067095031026,A30,A43,369.9946084692448,A61,A75,3.994485890722169,M,divorced/separated/married/widowed,A101,4.009436273886413,A123,36.50432736554697,A143,A152,0.9974216812767374,A172,1.0078700212249574,A191,A201,1
27,A13,11.994708701278284,A31,A43,515.2474312831035,A64,A73,3.4895216282685713,F,divorced/separated/married/widowed,A101,3.003236606375763,A121,43.990456927119396,A143,A151,2.0040605545536563,A173,1.0099178509914202,A191,A201,1
28,A12,6.505313258157451,A32,A43,2181.2495586410696,A61,A73,3.00819326301366,M,single,A103,2.022780226751612,A121,30.989974800249023,A143,A152,1.0046633794061073,A173,0.9795866103066864,A191,A201,1
29,A11,60.00558989273918,A33,A49,6290.995390597494,A61,A75,2.49847636795504,M,single,A101,4.003029803815432,A124,62.50832671509501,A143,A152,2.004253101845075,A173,0.9896224491354018,A192,A201,0
30,A12,16.510312772645857,A32,A49,1681.0109039683061,A64,A72,2.491735340682435,M,divorced/separated/married/widowed,A101,3.4951523154915707,A121,32.505696225173665,A141,A152,0.9945854268938334,A173,1.0106330811949535,A192,A201,1
31,A11,21.00305815375709,A32,A42,3756.0043993037666,A61,A73,1.9962720132714988,M,single,A101,1.501837928980682,A123,25.006037795071745,A142,A152,0.9995909120538549,A173,0.9899031417450805,A191,A201,1
32,A12,16.49528270725806,A32,A40,5087.0104015066,A62,A73,1.495973993965475,M,single,A101,1.997686590735852,A123,27.494500358263533,A143,A152,1.508149221757741,A173,0.9851053957781599,A192,A201,1
33,A14,11.989531243740391,A34,A49,1181.0047224630157,A65,A75,3.997087325750547,M,single,A101,4.0039054536035446,A124,57.00260929289894,A143,A151,0.9918898916578874,A172,0.9963719910284694,A191,A201,1
