,existingAcctStatus,duration,creditHistory,purpose,creditAmount,savingsAccountAndBonds, presentEmploymentSince,installmentRatePercentage,sex,relationshipStatus,otherDebtors,residentSince,property,age,installmentPlans,housing,existingCredits,job,liableFor,telephone,foreignWorker,creditQuality
0,A11,5.980264653622465,A34,A43,1060.0090617680496,A65,A75,3.995505661765299,M,single,A101,3.9900527707016633,A121,67.2351123132764,A143,A152,1.995272691744114,A173,0.9996324919780228,A192,A201,1
1,A12,48.00745794575763,A32,A43,6489.51248769492,A61,A73,2.4936539244124147,F,divorced/separated/married/widowed,A101,2.0057798912806817,A121,22.501383713598763,A143,A152,0.9951582700174068,A173,0.9811723246400519,A191,A201,0
2,A14,11.992414847565332,A34,A46,1827.9920750698852,A61,A74,1.9930382115785685,M,single,A101,3.497400655432119,A121,47.495501196412405,A143,A152,0.9944283722813481,A172,1.516943475304469,A191,A201,1
3,A11,38.99677983299416,A32,A42,7677.993691769852,A61,A74,1.4937720890310042,M,single,A103,4.00254114878985,A122,42.99236025995207,A143,A153,1.011354851187729,A173,1.5118578584626232,A191,A201,1
4,A11,22.496218778583994,A33,A40,4384.744519459242,A61,A73,3.007626465307732,M,single,A101,3.9920566453515036,A124,53.5015758157034,A143,A153,1.9895587181588592,A173,2.0246635802624686,A191,A201,0
5,A14,30.003509503674344,A32,A46,8506.014388022582,A65,A73,2.0063887505990112,M,single,A101,3.997282086927969,A124,32.003375401056715,A143,A153,1.0051569827207618,A172,1.5003624364120711,A192,A201,1
6,A14,22.495860101841586,A32,A42,2564.748905752115,A63,A75,2.496037178256396,M,single,A101,3.99560507867563,A122,53.5015758157034,A143,A152,1.0123981684715577,A173,0.9913768744215308,A191,A201,1
7,A12,30.000641880242988,A32,A41,6445.492535187508,A61,A73,2.0034484283158442,M,single,A101,2.010590300495667,A123,32.251420817025675,A143,A151,0.9944283722813481,A174,1.0006406942351493,A192,A201,1
8,A14,11.494115853532985,A32,A43,2791.4983855730197,A64,A74,1.999763934808434,M,divorced/separated/married/widowed,A101,4.0077290998679285,A121,60.25397921999121,A143,A152,0.9980773303865182,A172,1.0119165850931253,A191,A201,1
9,A12,27.014848957920755,A34,A40,4589.007646837014,A61,A71,4.001059955386999,M,divorced/separated/married/widowed,A101,1.5030302414735695,A123,26.001870788849367,A143,A152,1.5054083787930828,A174,1.013080727659021,A191,A201,0
10,A12,12.014047479816899,A32,A40,1415.9932971306903,A61,A72,3.0016901327067336,F,divorced/separated/married/widowed,A101,0.9994578801145428,A123,26.987171722268535,A143,A151,1.0053438552813736,A173,1.0078999514747453,A191,A201,0
11,A11,48.004259395657414,A32,A49,5086.995019733014,A61,A72,3.004295994321641,F,divorced/separated/married/widowed,A101,3.9959713781299104,A122,25.991191269399913,A143,A151,1.5011522032629165,A173,1.0087633300261505,A191,A201,0
12,A12,12.001368990864346,A32,A43,1816.4969765310466,A61,A73,1.4947506060005709,F,divorced/separated/married/widowed,A101,0.9764272390516564,A123,23.00269736446404,A143,A152,1.0052153796869,A173,1.004236991413884,A192,A201,1
13,A11,23.996012152427276,A34,A40,1072.99843258934,A61,A75,3.9957643640528713,M,single,A101,4.0043215019986,A123,58.99840087684251,A143,A152,2.0148628773978245,A172,1.0019225073401232,A191,A201,0
14,A11,16.495246159392334,A32,A40,1614.5008475417822,A61,A73,2.004289091676089,F,divorced/separated/married/widowed,A101,4.004167993481902,A123,31.256538701793893,A143,A151,1.002931732285964,A173,1.000766752865403,A191,A201,1
15,A11,27.006124359604378,A32,A43,1385.4919775080339,A62,A73,4.009807476624752,F,divorced/separated/married/widowed,A101,2.0006872116506833,A123,34.987457183398284,A143,A152,0.992773259673654,A172,1.0040885255941228,A191,A201,0
16,A14,24.009859318209674,A34,A43,2181.2598155907854,A65,A75,4.004270915340635,M,single,A101,4.027257329966951,A122,53.99269279618542,A143,A152,2.0184630685287415,A173,1.001829951234143,A191,A201,1
17,A11,27.01197669581409,A30,A49,7748.993475212932,A65,A72,2.0118640811001707,M,single,A101,2.9902432779204102,A123,23.996993881089654,A141,A152,2.5109756941595416,A173,1.0018621014903644,A191,A201,1
18,A12,24.00662249411321,A32,A41,13413.75276096708,A61,A75,4.027185393190318,F,divorced/separated/married/widowed,A101,1.9935670922541586,A124,45.4853614958796,A143,A153,0.9971590742664393,A174,1.0006837227765166,A192,A201,0
19,A14,22.493903545722866,A32,A43,3169.492455231192,A63,A75,2.503032251533214,M,single,A101,1.0145079262583407,A123,27.998668454151503,A143,A152,1.005654412219722,A173,2.0246635802624686,A192,A201,1
20,A14,8.986938732417329,A34,A40,1857.0064988808467,A61,A73,4.001233537562625,M,single,A101,4.0016193777785,A123,47.00165579390451,A143,A152,2.5109756941595416,A173,0.9948380830925435,A192,A201,1
21,A11,6.000518089550478,A32,A43,2395.4979206343182,A63,A73,2.0006224806868858,M,single,A101,3.497400655432119,A121,41.507830718994484,A143,A151,1.0044168199865515,A173,1.505282448463293,A191,A201,1
22,A11,10.007050709264403,A34,A40,2009.4916884334893,A61,A72,0.9978608240378253,M,single,A101,2.995284347760343,A121,46.50050259381353,A143,A151,2.0050687377016274,A172,1.507389459788512,A191,A202,1
23,A12,11.994425769682682,A34,A41,1597.4934113614772,A62,A72,3.0081421461626077,M,single,A101,3.988086011559391,A122,41.49752413372851,A143,A152,0.9919115927932816,A173,1.0024323657460972,A191,A201,1
24,A14,9.50040529979149,A34,A42,1816.4969765310466,A65,A73,2.0116719774262615,M,divorced/separated/married/widowed,A101,1.0049023831668993,A123,24.50809820066955,A143,A152,1.4977490263485902,A173,0.999316810221129,A191,A202,1
25,A11,5.998864636787166,A32,A42,1303.0066814521456,A61,A73,0.9928267847957288,M,single,A101,2.0006872116506833,A121,33.01121238161683,A141,A152,0.997623733733783,A172,0.9893452840517272,A192,A201,1
26,A14,6.000001340437143,A30,A43,370.00882112417827,A61,A75,4.002006739736583,M,divorced/separated/married/widowed,A101,4.008099092416845,A123,35.988475734821264,A143,A152,1.0174542390923125,A172,0.9991975630177352,A191,A201,1
27,A13,13.504668938475158,A31,A43,515.2452435619832,A64,A73,3.495655932671895,F,divorced/separated/married/widowed,A101,2.5015534067077843,A121,43.9896799786311,A143,A151,2.0068803503259174,A173,0.9901875121753452,A191,A201,1
28,A12,6.509496079483334,A32,A43,2181.2598155907854,A61,A73,2.9934760444350026,M,single,A103,1.9878531326218376,A121,31.00264684575946,A143,A152,1.002031776944558,A173,0.9987925912622162,A191,A201,1
29,A11,59.99823119004779,A33,A49,6291.005175825112,A61,A75,2.5031929079084234,M,single,A101,4.0014964550538,A124,62.001546234891194,A143,A152,1.9976069200285156,A173,1.0114083858944212,A192,A201,0
