,existingAcctStatus,duration,creditHistory,purpose,creditAmount,savingsAccountAndBonds, presentEmploymentSince,installmentRatePercentage,sex,relationshipStatus,otherDebtors,residentSince,property,age,installmentPlans,housing,existingCredits,job,liableFor,telephone,foreignWorker,creditQuality
0,A11,5.99540238319998,A34,A43,1060.0128076853782,A65,A75,4.007094017625112,M,single,A101,4.008817391135505,A121,67.25844762820414,A143,A152,1.4977093183006436,A173,0.994294694669895,A192,A201,1
1,A12,49.50985596825119,A32,A43,6489.495949052838,A61,A73,1.9960997054510425,F,divorced/separated/married/widowed,A101,1.997344558000962,A121,22.99044470785543,A143,A152,0.9887238022538927,A173,1.005227925613511,A191,A201,0
2,A14,12.002036712933265,A34,A46,1828.0013911662504,A61,A74,1.4987688475653484,M,single,A101,3.4955610376321733,A121,48.49981349111407,A143,A152,0.995419763935842,A172,1.5116375343520332,A191,A201,1
3,A11,38.994062766451094,A32,A42,7678.011636861939,A61,A74,2.0048036222515764,M,single,A103,3.9962803709768435,A122,42.494262473253144,A143,A153,1.0014731873583136,A173,1.5110113210801837,A191,A201,1
4,A11,23.999806021066167,A33,A40,4384.754780752963,A61,A73,2.4975386699166515,M,single,A101,3.9823497825455663,A124,53.99699068860576,A143,A153,1.9942065376137101,A173,1.5095392537797565,A191,A201,0
5,A14,31.498630791044246,A32,A46,8506.004829264111,A65,A73,1.5029698594848526,M,single,A101,4.01513381993182,A124,31.250044730957296,A143,A153,0.9981661089614947,A172,1.5039420684500793,A192,A201,1
6,A14,20.99562591835949,A32,A42,2564.754819643077,A63,A75,2.9984229505811584,M,single,A101,4.0042132709532545,A122,53.24932424198802,A143,A152,1.0051128207239532,A173,0.999437815606318,A191,A201,1
7,A12,36.00000704797216,A32,A41,6445.500019380184,A61,A73,1.4961488238675,M,single,A101,1.9977744222549239,A123,31.99573483218999,A143,A151,0.9878277084715876,A174,1.0112435180585653,A192,A201,1
8,A14,11.996631371749249,A32,A43,2791.4930399765726,A64,A74,1.9961603188254533,M,divorced/separated/married/widowed,A101,4.018623885385598,A121,59.497013165965996,A143,A152,1.0130938690467417,A172,0.9820747245292232,A191,A201,1
9,A12,27.01232680986053,A34,A40,4588.997833922812,A61,A71,3.9922797741684226,M,divorced/separated/married/widowed,A101,2.0041050223932397,A123,26.011385343882644,A143,A152,1.9951746973824402,A174,0.9782896332321738,A191,A201,0
10,A12,12.011071077871236,A32,A40,1419.2487105534342,A61,A72,2.988862011118234,F,divorced/separated/married/widowed,A101,0.9781383506500404,A123,27.495040583489505,A143,A151,0.9908887412063956,A173,0.992900450320134,A191,A201,0
11,A11,47.98883676381885,A32,A49,5086.993443974417,A61,A72,2.9984229505811584,F,divorced/separated/married/widowed,A101,3.98536389996361,A122,26.005420462170896,A143,A151,1.0000303992371689,A173,0.9939551669915028,A191,A201,0
12,A12,12.005534572225596,A32,A43,1816.496033500255,A61,A73,0.9994357728279566,F,divorced/separated/married/widowed,A101,0.9916735296782466,A123,23.00076579670004,A143,A152,1.0092819926306027,A173,0.995838913414266,A192,A201,1
13,A11,20.99365109879527,A34,A40,1073.0014193510772,A61,A75,4.008954150762751,M,single,A101,4.024120571189274,A123,58.000539461094455,A143,A152,1.999527995013758,A172,1.0084030234754784,A191,A201,0
14,A11,15.003097095108771,A32,A40,1614.494470632244,A61,A73,2.0009781751833104,F,divorced/separated/married/widowed,A101,3.9874005719607455,A123,30.988386490457167,A143,A151,0.9830935087751462,A173,1.0072581287383295,A191,A201,1
15,A11,24.005402490431166,A32,A43,1390.505213477025,A62,A73,4.005321337969109,F,divorced/separated/married/widowed,A101,1.9943620738908054,A123,34.49879641108989,A143,A152,1.0100426482970497,A172,0.98997137738541,A191,A201,0
16,A14,24.010142735052572,A34,A43,2181.25114458316,A65,A75,4.012690860465492,M,single,A101,3.998781390026142,A122,53.502290992443335,A143,A152,1.5022696296927596,A173,1.005971645817972,A191,A201,1
17,A11,26.9956020049002,A30,A49,7749.004321260363,A65,A72,2.0060915734614255,M,single,A101,2.9957582065597284,A123,23.99886538840859,A141,A152,3.003572210168755,A173,0.9940685433911367,A191,A201,1
18,A12,23.99342947343611,A32,A41,13413.750861646595,A61,A75,3.990912804254173,F,divorced/separated/married/widowed,A101,2.0024149121126413,A124,45.50876089670754,A143,A153,1.007943789694751,A174,1.0025678789554648,A192,A201,0
19,A14,24.00851868266571,A32,A43,3169.503240460397,A63,A75,2.5017068620375618,M,single,A101,2.0060235888644664,A123,28.499539479872908,A143,A152,1.0006505410784927,A173,1.506873800277818,A192,A201,1
20,A14,9.005202238449668,A34,A40,1856.9989073083302,A61,A73,4.002498726192009,M,single,A101,4.024120571189274,A123,46.49397490725157,A143,A152,2.5064579404623717,A173,1.0144780949777257,A192,A201,1
21,A11,5.990616552133893,A32,A43,2395.4947356016446,A63,A73,2.0008181777685965,M,single,A101,2.993539531926052,A121,40.75543160980146,A143,A151,1.0172970327009976,A173,1.5070287338370734,A191,A201,1
22,A11,9.50649922721473,A34,A40,2009.4951294462535,A61,A72,0.9903279747345872,M,single,A101,2.9968699267165286,A121,46.51154819280323,A143,A151,1.509583025869875,A172,1.509186235435601,A191,A202,1
23,A12,11.987744554913832,A34,A41,1597.5139656093243,A62,A72,3.0128635257896486,M,single,A101,3.989077371948053,A122,41.50987181874359,A143,A152,0.9991671763007792,A173,0.9939551669915028,A191,A201,1
24,A14,9.99546455497038,A34,A42,1816.496033500255,A65,A73,2.005773656067065,M,divorced/separated/married/widowed,A101,0.9984259617064523,A123,24.495248301896304,A143,A152,2.0085553071617492,A173,0.9890271608658457,A191,A202,1
25,A11,5.99540238319998,A32,A42,1303.0024848469548,A61,A73,0.9848214349263849,M,single,A101,1.999587315490584,A121,32.49566881926376,A141,A152,1.0035601902141527,A172,0.9979724174156293,A192,A201,1
26,A14,6.0036701287161405,A30,A43,369.995846417559,A61,A75,3.9987566123702214,M,divorced/separated/married/widowed,A101,4.003027353678717,A123,36.50330843268547,A143,A152,1.002369951593241,A172,0.9890941839520787,A191,A201,1
27,A13,11.996772591411542,A31,A43,515.2518887183885,A64,A73,2.991518372378409,F,divorced/separated/married/widowed,A101,2.4997424067957477,A121,43.992886701874255,A143,A151,1.9991453425853305,A173,0.9940685433911367,A191,A201,1
28,A12,6.51427266478924,A32,A43,2181.25114458316,A61,A73,2.5074973884624066,M,single,A103,1.9987720723407993,A121,31.00754765296338,A143,A152,1.0032278830212453,A173,0.999466674581065,A191,A201,1
29,A11,54.00704828477062,A33,A49,6290.996349770474,A61,A75,3.0116010332864507,M,single,A101,3.9996611441035714,A124,61.492052210208925,A143,A152,2.0108157893294853,A173,0.9866230448668509,A192,A201,0
30,A12,18.009094876698008,A32,A49,1680.9998264108738,A64,A72,2.999543995741128,M,divorced/separated/married/widowed,A101,3.500268556949732,A121,32.497727456602036,A141,A152,1.0025545911772655,A173,0.9790590201664011,A192,A201,1
31,A11,23.99342947343611,A32,A42,3755.998339992351,A61,A73,1.49828262331887,M,single,A101,1.495117844396618,A123,25.498216054971543,A142,A152,1.006979649587438,A173,0.9967928972876868,A191,A201,1
32,A12,17.995836095778714,A32,A40,5086.993443974417,A62,A73,1.5018103619839618,M,single,A101,2.009873435019271,A123,27.515326990953774,A143,A152,2.0002385363534367,A173,0.9968233208166233,A192,A201,1
33,A14,11.500736847521122,A34,A49,1180.997334555223,A65,A75,3.9872706656417076,M,single,A101,3.9897764484149913,A124,56.743242063081084,A143,A151,0.9990436714379467,A172,0.9878795533280682,A191,A201,1
34,A13,12.016096049606965,A32,A42,1702.499355030896,A61,A72,4.014047490987869,F,divorced/separated/married/widowed,A101,1.0009261406255956,A122,35.49821810307986,A141,A152,0.9935151240062994,A174,0.975907238470689,A192,A201,1
35,A12,40.500981968512676,A34,A43,4287.501389473456,A61,A72,3.9994027807907946,M,single,A101,1.9927802983604619,A122,24.002229070387166,A143,A152,1.5024572770554872,A172,1.0029001086643752,A191,A201,0
36,A14,44.99662806263761,A34,A46,5329.4987963768435,A61,A73,0.9994357728279566,M,single,A101,3.497589115653049,A124,28.00419238211014,A141,A153,1.0060494021459832,A173,1.0023390156139582,A192,A201,1
37,A13,17.997449657634682,A32,A43,1837.99300038374,A61,A73,4.0032119911514386,M,single,A102,1.999060951396448,A121,33.99973108037328,A142,A152,0.9881689833974223,A173,1.0051599964960558,A191,A201,0
38,A13,10.001271803318119,A32,A44,1126.2460273213553,A61,A73,1.5096965833812552,M,single,A101,1.9982557620715193,A123,34.49879641108989,A143,A152,1.0101490108978446,A173,1.0142105622469777,A192,A201,1
39,A12,9.000466952798483,A32,A43,408.99731025469896,A61,A73,4.0122724626558846,M,single,A101,2.995059571795564,A121,22.99044470785543,A143,A152,1.0008626221599446,A173,1.0061136370165205,A191,A201,1
40,A14,26.997262090717655,A32,A43,2099.497147164032,A63,A75,3.9999640073262617,M,single,A101,1.9956635367366307,A123,27.494161692560592,A141,A152,0.9965724037181632,A174,1.0130225978307963,A191,A201,1
41,A12,11.99036912545656,A32,A43,1044.9930726102282,A63,A73,3.004591632022408,M,divorced/separated/married/widowed,A101,0.9968124813092072,A123,24.512484225838758,A143,A152,1.005351288377775,A173,1.004620877051221,A192,A201,1
42,A12,16.49327748508056,A33,A45,5404.996903279456,A61,A73,1.995331333090335,M,single,A101,4.013430058959779,A121,41.5030117948791,A143,A152,1.0072196835850238,A172,1.5075082147417882,A192,A201,1
43,A11,27.00584444620779,A34,A41,5404.996903279456,A62,A74,0.9943059885471636,M,divorced/separated/married/widowed,A101,4.005899727453604,A123,22.99760147955057,A143,A151,1.9942065376137101,A173,1.0033226094612298,A191,A201,1
44,A11,48.01136876550842,A34,A41,6687.997044341257,A61,A75,3.9884785529174973,F,divorced/separated/married/widowed,A101,3.989477407481745,A124,59.497013165965996,A142,A153,2.0038700640086384,A172,0.9975622181519337,A191,A201,0
45,A14,11.500736847521122,A34,A40,1597.5139656093243,A61,A72,4.021952285428893,F,divorced/separated/married/widowed,A101,4.0039862311419725,A123,37.99505076867344,A143,A152,2.016103871557288,A174,1.5075082147417882,A191,A201,1
46,A14,32.99769226254152,A32,A43,2067.752593059856,A63,A75,3.989193816910479,M,single,A101,4.001868243865053,A123,35.993644214403346,A143,A152,0.9905097088690658,A173,1.0113543368258706,A191,A201,1
47,A11,5.99540238319998,A32,A41,1451.2374410121379,A63,A71,1.5047048064849018,F,divorced/separated/married/widowed,A101,1.9864027419825498,A122,24.99990788707601,A143,A151,1.0002208569283937,A171,0.9829484224544149,A192,A201,1
48,A14,10.497410275142823,A34,A40,6687.997044341257,A61,A73,0.9997101184382926,M,single,A101,4.003572570357592,A122,36.010486472095536,A143,A152,1.5048780066223197,A172,1.0113543368258706,A191,A201,1
49,A14,12.005804736311635,A32,A43,2339.248782599202,A62,A73,4.0122724626558846,F,divorced/separated/married/widowed,A102,1.996875038377704,A121,31.002744309249188,A143,A152,1.010774646744018,A173,1.0047388577677805,A191,A201,1
50,A12,24.004887703721927,A33,A42,2095.0065695440735,A65,A72,4.010636171214622,M,single,A101,1.9900907707913456,A122,26.514739965834508,A141,A152,0.9905903192649711,A172,1.0004906403681306,A191,A201,1
51,A12,25.497734447680557,A33,A41,5166.249973400752,A61,A75,0.9922476843958523,M,single,A101,1.985969756299267,A123,27.500962204688296,A143,A152,1.4998654928473787,A174,0.9951695579677492,A192,A201,1
52,A14,11.481237354620813,A32,A43,1177.0023636121705,A61,A73,3.0013583133463717,M,single,A101,1.992236146940109,A123,23.998464036959206,A143,A152,1.0028193846832183,A173,0.9914711376422634,A191,A201,1
53,A14,16.501305352742136,A32,A41,3081.5012548395553,A65,A73,1.5008401962455467,M,single,A101,1.0041838468384368,A122,28.493273391182676,A143,A152,0.989567079353266,A173,1.005227925613511,A192,A201,1
54,A12,29.998245711277974,A33,A40,1992.493732122433,A61,A75,3.4968808458836396,M,single,A101,3.9966975968286653,A124,57.00042583142522,A141,A153,1.506365661158079,A173,0.9968233208166233,A192,A201,0
55,A14,6.003158048978124,A31,A40,732.4967900536226,A65,A73,1.000100060056334,M,single,A103,1.9869710701817436,A121,24.492309319905814,A142,A152,0.9905903192649711,A172,1.5095392537797565,A191,A201,1
56,A12,11.989801295418689,A32,A43,5790.756351535592,A65,A71,2.005054539694162,M,single,A101,0.9904120519243187,A124,52.5040803508007,A143,A152,0.9770700728537376,A174,0.9890941839520787,A192,A201,0
57,A14,37.49650075928537,A34,A43,10241.991944002384,A61,A73,1.9972577816420831,F,divorced/separated/married/widowed,A101,2.0044900159889965,A123,33.99659031154845,A142,A152,2.508750806550494,A173,1.0057961674033136,A191,A201,1
58,A13,17.997449657634682,A32,A40,2207.255364834254,A61,A75,2.996883218977006,F,divorced/separated/married/widowed,A101,2.0144625072076234,A123,23.99257149868835,A143,A152,1.5051267116930946,A174,0.994373373606068,A191,A201,1
59,A11,40.500981968512676,A34,A42,6762.995855359812,A61,A72,4.0032119911514386,F,divorced/separated/married/widowed,A102,4.004678655733125,A124,23.987934389023234,A143,A151,2.0139123783867325,A172,0.9963183531729829,A192,A201,0
60,A12,7.981266641363215,A32,A49,1311.0106384431324,A61,A73,1.9972577816420831,M,divorced/separated/married/widowed,A101,0.9781383506500404,A121,24.99990788707601,A141,A152,0.9851258437135948,A173,0.9987876108685922,A192,A201,1
61,A12,14.00307462334105,A34,A43,1415.9957009458428,A65,A75,4.019130202607185,M,single,A103,3.9874005719607455,A121,50.0066901962084,A143,A152,2.003448578136174,A173,0.9808578469143885,A192,A201,1
62,A12,34.495913157868216,A30,A49,1733.75522234079,A61,A75,3.9933196190833726,M,single,A101,3.9996387988481183,A124,59.497013165965996,A143,A153,0.9836027866341284,A174,0.9922316477156651,A192,A201,0
63,A12,47.99616385313849,A30,A49,13732.001921799008,A61,A73,1.9935599541856206,M,single,A101,2.504221635823847,A123,24.002229070387166,A143,A152,1.0042226961644434,A173,0.9903107066870956,A192,A201,0
64,A14,25.501452885412604,A32,A43,3416.2366812435494,A61,A72,4.007094017625112,F,divorced/separated/married/widowed,A101,4.002439746020075,A122,29.00064686092407,A143,A152,0.9976847094396819,A173,1.0001695963351873,A192,A201,1
65,A14,25.50376734335066,A32,A45,4588.997833922812,A65,A75,3.49888943824154,M,single,A101,4.0043337040375135,A122,46.4812068650854,A143,A152,4.005018226852506,A173,2.0061841466608676,A192,A201,1
66,A14,12.003591098113246,A32,A43,2449.493241327045,A61,A72,2.0008181777685965,F,divorced/separated/married/widowed,A101,1.9956635367366307,A123,31.988863775586825,A141,A152,1.499042659108372,A173,1.0107616814107379,A191,A201,1
67,A12,11.992425014812817,A32,A40,919.5010554520322,A64,A73,4.002920816486034,M,divorced/separated/married/widowed,A101,0.9781383506500404,A121,21.00770544394858,A143,A152,1.0100426482970497,A173,0.9842280858199624,A191,A201,1
68,A14,32.99466061006985,A32,A46,1610.7477626865711,A61,A73,3.9938845625386676,M,single,A101,3.996158959838132,A124,33.9931367187389,A142,A153,1.0082352737150204,A173,0.9935012559328027,A192,A201,0
69,A14,36.00000704797216,A32,A43,2677.2532025210626,A65,A73,3.9867658060894944,F,divorced/separated/married/widowed,A101,4.001605004249931,A123,27.510742958767196,A143,A152,1.0082352737150204,A173,1.0015137010685393,A191,A201,1
70,A14,35.99805747758755,A32,A41,8774.99387591234,A61,A73,1.4987688475653484,F,divorced/separated/married/widowed,A101,2.0071563572029296,A122,33.00409736558529,A141,A152,0.9938483055936298,A173,1.4958664090230989,A191,A201,1
71,A14,6.51427266478924,A34,A43,697.2427470544333,A65,A75,4.008250388211879,M,single,A101,2.000890283903861,A122,43.992886701874255,A143,A151,2.0026433105549746,A172,0.9946888325431659,A192,A201,1
72,A11,7.006744926984913,A34,A410,1049.0077317248104,A61,A75,3.00667354244466,M,single,A101,4.008817391135505,A124,51.507346864615286,A141,A153,1.9917867758520185,A174,1.5078193801184576,A192,A201,1
73,A12,44.989933576144324,A34,A49,6548.240995802697,A61,A74,1.9931075399448956,F,divorced/separated/married/widowed,A101,1.0050745211803642,A121,43.00025336278621,A141,A152,2.0094095468923676,A172,1.0064478609814156,A191,A201,1
74,A11,32.989483910142795,A32,A46,1747.4984109572258,A65,A75,3.9922797741684226,M,single,A101,4.009431248896559,A124,37.0023797305878,A143,A152,1.0056416190130275,A174,0.9846273136963228,A192,A201,0
75,A11,12.001610962206495,A34,A41,1405.2575347199368,A61,A75,3.9888183754401325,M,single,A101,4.000152098490489,A124,66.00401678848533,A143,A153,1.5029383727991399,A174,1.0015137010685393,A191,A201,1
76,A11,38.994062766451094,A32,A43,3705.999937379396,A61,A72,4.002765873163975,M,single,A101,3.500594514905358,A123,30.995662150476626,A143,A152,1.007943789694751,A173,0.9867581442950284,A191,A201,0
77,A12,10.505206580890171,A33,A43,4287.501389473456,A61,A74,1.9943652601476032,M,single,A101,3.9921908581672323,A122,52.4939485085976,A143,A152,0.9927814003251006,A173,0.9837185229641825,A191,A201,1
78,A14,49.50985596825119,A30,A41,8774.99387591234,A65,A73,2.000651997802674,M,single,A101,1.9999565607215093,A122,36.00603362736108,A143,A152,0.9742440801695721,A172,1.5038696886446141,A191,A201,1
79,A12,27.00825728357268,A32,A42,3500.493016611269,A61,A72,2.0060915734614255,M,divorced/separated/married/widowed,A101,0.986551383155038,A122,20.996943913255773,A143,A152,1.0034566216662766,A173,0.9974214423302961,A191,A201,1
80,A14,24.00111453320963,A32,A43,6445.500019380184,A65,A72,1.506939100562343,F,divorced/separated/married/widowed,A101,1.4968809326781494,A123,45.497219535600834,A143,A152,2.0019760034115492,A173,0.9938284332716363,A192,A201,0
81,A14,15.008198945033046,A32,A43,1093.508371441651,A63,A75,3.4945348772442535,M,single,A101,3.4923694201313316,A122,44.990439281084896,A142,A152,1.0003768732795144,A173,1.0040423022738794,A192,A201,1
82,A14,18.009094876698008,A32,A49,1828.0013911662504,A62,A73,3.008893352638692,F,divorced/separated/married/widowed,A101,4.002904307135276,A122,26.000629708267553,A143,A151,0.9995562921092633,A172,0.9949686116792753,A191,A201,1
83,A11,24.010142735052572,A32,A410,1992.493732122433,A61,A75,4.004460611432182,F,divorced/separated/married/widowed,A103,4.003027353678717,A121,58.987997228435304,A143,A152,0.9942882894707681,A172,1.5108812260971236,A192,A201,1
84,A11,9.999350695476709,A32,A43,2075.992527954264,A61,A75,2.4995034339555366,M,single,A101,4.011214586649537,A121,53.00006610752071,A143,A152,0.9972881582360675,A172,1.0108752305369921,A191,A201,1
85,A14,11.99822177263395,A34,A49,1640.7384126640786,A61,A73,4.008954150762751,F,divorced/separated/married/widowed,A103,1.9920363900413094,A121,32.00432075249751,A143,A152,1.9901240859450735,A174,0.9848278570614044,A192,A201,1
86,A12,18.00995320602909,A34,A42,1415.9957009458428,A61,A72,4.001984860012276,F,divorced/separated/married/widowed,A101,0.986551383155038,A122,30.017989914345257,A143,A152,2.0175775834346337,A173,1.0033936185632153,A191,A201,1
87,A12,32.989483910142795,A32,A46,12103.004491246254,A62,A73,1.0053009498677037,M,single,A101,4.009849273080673,A124,44.990439281084896,A143,A153,1.0030952361839147,A173,1.5078193801184576,A192,A201,0
88,A11,17.997449657634682,A32,A40,2022.0005975788854,A62,A74,3.997043930908201,M,single,A101,2.9918890550280812,A123,27.503286242150402,A143,A152,0.9799153768081561,A174,1.9991318801658546,A192,A201,1
89,A11,12.000322865698376,A30,A45,1017.4878532389375,A61,A74,4.009856125264223,M,single,A101,3.0103955192412393,A121,26.005420462170896,A143,A152,1.9902976730701734,A173,1.0087399901847844,A191,A201,0
90,A14,12.000322865698376,A34,A43,515.2518887183885,A61,A75,3.9979416921178066,M,single,A101,4.008983226271674,A121,56.2436317121489,A143,A152,0.9921829275219847,A173,1.006175068608411,A191,A201,1
