,trial__id,race,struck_state,defendant_race,same_race,struck_by
0,3.9977377203353126,Black,1,White,different race,Juror chosen to serve on jury
1,4.011810168032125,Black,0,White,different race,Struck by the state
2,3.999012869628168,White,1,White,same race,Juror chosen to serve on jury
3,3.9941999258954928,White,1,White,same race,Struck by the defense
4,4.012602065011859,Black,0,White,different race,Struck by the state
5,4.009418007913453,White,1,White,same race,Juror chosen to serve on jury
6,4.008365403962054,Black,0,White,different race,Struck by the state
7,4.009369611891661,White,1,White,same race,Struck by the defense
8,3.996690657234831,White,1,White,same race,Juror chosen to serve on jury
9,3.999613883806324,White,1,White,same race,Struck by the defense
10,3.9913313568649524,White,1,White,same race,Juror chosen to serve on jury
11,4.0057256359357005,White,1,White,same race,Struck by the defense
12,301.0008125436666,Black,0,Black,same race,Struck by the state
13,4.984232784104476,Black,1,Black,same race,Juror chosen to serve on jury
14,5.009567511149715,Black,1,Black,same race,Juror chosen to serve on jury
15,4.997545306221536,White,1,Black,different race,Struck by the defense
16,5.016025071989132,Black,0,Black,same race,Struck by the state
17,4.992543608226441,White,1,Black,different race,Juror chosen to serve on jury
18,4.989761195489942,Black,0,Black,same race,Struck by the state
19,5.009205596754159,White,1,Black,different race,Struck by the defense
20,5.022311480247763,Black,1,Black,same race,Juror chosen to serve on jury
21,5.008402907003236,Black,1,Black,same race,Juror chosen to serve on jury
22,4.994729873741438,White,1,Black,different race,Juror chosen to serve on jury
23,4.993268548489061,White,1,Black,different race,Juror chosen to serve on jury
24,5.005571015132141,White,1,Black,different race,Juror chosen to serve on jury
25,5.002811003182022,White,0,Black,different race,Struck by the state
26,6.003362269356669,White,0,White,same race,Struck by the state
27,6.9909492310948,Black,0,White,different race,Struck by the state
28,7.013589007509621,White,1,White,same race,Juror chosen to serve on jury
29,6.995657452834252,White,0,White,same race,Struck by the state
30,269.0026430541987,Black,0,Black,same race,Struck by the state
31,7.999187004319431,Black,0,Black,same race,Struck by the state
32,7.003360324161038,White,1,White,same race,Struck by the defense
33,300.9843650043245,Black,1,Black,same race,Struck by the defense
34,102.01091333684464,White,1,Black,different race,Juror chosen to serve on jury
35,36.020712715720585,Black,1,White,different race,Struck by the defense
36,58.00696101356705,White,1,Black,different race,Juror chosen as alternate
37,160.99884822252628,White,1,Black,different race,Struck by the defense
38,161.00208374761746,White,1,Black,different race,Struck by the defense
39,161.00185117727824,Black,1,Black,same race,Juror chosen to serve on jury
40,161.0008409076002,Black,1,Black,same race,Juror chosen to serve on jury
41,160.99573260331198,Black,0,Black,same race,Struck by the state
42,161.00077409256954,Black,1,Black,same race,Juror chosen to serve on jury
43,160.995792640069,White,1,Black,different race,Struck by the defense
44,160.99921941557315,Black,1,Black,same race,Juror chosen to serve on jury
45,161.0067233497887,Black,1,Black,same race,Juror chosen to serve on jury
46,161.00224327128447,White,0,Black,different race,Struck by the state
47,160.99391281458696,Black,1,Black,same race,Juror chosen to serve on jury
48,160.99589549288592,Black,0,Black,same race,Struck by the state
49,161.00375593434967,Black,1,Black,same race,Juror chosen to serve on jury
50,160.98229369185447,Black,1,Black,same race,Juror chosen to serve on jury
51,161.00401255235815,White,1,Black,different race,Juror chosen as alternate
52,22.00327603968755,White,1,Black,different race,Juror chosen to serve on jury
53,22.00765946554392,White,1,Black,different race,Juror chosen to serve on jury
54,165.99811989393325,White,1,Black,different race,Juror chosen to serve on jury
55,165.9790943658156,Black,0,Black,same race,Struck by the state
56,166.01637046288604,Black,0,Black,same race,Struck by the state
57,166.01179341002302,White,1,Black,different race,Juror chosen to serve on jury
58,166.00078437315824,Black,1,Black,same race,Juror chosen to serve on jury
59,165.9982847420371,Black,0,Black,same race,Struck by the state
60,165.99719627317828,White,1,Black,different race,Juror chosen to serve on jury
61,165.98172072042036,White,1,Black,different race,Juror chosen to serve on jury
62,58.98480034691574,Black,0,Black,same race,Struck by the state
63,59.0004592168091,White,1,Black,different race,Juror chosen to serve on jury
64,59.00447251455215,White,0,Black,different race,Struck by the state
65,59.00310581672578,Black,0,Black,same race,Struck by the state
66,59.00258944920555,White,1,Black,different race,Juror chosen as alternate
67,71.00350188820227,Black,1,Black,same race,Juror chosen as alternate
68,71.00284802916978,Black,0,Black,same race,Struck by the state
69,71.00498894658439,Black,0,Black,same race,Struck by the state
70,70.99292283887979,White,1,Black,different race,Struck by the defense
71,71.00367008002199,White,1,Black,different race,Juror chosen to serve on jury
72,70.99856964263546,Black,1,Black,same race,Juror chosen to serve on jury
73,70.9959537775716,White,1,Black,different race,Struck by the defense
74,70.98630229717232,White,1,Black,different race,Juror chosen to serve on jury
75,71.00559790263812,White,1,Black,different race,Struck by the defense
76,71.00070859845634,Black,0,Black,same race,Struck by the state
77,71.00091418655285,Black,1,Black,same race,Juror chosen to serve on jury
78,70.99791002848985,White,1,Black,different race,Juror chosen to serve on jury
79,71.0053985330447,Black,0,Black,same race,Struck by the state
80,71.00039380036787,White,1,Black,different race,Juror chosen to serve on jury
81,70.99411743737434,Black,0,Black,same race,Struck by the state
82,70.990671981781,White,1,Black,different race,Struck by the defense
83,71.00211296455716,Black,0,Black,same race,Struck by the state
84,71.02125407077868,White,1,Black,different race,Struck by the defense
85,70.99666531103328,White,1,Black,different race,Juror chosen to serve on jury
86,70.98831838674526,Black,1,Black,same race,Juror chosen to serve on jury
87,236.9751058908126,Black,0,Black,same race,Struck by the state
88,236.99996814643518,Black,1,Black,same race,Juror chosen to serve on jury
89,236.9894474137628,Black,1,Black,same race,Juror chosen to serve on jury
90,236.98369013415308,Black,0,Black,same race,Struck by the state
91,236.99786873891756,Black,1,Black,same race,Juror chosen to serve on jury
92,237.00658490725948,Black,0,Black,same race,Struck by the state
93,169.99589446187287,White,1,White,same race,Juror chosen to serve on jury
94,170.02024333277592,White,1,White,same race,Juror chosen to serve on jury
95,169.9866612670555,Black,1,White,different race,Juror chosen to serve on jury
96,169.98977381307165,Black,0,White,different race,Struck by the state
97,169.99669664713747,White,1,White,same race,Juror chosen to serve on jury
98,170.00684905256955,White,1,White,same race,Struck by the defense
99,169.9938393777509,Black,1,White,different race,Struck by the defense
100,170.02817268530683,Black,1,White,different race,Juror chosen to serve on jury
101,169.98308456165273,White,1,White,same race,Juror chosen to serve on jury
102,169.98693820432968,Black,1,White,different race,Juror chosen to serve on jury
103,170.000633583028,Black,1,White,different race,Juror chosen to serve on jury
104,169.9969550878622,White,1,White,same race,Struck by the defense
105,169.99039633066567,White,1,White,same race,Juror chosen to serve on jury
106,170.00659460462353,White,0,White,same race,Struck by the state
107,170.0179331644793,White,1,White,same race,Struck by the defense
108,170.00579010994863,White,1,White,same race,Struck by the defense
109,169.99529766498407,Black,0,White,different race,Struck by the state
110,169.97983325590494,White,1,White,same race,Juror chosen to serve on jury
111,169.994350906464,Black,0,White,different race,Struck by the state
112,170.00445782416597,Black,0,White,different race,Struck by the state
113,170.01786199637718,White,1,White,same race,Struck by the defense
114,3.998147486312132,Black,1,White,different race,Juror chosen to serve on jury
115,37.99248227088886,White,1,Black,different race,Juror chosen to serve on jury
116,38.00637077403519,White,1,Black,different race,Struck by the defense
117,38.00617878131537,White,1,Black,different race,Struck by the defense
118,38.01323571028087,White,1,Black,different race,Struck by the defense
119,37.988399261665165,White,1,Black,different race,Struck by the defense
120,37.99671892692557,White,1,Black,different race,Struck by the defense
121,38.00124320998975,White,0,Black,different race,Struck by the state
122,38.02175819882795,White,1,Black,different race,Struck by the defense
123,38.00401929800197,White,1,Black,different race,Juror chosen to serve on jury
124,37.994241190788834,White,1,Black,different race,Juror chosen to serve on jury
125,38.01215121921733,White,1,Black,different race,Juror chosen to serve on jury
126,37.99146310242427,White,0,Black,different race,Struck by the state
127,37.99193458107415,White,1,Black,different race,Struck by the defense
128,37.99718722426347,White,1,Black,different race,Struck by the defense
129,37.98304388421134,White,1,Black,different race,Struck by the defense
130,171.98955415644787,White,0,Black,different race,Struck by the state
131,171.99744764648025,White,1,Black,different race,Struck by the defense
132,172.0001656989347,White,1,Black,different race,Struck by the defense
133,172.0229242532341,White,1,Black,different race,Struck by the defense
134,172.00361752000762,White,1,Black,different race,Juror chosen to serve on jury
135,171.9909808135832,White,1,Black,different race,Struck by the defense
136,172.01155538077512,White,1,Black,different race,Juror chosen to serve on jury
137,171.9986519338481,White,1,Black,different race,Struck by the defense
138,171.9910990527123,White,1,Black,different race,Juror chosen to serve on jury
139,172.00772409657696,White,1,Black,different race,Juror chosen to serve on jury
140,171.99433446447642,White,0,Black,different race,Struck by the state
141,172.01404272506045,White,0,Black,different race,Struck by the state
142,172.00821733950397,White,0,Black,different race,Struck by the state
143,171.972836316787,White,1,Black,different race,Juror chosen to serve on jury
144,171.98843144155495,White,1,Black,different race,Juror chosen to serve on jury
145,172.00079330624578,White,1,Black,different race,Struck by the defense
146,172.00798767560437,Black,0,Black,same race,Struck by the state
147,45.018593894273685,Black,1,Black,same race,Juror chosen to serve on jury
148,44.99476797051707,Black,1,Black,same race,Juror chosen to serve on jury
149,44.99400279945394,White,1,Black,different race,Struck by the defense
150,47.006306412454514,White,1,Black,different race,Struck by the defense
151,46.99454164620991,White,1,Black,different race,Juror chosen to serve on jury
152,46.99448906779735,White,1,Black,different race,Struck by the defense
153,46.99216387504051,White,1,Black,different race,Struck by the defense
154,46.98910343762765,Black,0,Black,same race,Struck by the state
155,46.982999559292736,White,1,Black,different race,Struck by the defense
156,47.00123000612348,White,1,Black,different race,Juror chosen to serve on jury
157,52.01297877865216,White,1,Black,different race,Juror chosen to serve on jury
158,52.003615473874845,Black,1,Black,same race,Juror chosen to serve on jury
159,51.99846968205532,White,1,Black,different race,Juror chosen as alternate
160,244.98825911966975,Black,1,Black,same race,Juror chosen to serve on jury
161,244.99163116444453,Black,1,Black,same race,Juror chosen to serve on jury
162,245.00028215304357,White,1,Black,different race,Juror chosen to serve on jury
163,244.98512543495568,White,1,Black,different race,Juror chosen to serve on jury
164,245.00253174558165,Black,1,Black,same race,Juror chosen to serve on jury
165,244.99584043044143,Black,1,Black,same race,Juror chosen to serve on jury
166,244.99634614613063,White,1,Black,different race,Juror chosen to serve on jury
167,244.9940837025182,Black,1,Black,same race,Juror chosen to serve on jury
168,244.98392533830273,Black,1,Black,same race,Juror chosen to serve on jury
169,245.00384998240307,White,1,Black,different race,Juror chosen to serve on jury
170,244.99347834949702,White,1,Black,different race,Juror chosen to serve on jury
171,244.99842472865248,White,1,Black,different race,Juror chosen to serve on jury
172,245.00285452772894,White,1,Black,different race,Juror chosen as alternate
173,244.9880571409576,Black,1,Black,same race,Juror chosen as alternate
174,57.97370698066037,Black,0,Black,same race,Struck by the state
175,59.014449970673894,White,1,Black,different race,Struck by the defense
176,58.99337030490476,White,1,Black,different race,Struck by the defense
177,58.99804625229655,White,1,Black,different race,Juror chosen to serve on jury
178,59.016064927420686,White,1,Black,different race,Struck by the defense
179,59.007242079500394,Black,0,Black,same race,Struck by the state
180,58.98405603840893,White,1,Black,different race,Juror chosen to serve on jury
181,58.98889887441244,White,1,Black,different race,Struck by the defense
182,59.000754436543886,Black,1,Black,same race,Juror chosen to serve on jury
183,59.005573216518435,White,0,Black,different race,Struck by the state
184,59.013626226180094,White,1,Black,different race,Juror chosen to serve on jury
185,59.008487157114416,Black,0,Black,same race,Struck by the state
186,59.0023570247636,White,1,Black,different race,Juror chosen to serve on jury
187,58.99082911386469,White,1,Black,different race,Juror chosen to serve on jury
188,59.02231329394849,White,1,Black,different race,Struck by the defense
189,59.006123763629034,White,1,Black,different race,Juror chosen to serve on jury
190,117.00526656665708,Black,1,Black,same race,Juror chosen to serve on jury
191,116.99063901018303,Black,0,Black,same race,Struck by the state
192,61.00236114527063,White,1,White,same race,Struck by the defense
193,59.001915333808405,White,1,Black,different race,Juror chosen to serve on jury
194,61.00271628382074,White,1,White,same race,Juror chosen to serve on jury
195,61.01113912089588,Black,0,White,different race,Struck by the state
196,61.01154369268656,Black,0,White,different race,Struck by the state
197,61.00761426349377,Black,1,White,different race,Juror chosen to serve on jury
198,60.98212984068595,White,1,White,same race,Juror chosen to serve on jury
199,61.005533454833184,Black,1,White,different race,Juror chosen to serve on jury
200,117.01133991666454,White,1,Black,different race,Juror chosen to serve on jury
201,117.00884864580972,White,1,Black,different race,Struck by the defense
202,117.00873176515078,White,1,Black,different race,Struck by the defense
203,116.98180151196189,Black,1,Black,same race,Juror chosen to serve on jury
204,117.01787899483227,White,1,Black,different race,Juror chosen to serve on jury
205,116.99814993686306,White,1,Black,different race,Juror chosen to serve on jury
206,116.99752776596566,White,1,Black,different race,Juror chosen to serve on jury
207,117.00374410104116,White,1,Black,different race,Juror chosen to serve on jury
208,117.00343474339465,White,1,Black,different race,Juror chosen to serve on jury
209,116.99320483092879,Black,0,Black,same race,Struck by the state
210,116.99344401825546,White,1,Black,different race,Juror chosen to serve on jury
211,117.00366883535986,White,1,Black,different race,Juror chosen to serve on jury
212,117.00865048067317,White,0,Black,different race,Struck by the state
213,117.00630385515876,White,1,Black,different race,Juror chosen to serve on jury
214,116.99774659251483,White,1,Black,different race,Juror chosen to serve on jury
215,60.994750983229316,White,1,White,same race,Juror chosen to serve on jury
216,60.997647107991405,Black,0,White,different race,Struck by the state
217,60.98404056129835,Black,1,White,different race,Juror chosen to serve on jury
218,61.003107992564885,Black,0,White,different race,Struck by the state
219,61.003481826858895,White,1,White,same race,Juror chosen to serve on jury
220,60.98775759091789,Black,0,White,different race,Struck by the state
221,61.01256947721024,White,1,White,same race,Struck by the defense
222,61.00557597871989,White,1,White,same race,Juror chosen to serve on jury
223,60.99370372903865,White,1,White,same race,Juror chosen to serve on jury
224,60.984958219536935,White,1,White,same race,Struck by the defense
225,61.00993912552127,White,1,White,same race,Struck by the defense
226,60.98058131032211,White,1,White,same race,Juror chosen to serve on jury
227,61.00315456045899,White,1,White,same race,Juror chosen to serve on jury
228,60.998367624925514,White,1,White,same race,Juror chosen to serve on jury
229,61.01791967181086,White,1,White,same race,Juror chosen as alternate
230,116.9929060385203,White,0,Black,different race,Struck by the state
231,68.01463012692123,White,1,White,same race,Struck by the defense
232,37.997470681604625,White,1,Black,different race,Juror chosen to serve on jury
233,72.98514292022364,White,1,Black,different race,Struck by the defense
234,72.98489913432702,White,1,Black,different race,Juror chosen to serve on jury
235,74.00876788449877,White,1,White,same race,Juror chosen to serve on jury
236,74.00262413315282,White,1,White,same race,Struck by the defense
237,73.99969847102138,Black,0,White,different race,Struck by the state
238,74.00426348516577,White,1,White,same race,Struck by the defense
239,74.00008002330988,White,0,White,same race,Struck by the state
240,73.99517481910496,White,1,White,same race,Juror chosen to serve on jury
241,74.00083750085224,Black,1,White,different race,Juror chosen to serve on jury
242,74.00228764694556,White,1,White,same race,Struck by the defense
243,74.00589608074104,White,1,White,same race,Struck by the defense
244,74.00957292574864,White,1,White,same race,Struck by the defense
245,74.00293317831414,White,1,White,same race,Struck by the defense
246,74.01003524485039,White,1,White,same race,Struck by the defense
247,73.99659160572361,White,1,White,same race,Juror chosen to serve on jury
248,74.00069174057946,Black,1,White,different race,Juror chosen to serve on jury
249,74.02073682236038,Black,1,White,different race,Juror chosen to serve on jury
250,72.99989025701268,White,1,Black,different race,Struck by the defense
251,8.002749604353673,White,0,Black,different race,Struck by the state
252,8.022172873209428,Black,0,Black,same race,Struck by the state
253,8.002777555201263,White,1,Black,different race,Juror chosen to serve on jury
254,7.985818712269821,White,1,Black,different race,Juror chosen to serve on jury
255,8.00498961618997,White,1,Black,different race,Struck by the defense
256,7.990240894120721,White,1,Black,different race,Struck by the defense
257,8.010748029974462,White,0,Black,different race,Struck by the state
258,7.994830405117481,Black,0,Black,same race,Struck by the state
259,7.995197948592392,White,1,Black,different race,Juror chosen to serve on jury
260,82.00244888339917,White,1,Black,different race,Struck by the defense
261,81.99088072589446,Black,0,Black,same race,Struck by the state
262,81.98449884957517,White,1,Black,different race,Juror chosen to serve on jury
263,81.99588338872313,Black,1,Black,same race,Struck by the defense
264,82.00585485040762,Black,1,Black,same race,Struck by the defense
265,81.99849351528447,White,0,Black,different race,Struck by the state
266,81.98627398981571,Black,1,Black,same race,Struck by the defense
267,7.999921895446939,White,1,Black,different race,Struck by the defense
268,81.9986985312899,White,1,Black,different race,Struck by the defense
269,82.00776364954245,White,1,Black,different race,Struck by the defense
270,82.00569066480655,Black,1,Black,same race,Juror chosen to serve on jury
271,82.0089288847712,Black,1,Black,same race,Struck by the defense
272,81.9974416620705,White,1,Black,different race,Juror chosen to serve on jury
273,81.99774507102332,White,1,Black,different race,Struck by the defense
274,82.00666359141357,Black,1,Black,same race,Struck by the defense
275,82.0026285938746,White,1,Black,different race,Struck by the defense
276,7.99072406933452,Black,0,Black,same race,Struck by the state
277,81.99527565161394,Black,0,Black,same race,Struck by the state
278,81.99509470065368,White,1,Black,different race,Juror chosen to serve on jury
279,82.00979426508805,White,1,Black,different race,Juror chosen to serve on jury
280,81.99374905168133,White,1,Black,different race,Juror chosen to serve on jury
281,81.98039671719168,Black,0,Black,same race,Struck by the state
282,82.00991676323875,White,1,Black,different race,Juror chosen to serve on jury
283,82.00186153420204,White,1,Black,different race,Juror chosen to serve on jury
284,82.00770093900917,Black,0,Black,same race,Struck by the state
285,81.99657688096205,White,1,Black,different race,Juror chosen to serve on jury
286,81.98264412924655,Black,0,Black,same race,Struck by the state
287,82.00520324817202,Black,0,Black,same race,Struck by the state
288,76.01260808095357,White,1,Black,different race,Juror chosen as alternate
289,76.00264328102108,Black,1,Black,same race,Juror chosen to serve on jury
290,82.00457739415585,White,1,Black,different race,Struck by the defense
291,81.97063879822416,Black,1,Black,same race,Juror chosen to serve on jury
292,81.99351969385593,White,1,Black,different race,Juror chosen to serve on jury
293,81.98635353693982,White,1,Black,different race,Juror chosen to serve on jury
294,81.99506978116533,White,1,Black,different race,Struck by the defense
295,82.00393703363987,White,0,Black,different race,Struck by the state
296,81.99453120359934,Black,1,Black,same race,Juror chosen as alternate
297,82.01754400590322,Black,1,Black,same race,Juror chosen as alternate
298,79.00017837424497,White,1,Black,different race,Struck by the defense
299,79.01408298664221,White,1,Black,different race,Struck by the defense
300,79.009447079755,Black,1,Black,same race,Struck by the defense
301,224.0085675922163,Black,0,Black,same race,Struck by the state
302,223.99920017902963,Black,0,Black,same race,Struck by the state
303,223.99842003164318,White,1,Black,different race,Juror chosen to serve on jury
304,224.01104142335384,White,1,Black,different race,Juror chosen to serve on jury
305,223.9907246952665,White,1,Black,different race,Juror chosen to serve on jury
306,223.99856273464917,White,1,Black,different race,Juror chosen to serve on jury
307,224.01162141216224,White,1,Black,different race,Juror chosen to serve on jury
308,224.01103556457736,White,1,Black,different race,Juror chosen to serve on jury
309,223.99355749999827,White,1,Black,different race,Juror chosen to serve on jury
310,8.007139221125211,White,1,Black,different race,Struck by the defense
311,8.0090807708715,White,1,Black,different race,Juror chosen to serve on jury
312,79.99637219525812,White,0,White,same race,Struck by the state
313,80.02138430283404,White,1,White,same race,Juror chosen to serve on jury
314,79.99453382803091,White,1,White,same race,Juror chosen to serve on jury
315,79.98647424174531,White,1,White,same race,Juror chosen to serve on jury
316,79.97635938049558,Black,0,White,different race,Struck by the state
317,79.98570608905891,Black,0,White,different race,Struck by the state
318,7.98953941422406,White,1,Black,different race,Juror chosen to serve on jury
319,7.998561998799087,White,0,Black,different race,Struck by the state
320,8.006261900664157,White,1,Black,different race,Juror chosen to serve on jury
321,8.0079432314589,White,1,Black,different race,Struck by the defense
322,8.008690473036223,White,1,Black,different race,Juror chosen to serve on jury
323,7.998660515457037,Black,0,Black,same race,Struck by the state
324,7.995875773825064,White,1,Black,different race,Struck by the defense
325,8.00811162735206,White,0,Black,different race,Struck by the state
326,7.993876046838623,White,1,Black,different race,Struck by the defense
327,8.000791156939428,White,1,Black,different race,Juror chosen to serve on jury
328,7.984762690334428,White,1,Black,different race,Juror chosen to serve on jury
329,8.000008476613658,White,0,Black,different race,Struck by the state
330,8.015356748125923,White,1,Black,different race,Struck by the defense
331,7.992543935436015,White,1,Black,different race,Juror chosen to serve on jury
332,8.005708078015932,White,0,Black,different race,Struck by the state
333,7.994913928120646,Black,0,Black,same race,Struck by the state
334,79.99670221447691,Black,1,White,different race,Juror chosen as alternate
335,79.99065690624312,Black,1,White,different race,Juror chosen to serve on jury
336,79.99593041213431,White,1,White,same race,Struck by the defense
337,79.99793359377651,White,1,White,same race,Juror chosen to serve on jury
338,79.9974968741026,White,1,White,same race,Juror chosen to serve on jury
339,79.98944843021327,Black,1,White,different race,Juror chosen to serve on jury
340,79.9986399353311,White,1,White,same race,Struck by the defense
341,79.97806564147997,Black,0,White,different race,Struck by the state
342,80.00708308986955,Black,0,White,different race,Struck by the state
343,80.01482320919656,Black,0,White,different race,Struck by the state
344,79.9991260233129,White,1,White,same race,Juror chosen to serve on jury
345,80.00236705883113,White,1,White,same race,Struck by the defense
346,79.98821521656446,Black,1,White,different race,Juror chosen to serve on jury
347,80.00315681068095,White,1,White,same race,Juror chosen to serve on jury
348,195.01440726302536,Black,0,Black,same race,Struck by the state
349,91.98092225026444,White,1,Black,different race,Struck by the defense
350,91.99801420187015,Black,0,Black,same race,Struck by the state
351,92.01912547059223,White,1,Black,different race,Juror chosen to serve on jury
352,91.98791944681389,White,1,Black,different race,Struck by the defense
353,91.97403825350797,White,0,Black,different race,Struck by the state
354,92.0030005908784,White,1,Black,different race,Juror chosen to serve on jury
355,91.99642082079552,White,1,Black,different race,Juror chosen to serve on jury
356,92.03322472764864,Black,0,Black,same race,Struck by the state
357,91.99407743909656,White,1,Black,different race,Struck by the defense
358,91.99905619675025,Black,1,Black,same race,Juror chosen to serve on jury
359,91.98743993381531,Black,1,Black,same race,Juror chosen to serve on jury
360,92.00911279145738,White,1,Black,different race,Struck by the defense
361,92.00421262244225,White,1,Black,different race,Juror chosen to serve on jury
362,92.01640356057285,White,1,Black,different race,Struck by the defense
363,91.99150216709997,White,1,Black,different race,Juror chosen to serve on jury
364,92.0102974101455,White,1,Black,different race,Struck by the defense
365,92.007758292573,White,1,Black,different race,Juror chosen to serve on jury
366,91.99957136832192,Black,0,Black,same race,Struck by the state
367,92.00606270457892,White,1,Black,different race,Juror chosen to serve on jury
368,91.9971578708338,Black,0,Black,same race,Struck by the state
369,91.9730527990491,White,1,Black,different race,Juror chosen to serve on jury
370,91.9902264846667,White,1,Black,different race,Juror chosen to serve on jury
371,78.99518984331752,Black,0,Black,same race,Struck by the state
372,79.00564231180107,White,1,Black,different race,Struck by the defense
373,78.99185719193008,Black,0,Black,same race,Struck by the state
374,79.0019687004596,White,1,Black,different race,Juror chosen to serve on jury
375,79.00321289986526,White,1,Black,different race,Juror chosen to serve on jury
376,78.99642943064707,White,1,Black,different race,Juror chosen to serve on jury
377,79.00728037542214,White,1,Black,different race,Juror chosen to serve on jury
378,79.0035188052836,Black,0,Black,same race,Struck by the state
379,78.9976579514389,White,1,Black,different race,Juror chosen to serve on jury
380,78.99404678835702,White,1,Black,different race,Juror chosen to serve on jury
381,79.01114279608616,White,1,Black,different race,Struck by the defense
382,78.97861139160668,White,1,Black,different race,Struck by the defense
383,79.02257227013278,White,1,Black,different race,Juror chosen to serve on jury
384,79.00373111838306,Black,1,Black,same race,Juror chosen to serve on jury
385,78.99804050088137,White,1,Black,different race,Juror chosen to serve on jury
386,78.994738986439,Black,0,Black,same race,Struck by the state
387,79.00639555127566,Black,0,Black,same race,Struck by the state
388,94.99357371686447,White,1,Black,different race,Juror chosen to serve on jury
389,78.99249117380799,White,1,Black,different race,Juror chosen to serve on jury
390,78.99941024058799,Black,1,Black,same race,Juror chosen to serve on jury
391,79.00395869485227,Black,1,Black,same race,Juror chosen as alternate
392,79.02712670387551,White,1,Black,different race,Juror chosen to serve on jury
393,45.00948734952063,Black,1,Black,same race,Juror chosen to serve on jury
394,44.99832608266264,White,1,Black,different race,Juror chosen to serve on jury
