,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,GP,F,17.994786928145952,U,GT3,A,4.005378147436634,4.000677047485864,at_home,teacher,course,mother,2.0044931506102364,1.9976722651470202,0.007985422280292441,yes,no,no,no,yes,yes,no,no,3.999280119901914,3.4983236414487067,4.008207199816023,0.9998265416992267,0.9912038118826338,3.0031056701560384,3.99845285161445,3.2486149128156465,11.001732747562764,0
1,GP,F,16.501494584732978,U,GT3,T,1.0058813664552115,0.9927023539944388,at_home,other,course,father,1.004507882614087,2.0034219426997426,0.004653157081928199,no,yes,no,no,no,yes,yes,no,5.0016512106400945,2.9916721029777618,3.0044302138020957,1.0056590243858265,0.9855410646368838,3.504119040495276,1.9939274424763735,8.9884922570592,11.005012232111868,0
2,GP,F,15.00862271039314,U,LE3,T,0.9944436905876362,1.0084146326992531,at_home,other,other,mother,1.0125087785019442,1.9896392045062075,-0.01331404394010964,yes,no,no,no,yes,yes,yes,no,4.502433998599237,3.4933054234106855,2.493118279739574,2.510818195079669,3.5067979828196325,2.9938609104674447,7.00016577125645,11.51472668787245,13.00012793447884,1
3,GP,F,15.000469846018833,U,GT3,T,3.9904039596205303,2.5001934508053854,health,services,home,mother,1.005576993307888,3.0047810171828324,0.012547952857939682,no,yes,no,yes,yes,yes,yes,yes,3.4916239450580564,2.008620845490762,2.0151781871578986,0.9937095992524986,1.5178243490395849,4.994505365569986,-0.003331850434915262,13.501023531194445,13.501145959395126,1
4,GP,F,15.493801082890304,U,GT3,T,3.0058221292614604,3.0030495531888324,other,other,home,father,1.0014531558684787,1.9982153104882312,-0.022731768725286643,no,yes,no,no,yes,yes,no,no,3.9950622831891636,2.9959220482217477,1.9981890101787259,1.5064054991503584,2.4844741182363266,5.003724204982743,-0.009209075243833301,10.493537210485187,12.492970850811284,1
5,GP,M,15.992185745835226,U,LE3,T,3.988571262389168,2.9994400419521394,services,other,reputation,mother,1.0063588740120255,2.4963828177864227,-0.0001448925778960532,no,yes,no,yes,yes,yes,yes,no,5.004359539977711,3.497111011582993,2.0056238876063794,0.9852772167682233,1.4951296488738803,5.000201327936441,4.998415560678257,12.501978022126032,12.494862640724698,1
6,GP,M,15.99433912546528,U,LE3,T,1.9996765823394365,1.9899465750815235,other,other,home,mother,0.9961054053429563,2.003938680523606,0.011600164242555163,no,no,no,no,yes,yes,yes,no,4.01655789827662,3.9934131759281546,4.003137021796258,0.9975984457625588,0.9946491972257476,2.4968594239009834,0.5052965718746707,13.488592945603221,12.491090336385456,1
7,GP,F,17.0059851086585,U,GT3,A,4.003158831306662,4.016092042687734,other,teacher,home,mother,2.0106560768075745,1.493564446848815,-0.004125587504702707,yes,yes,no,no,yes,yes,no,no,3.995387846502804,1.0066097488685886,4.507629287055907,1.0050046179581154,0.9947847412650912,1.5042028187190333,1.9923576825419516,9.502603776809943,13.000525685637047,1
8,GP,M,14.99470396147435,U,LE3,A,2.995736613275163,2.012639882795379,services,other,home,mother,0.9915408353823252,1.99653442090701,0.0007616817191873802,no,yes,no,no,yes,yes,yes,no,3.999280119901914,2.0010764183195042,2.001703315949035,0.9961917951636567,0.9950848780970196,1.00482142159291,0.01638304706312618,15.492892934077625,15.99780147823217,1
9,GP,M,15.00862271039314,U,GT3,T,2.5044145347902864,4.0087331199625025,other,other,home,mother,0.9740130914145881,2.0021656883964702,-0.01323493385463688,no,yes,no,yes,yes,yes,yes,no,4.99311678187036,4.9931753164671395,0.989310135510362,0.992972112710459,0.9949535247306408,5.010514562890709,0.008617432589935688,12.517131595727047,11.996956813583632,1
