,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,GP,F,17.98900181097285,U,GT3,A,3.9984944027304135,3.9962211901096425,at_home,teacher,course,mother,2.00301786795359,1.495920473827514,-0.021417750630096523,yes,no,no,no,yes,yes,no,no,4.003376027922524,3.4922910872206137,4.007680062554665,1.5037009550268936,0.9885912392637461,3.507204840870557,4.014358098345676,3.246634175064627,10.495895560089837,0
1,GP,F,17.013350389616548,U,GT3,T,0.9872342797090361,1.019255400388118,at_home,other,course,father,0.9921879231751107,1.495920473827514,0.004432330480097975,no,yes,no,no,no,yes,yes,no,5.00256460988253,3.4928843477396487,3.014382233695337,1.5129272503539588,1.4959424499348632,3.4982733990542676,1.9962420220548656,9.000647801990297,10.49948557519691,0
2,GP,F,14.996888208463151,U,LE3,T,1.5011719024330352,0.9794764722541227,at_home,other,other,mother,0.9926884051235937,1.9997194807533534,-0.021529649741693087,yes,no,no,no,yes,yes,yes,no,4.005207863414101,2.9866854526333055,1.9935150619988793,2.506597726699413,3.5011784465700124,3.0075039336784597,6.997696889888157,11.491127871549265,12.499398153489363,1
3,GP,F,15.0035530162539,U,GT3,T,3.9921576158257084,2.5000552704489643,health,services,home,mother,1.014906347798885,2.497051836152499,0.013302105034174262,no,yes,no,yes,yes,yes,yes,yes,3.4965568277828987,2.4953446916812867,2.0016334969210554,1.5031011470200497,0.993598971430849,4.998121563393914,0.004788848102157239,13.508387512229438,13.511353048605688,1
4,GP,F,15.49625914454743,U,GT3,T,2.9973353634376543,3.4975334919025243,other,other,home,father,1.0056047485720652,1.5005385605253605,0.021521211440368906,no,yes,no,no,yes,yes,no,no,3.986752753308057,2.9909621620214013,1.9861942069866525,1.4979611827762187,2.4934794327981633,5.008691215535677,0.004079096580382428,10.498300463750155,13.004786698084986,1
5,GP,M,15.997043124133851,U,LE3,T,4.002711760373812,3.0035201276174606,services,other,reputation,mother,1.007850610587416,2.0085513719622057,-0.018545129311714204,no,yes,no,yes,yes,yes,yes,no,5.000393333410674,3.5083577917633377,1.9847398780849321,1.000549605023584,1.5066988620807429,4.990229744791311,5.498484323682609,12.50787103432091,12.505890980819444,1
6,GP,M,16.003528343627725,U,LE3,T,1.5011719024330352,1.9966896695003142,other,other,home,mother,1.004406960591155,2.4984914546886916,0.010032173414846229,no,no,no,no,yes,yes,yes,no,4.012038181081435,3.9933952304974127,4.008321221374182,1.0124139959386085,1.002725533376088,3.006130778382546,-0.014176004644229339,13.499767996619008,12.504758132985259,1
7,GP,F,17.004474128110797,U,GT3,A,3.999118756158249,4.021911465672888,other,teacher,home,mother,1.9930780486510953,1.492117047960348,0.003664781479714625,yes,yes,no,no,yes,yes,no,no,4.0069576168270675,1.0072937651315037,3.999813226983564,0.9931618932611483,1.0063884967186052,1.5061902605653894,1.9936293653948856,9.49707592861795,12.503624218934718,1
8,GP,M,15.006174566209218,U,LE3,A,3.00450621413109,1.9971120441178931,services,other,home,mother,0.978447809312214,1.9891980343078433,0.004640899293857562,no,yes,no,no,yes,yes,yes,no,4.004390451461117,2.0051094567920673,1.501020016198514,0.9869921597804638,0.9986176079580588,0.9963357063260344,-0.0003894508876736265,15.504279552885958,16.489288230127187,1
9,GP,M,15.493601426918522,U,GT3,T,2.487908822839973,3.9982408425088245,other,other,home,mother,1.0084377818836185,2.00138375725934,-0.0006126292075111131,no,yes,no,yes,yes,yes,yes,no,5.001849930491746,4.997377497599188,0.9944436145540083,0.9900167008610183,0.9803807037365878,4.495048154801053,0.012482415233322395,12.488021134379519,12.488896532592818,1
