,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,GP,F,17.994296711277944,U,GT3,A,4.017689310100092,4.0041119553473745,at_home,teacher,course,mother,1.9882501574979123,2.0015555184876224,-0.019380171838367016,yes,no,no,no,yes,yes,no,no,4.011136076693591,3.499165394081275,4.00132921455897,0.9977978331442507,1.00115886056378,3.4968854284311366,4.9977686292123344,3.247022432905802,10.506608573250544,0
1,GP,F,17.002469436792715,U,GT3,T,0.983320676605709,0.9907062609010177,at_home,other,course,father,0.9913821455916518,1.493611692047537,-0.0032630411526181962,no,yes,no,no,no,yes,yes,no,4.992450222366869,3.009855723888853,3.001955374021101,1.5087360196119877,0.9922108751454455,3.499696135691094,1.9940014097297611,9.000247912584275,10.488179476562642,0
2,GP,F,14.992520161870068,U,LE3,T,0.9803964574606292,1.0110162633040691,at_home,other,other,mother,0.9957828957401814,1.4981032990949863,0.0014600553676013279,yes,no,no,no,yes,yes,yes,no,4.001603307720534,3.001702100803759,1.9916353405142413,3.005340450527635,3.4959334875674952,2.9966791791207417,5.9955798366100765,12.006707462154809,12.507358461040951,1
3,GP,F,15.000511091582496,U,GT3,T,3.994292545006812,2.4995037453614986,health,services,home,mother,0.9937276733476144,2.511457249581733,-0.01238907493012575,no,yes,no,yes,yes,yes,yes,yes,2.980296159538229,2.4931317421183117,1.9939240239480953,0.998611164748087,1.5096951022937866,5.006833888087695,-0.008995746194435963,13.507817942183369,13.507105365131686,1
4,GP,F,16.00559545762104,U,GT3,T,3.0036122137818344,2.9990809866197807,other,other,home,father,1.0042626690388734,2.0098503011761575,-0.013337188843664582,no,yes,no,no,yes,yes,no,no,4.002792669051162,3.495138522818011,2.003907939050288,0.9891174163943173,2.4987494127608683,4.9985936874867525,0.01001661910634192,10.512076015202478,12.506778890990672,1
5,GP,M,16.508497136742044,U,LE3,T,3.4915354125632554,2.994517902424827,services,other,reputation,mother,1.0032407527291205,2.5032068318372085,-0.011029659504092654,no,yes,no,yes,yes,yes,yes,no,4.996639416437159,3.992757174900274,2.008797048249248,0.9813676316297146,1.5092875958727623,4.9963396534347755,5.500282639335282,12.005579924841843,12.50822881879391,1
6,GP,M,15.99824460560272,U,LE3,T,1.4968944158655786,2.006120005726866,other,other,home,mother,0.9916683707770879,2.493889063867101,-0.017338098903460532,no,no,no,no,yes,yes,yes,no,4.000311986680169,3.497378026297553,3.9991509977725923,1.0056567578515008,1.006568210024648,2.4894761897846713,-0.012084751298541196,13.509314470380566,12.491674897672556,1
7,GP,F,16.998822809413603,U,GT3,A,4.0089784677,4.008969647943429,other,teacher,home,mother,1.9865391534616395,1.4931016549140232,0.007662420502352229,yes,yes,no,no,yes,yes,no,no,3.9982637950527398,1.4999666721981817,3.9893059187075908,1.498594844661259,1.5031454271261362,1.5061349525773267,1.9984841845645005,9.504229140410887,13.010996460258083,1
8,GP,M,15.008867498917475,U,LE3,A,3.010665132073679,1.9980856796592679,services,other,home,mother,1.0172974550923435,1.9969910712139654,-0.008066415266168666,no,yes,no,no,yes,yes,yes,no,4.014654519712945,1.9935776420129856,2.0019508445405836,0.9963937936121711,0.9982857545965361,1.0042220565412858,0.00020884659539391966,15.010107606580107,16.502020684095637,1
9,GP,M,15.495779423022398,U,GT3,T,2.509418135739663,3.999237691202782,other,other,home,mother,0.987876605297188,2.003456720525609,-0.004829912159151314,no,yes,no,yes,yes,yes,yes,no,4.99491036954991,5.0046276503155935,0.9994835086586116,0.9967404845383403,0.9957677384593269,5.010289467814719,-0.002061547225271766,12.495894534609876,12.498958094894355,1
