,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,42, Self-emp-not-inc,303044, HS,9, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,40, Cambodia,1
1,40, Private,121956, Higher ed,13, Married-spouse-absent, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,13550,0,40, Cambodia,1
2,37, Private,191342, HS,2, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Cambodia,0
3,25, Private,228608, Higher ed,10, Never-married, Craft-repair, Other-relative, Asian-Pac-Islander, Female,0,0,40, Cambodia,0
4,27, Private,292472, Higher ed,10, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Cambodia,1
5,34, Federal-gov,67083, Higher ed,13, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,1471,0,40, Cambodia,0
6,40, Private,173858, HS,4, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,42, Cambodia,0
7,32, Private,112137, HS,1, Married-civ-spouse, Machine-op-inspct, Wife, Asian-Pac-Islander, Female,4508,0,40, Cambodia,0
8,51, Private,63685, HS,9, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, Cambodia,0
9,28, Private,149769, HS,9, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Cambodia,0
10,27, Private,292472, Higher ed,10, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,1876,45, Cambodia,0
11,65, Private,255386, HS,9, Never-married, Craft-repair, Other-relative, Asian-Pac-Islander, Male,0,0,40, Cambodia,0
12,37, Private,355856, Higher ed,13, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Cambodia,1
13,35, Private,93034, HS,9, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Cambodia,0
14,36, Private,116138, HS,9, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Cambodia,0
15,50, Private,135339, HS,8, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Cambodia,1
16,46, Private,104632, HS,9, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, Cambodia,1
17,48, Private,350440, Higher ed,10, Married-civ-spouse, Craft-repair, Other-relative, Asian-Pac-Islander, Male,0,0,40, Cambodia,1
18,56, Self-emp-not-inc,335605, HS,9, Married-civ-spouse, Other-service, Husband, White, Male,0,1887,50, Canada,1
19,31, Private,168387, Higher ed,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,7688,0,40, Canada,1
20,53, Self-emp-not-inc,263925, Higher ed,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Canada,1
21,32, Private,509350, Higher ed,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, Canada,1
22,32, Private,97429, Higher ed,13, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, Canada,0
23,53, Private,117496, HS,5, Divorced, Other-service, Not-in-family, White, Female,0,0,36, Canada,0
24,50, State-gov,159219, Higher ed,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Canada,1
25,29, Private,40083, Higher ed,16, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Canada,0
26,45, Private,107787, Higher ed,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Canada,0
27,30, Self-emp-inc,78530, HS,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, Canada,1
28,30, Private,432565, Higher ed,11, Married-civ-spouse, Tech-support, Other-relative, White, Female,0,0,40, Canada,1
29,41, Private,443508, Higher ed,13, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,48, Canada,1
30,40, Private,220460, HS,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Canada,0
