,Position,Oral,Written,Race,Combine,Class
0,Captain,89.52,95,W,92.80799999999999,1
1,Captain,80.0,95,W,89.0,1
2,Captain,82.38,87,W,85.152,1
3,Captain,88.57,76,W,81.028,1
4,Captain,76.19,84,W,80.876,1
5,Captain,76.19,82,O,79.676,1
6,Captain,76.19,82,W,79.676,1
7,Captain,70.0,84,O,78.4,1
8,Captain,73.81,81,W,78.124,1
9,Captain,84.29,72,W,76.916,1
10,Captain,87.62,69,W,76.44800000000001,1
11,Captain,80.0,74,W,76.4,1
12,Captain,79.05,74,O,76.02,1
13,Captain,73.81,77,W,75.72399999999999,1
14,Captain,76.67,74,W,75.068,1
15,Captain,82.38,70,O,74.952,1
16,Captain,73.33,74,W,73.732,1
17,Captain,70.0,76,W,73.6,1
18,Captain,68.57,74,O,71.828,1
19,Captain,82.38,64,W,71.352,1
20,Captain,56.67,81,W,71.268,1
21,Captain,70.95,70,O,70.38,1
22,Captain,62.38,75,W,69.952,0
23,Captain,78.57,64,W,69.828,0
24,Captain,71.43,68,W,69.372,0
25,Captain,71.43,68,W,69.372,0
26,Captain,59.05,76,W,69.22,0
27,Captain,60.48,75,O,69.192,0
28,Captain,57.14,75,W,67.85600000000001,0
29,Captain,52.38,77,O,67.152,0
30,Captain,67.14,65,O,65.85600000000001,0
31,Captain,55.24,68,W,62.896,0
32,Captain,58.57,65,O,62.428000000000004,0
33,Captain,48.57,69,W,60.828,0
34,Captain,67.62,56,O,60.648,0
35,Captain,57.14,61,O,59.456,0
36,Captain,70.48,50,O,58.192,0
37,Captain,42.86,67,O,57.343999999999994,0
38,Captain,53.81,58,W,56.324,0
39,Captain,60.0,53,O,55.8,0
40,Captain,54.76,49,O,51.303999999999995,0
41,Lieutenant,88.75,91,W,90.1,1
42,Lieutenant,87.5,87,W,87.2,1
43,Lieutenant,77.5,91,W,85.6,1
44,Lieutenant,85.0,84,W,84.4,1
45,Lieutenant,80.0,87,W,84.2,1
46,Lieutenant,73.75,91,W,84.1,1
47,Lieutenant,80.83,84,W,82.73200000000001,1
48,Lieutenant,73.33,89,W,82.73200000000001,1
49,Lieutenant,63.75,95,W,82.5,1
50,Lieutenant,68.33,91,W,81.932,1
51,Lieutenant,69.58,86,W,79.432,1
52,Lieutenant,73.75,81,W,78.1,1
53,Lieutenant,58.75,89,W,76.9,1
54,Lieutenant,77.5,76,O,76.6,1
55,Lieutenant,61.25,86,O,76.1,1
56,Lieutenant,80.42,73,O,75.968,1
57,Lieutenant,74.17,77,W,75.868,1
58,Lieutenant,63.33,83,W,75.132,1
59,Lieutenant,87.5,66,W,74.6,1
60,Lieutenant,65.83,80,O,74.332,1
61,Lieutenant,78.33,70,W,73.332,1
62,Lieutenant,70.83,74,O,72.732,1
63,Lieutenant,66.67,76,W,72.268,1
64,Lieutenant,92.08,59,O,72.232,1
65,Lieutenant,72.5,72,W,72.2,1
66,Lieutenant,73.33,71,W,71.932,1
67,Lieutenant,55.0,82,O,71.2,1
68,Lieutenant,69.17,72,O,70.868,1
69,Lieutenant,65.83,74,W,70.732,1
70,Lieutenant,58.33,79,W,70.732,1
71,Lieutenant,53.75,82,O,70.7,1
72,Lieutenant,77.5,66,W,70.6,1
73,Lieutenant,73.75,68,W,70.3,1
74,Lieutenant,71.67,69,W,70.068,1
75,Lieutenant,64.58,73,W,69.632,0
76,Lieutenant,70.83,68,O,69.132,0
77,Lieutenant,73.75,66,W,69.1,0
78,Lieutenant,58.75,76,W,69.1,0
79,Lieutenant,51.25,80,W,68.5,0
80,Lieutenant,62.5,72,O,68.2,0
81,Lieutenant,51.67,79,W,68.068,0
82,Lieutenant,70.83,65,O,67.332,0
83,Lieutenant,64.58,69,W,67.232,0
84,Lieutenant,79.17,59,W,67.068,0
85,Lieutenant,56.25,73,O,66.3,0
86,Lieutenant,55.0,73,W,65.8,0
87,Lieutenant,66.25,65,O,65.5,0
88,Lieutenant,50.42,75,W,65.168,0
89,Lieutenant,57.5,70,O,65.0,0
90,Lieutenant,69.17,60,O,63.668,0
91,Lieutenant,51.67,71,O,63.268,0
92,Lieutenant,71.67,57,W,62.868,0
93,Lieutenant,50.42,71,O,62.768,0
94,Lieutenant,56.25,66,W,62.1,0
95,Lieutenant,56.67,64,O,61.068000000000005,0
96,Lieutenant,56.25,64,O,60.9,0
97,Lieutenant,42.5,73,O,60.8,0
98,Lieutenant,51.25,67,O,60.7,0
99,Lieutenant,55.0,64,O,60.4,0
100,Lieutenant,51.25,66,O,60.1,0
101,Lieutenant,49.58,67,W,60.032,0
102,Lieutenant,60.0,60,W,60.0,0
103,Lieutenant,46.25,68,O,59.3,0
104,Lieutenant,60.83,58,O,59.132,0
105,Lieutenant,57.92,58,W,57.968,0
106,Lieutenant,51.25,62,W,57.7,0
107,Lieutenant,44.58,66,W,57.431999999999995,0
108,Lieutenant,44.17,66,O,57.268,0
109,Lieutenant,45.42,65,W,57.168,0
110,Lieutenant,55.83,58,O,57.132,0
111,Lieutenant,54.58,58,W,56.632,0
112,Lieutenant,58.75,55,O,56.5,0
113,Lieutenant,40.83,64,O,54.732,0
114,Lieutenant,52.08,56,O,54.431999999999995,0
115,Lieutenant,48.33,58,O,54.132,0
116,Lieutenant,52.92,49,O,50.568000000000005,0
117,Lieutenant,45.83,46,O,45.931999999999995,0
