,Position,Oral,Written,Race,Combine,Class
0,Captain,90.6065547174201,90.49534685838466,W,85.56853564348233,1
1,Captain,75.40899471172591,89.49991731591885,W,83.70768315339998,1
2,Captain,79.76292107147032,81.99411019732051,W,80.64527475751203,1
3,Captain,85.47578685657629,73.00168665843168,W,76.62362819329346,1
4,Captain,72.50093683392984,79.01878609707317,W,76.34178335264043,1
5,Captain,79.76292107147032,86.50473113323844,O,85.56853564348233,1
6,Captain,71.90740002598494,77.49736932098338,W,75.3790693118197,1
7,Captain,74.21816029549878,89.49991731591885,O,83.70768315339998,1
8,Captain,70.04044282237776,76.9901389307949,W,74.49590381318754,1
9,Captain,79.76292107147032,68.74998508804197,W,73.63995711157526,1
10,Captain,83.99052723052947,66.5112232839304,W,72.8135181926227,1
11,Captain,75.40899471172591,70.00476566749246,W,72.75701336973233,1
12,Captain,83.26971672471376,79.01878609707317,O,80.2017804260984,1
13,Captain,70.04044282237776,74.50244963190221,W,72.0025017439069,1
14,Captain,72.50093683392984,70.49848695412786,W,71.11124277783458,1
15,Captain,85.47578685657629,73.00537807253141,O,78.83932648342221,1
16,Captain,66.45386110847491,70.00476566749246,W,70.228072926055,1
17,Captain,63.56521192485062,73.00537807253141,W,69.72241623200532,1
18,Captain,72.50093683392984,78.99995230842464,O,76.34178335264043,1
19,Captain,76.65726829001068,59.50850673467481,W,67.30437734447463,1
20,Captain,53.97216877108573,77.00327065098293,W,66.89088422228622,1
21,Captain,76.65726829001068,73.00168665843168,O,73.63995711157526,1
22,Captain,58.585275730316106,71.49436847720048,W,65.36976787060404,0
23,Captain,74.21816029549878,59.50850673467481,W,65.26245615295444,0
24,Captain,64.47002019230433,64.50496375272331,W,64.86735926094585,0
25,Captain,64.47002019230433,64.00288372035482,W,65.08060687461145,0
26,Captain,56.63708526513797,73.0084361358771,W,64.66993032935588,0
27,Captain,66.8886045432017,80.75685041227312,O,72.8135181926227,0
28,Captain,54.39612081344576,70.99802045374597,W,62.87073432487207,0
29,Captain,55.568844001847246,81.99411019732051,O,71.11124277783458,0
30,Captain,70.65891604738754,68.99802172797163,O,69.72241623200532,0
31,Captain,53.49917689791174,66.2514642958217,W,60.57066360454761,0
32,Captain,65.11959985036307,68.50156173587936,O,66.58723299012124,0
33,Captain,45.53510138181882,66.2514642958217,W,57.58203911967904,0
34,Captain,71.90740002598494,60.49907970188295,O,65.08060687461145,0
35,Captain,63.56521192485062,64.50496375272331,O,64.28015792791493,0
36,Captain,74.828134748914,54.99266045990652,O,62.87073432487207,0
37,Captain,46.43481364511125,70.99802045374597,O,62.20081369817393,0
38,Captain,49.506924192172896,53.751151271060245,W,51.21533857971473,0
39,Captain,66.45386110847491,57.49575309362781,O,58.95523051695537,0
40,Captain,58.585275730316106,53.493686449497005,O,54.44512996762204,0
41,Lieutenant,90.6065547174201,86.50473113323844,W,85.56853564348233,1
42,Lieutenant,83.99052723052947,80.75685041227312,W,81.49687650518877,1
43,Lieutenant,73.34571804834457,86.48837867178159,W,81.49687650518877,1
44,Lieutenant,81.24993217730926,78.99995230842464,W,80.2017804260984,1
45,Lieutenant,75.39744463672976,81.49793557451886,W,80.06205468801673,1
46,Lieutenant,67.49981179005799,86.50473113323844,W,80.06205468801673,1
47,Lieutenant,75.83390892655277,78.74721299449573,W,78.53005083124475,1
48,Lieutenant,67.08961848063886,84.50427552538237,W,78.83932648342221,1
49,Lieutenant,59.586032138746845,90.49534685838466,W,77.47641375036704,1
50,Lieutenant,61.87350704194546,86.48893447585459,W,77.47641375036704,1
51,Lieutenant,63.1036280030811,80.75685041227312,W,75.3790693118197,1
52,Lieutenant,67.49981179005799,76.9901389307949,W,74.4077189340145,1
53,Lieutenant,55.83780617160434,84.50427552538237,W,73.63995711157526,1
54,Lieutenant,81.24993217730926,81.49793557451886,O,81.49687650518877,1
55,Lieutenant,67.49981179005799,90.49534685838466,O,80.64527475751203,1
56,Lieutenant,83.99052723052947,77.00327065098293,O,80.06205468801673,1
57,Lieutenant,70.65891604738754,73.99608511179528,W,72.0025017439069,1
58,Lieutenant,59.16450253301268,78.74721299449573,W,71.22548604487179,1
59,Lieutenant,83.26971672471376,61.99077440669515,W,70.228072926055,1
60,Lieutenant,69.8012745599059,84.50427552538237,O,78.53005083124475,1
61,Lieutenant,74.21816029549878,66.76315429201519,W,69.41252342205715,1
62,Lieutenant,75.40899471172591,78.74721299449573,O,77.47641375036704,1
63,Lieutenant,61.87350704194546,71.99625117494708,W,68.62502593584904,1
64,Lieutenant,90.6065547174201,63.25131649472324,O,76.62362819329346,1
65,Lieutenant,66.45386110847491,68.50156173587936,W,68.62502593584904,1
66,Lieutenant,66.8886045432017,67.98557540836548,W,67.7902316615031,1
67,Lieutenant,59.586032138746845,86.48837867178159,O,75.3790693118197,1
68,Lieutenant,73.33044281714949,76.00710339463728,O,74.49590381318754,1
69,Lieutenant,61.035892453917896,69.98189206885121,W,66.58723299012124,1
70,Lieutenant,55.10713641266318,75.50028859529863,W,66.89088422228622,1
71,Lieutenant,56.63708526513797,86.48893447585459,O,74.4077189340145,1
72,Lieutenant,73.33044281714949,61.99364582995531,W,65.83328381189648,1
73,Lieutenant,68.11391565697625,63.25131649472324,W,65.55200963322822,1
74,Lieutenant,65.11959985036307,66.76315429201519,W,65.55200963322822,1
75,Lieutenant,59.586032138746845,68.99802172797163,W,65.08060687461145,0
76,Lieutenant,75.39744463672976,71.99625117494708,O,72.75701336973233,0
77,Lieutenant,69.8012745599059,61.99077440669515,W,64.28015792791493,0
78,Lieutenant,55.568844001847246,73.00537807253141,W,64.28015792791493,0
79,Lieutenant,48.54002375838766,76.00710339463728,W,63.890774234233504,0
80,Lieutenant,68.11391565697625,75.50028859529863,O,72.0025017439069,0
81,Lieutenant,49.506924192172896,74.50244963190221,W,63.58648346860341,0
82,Lieutenant,75.83390892655277,68.74998508804197,O,71.22548604487179,0
83,Lieutenant,60.205840388336156,66.49935174722722,W,62.87073432487207,0
84,Lieutenant,74.828134748914,53.751151271060245,W,62.20081369817393,0
85,Lieutenant,61.87350704194546,77.49736932098338,O,70.228072926055,0
86,Lieutenant,52.701113298474034,68.74998508804197,W,61.54118520108732,0
87,Lieutenant,70.04044282237776,67.98557540836548,O,69.41252342205715,0
88,Lieutenant,46.43481364511125,71.49436847720048,W,60.57066360454761,0
89,Lieutenant,64.47002019230433,73.0084361358771,O,68.62502593584904,0
90,Lieutenant,73.34571804834457,64.00288372035482,O,67.7902316615031,0
91,Lieutenant,54.39612081344576,74.50244963190221,O,67.30437734447463,0
92,Lieutenant,65.20895568513077,51.74793023928244,W,59.67152426584056,0
93,Lieutenant,52.701113298474034,73.99608511179528,O,66.89088422228622,0
94,Lieutenant,53.49917689791174,60.9955301649242,W,58.95523051695537,0
95,Lieutenant,63.1036280030811,66.5112232839304,O,65.83328381189648,0
96,Lieutenant,61.035892453917896,66.2514642958217,O,65.55200963322822,0
97,Lieutenant,45.53510138181882,76.9901389307949,O,65.36976787060404,0
98,Lieutenant,53.49917689791174,70.49848695412786,O,65.26245615295444,0
99,Lieutenant,59.16450253301268,66.49935174722722,O,64.86735926094585,0
100,Lieutenant,53.97216877108573,69.98189206885121,O,64.66993032935588,0
101,Lieutenant,46.43481364511125,63.25131649472324,W,57.58203911967904,0
102,Lieutenant,56.63708526513797,54.99266045990652,W,57.21288166586858,0
103,Lieutenant,49.506924192172896,71.49436847720048,O,63.890774234233504,0
104,Lieutenant,67.08961848063886,61.99077440669515,O,63.58648346860341,0
105,Lieutenant,55.10713641266318,53.493686449497005,W,56.05032716242604,0
106,Lieutenant,47.70997121413038,57.49575309362781,W,54.44512996762204,0
107,Lieutenant,42.915693318657915,61.99952344388596,W,54.44512996762204,0
108,Lieutenant,47.70997121413038,70.00476566749246,O,61.54118520108732,0
109,Lieutenant,42.915693318657915,60.49907970188295,W,53.8754120957729,0
110,Lieutenant,60.205840388336156,61.99952344388596,O,60.57066360454761,0
111,Lieutenant,51.451203790168165,51.74793023928244,W,51.21533857971473,0
112,Lieutenant,65.20895568513077,59.50850673467481,O,59.67152426584056,0
113,Lieutenant,42.915693318657915,66.76315429201519,O,57.58203911967904,0
114,Lieutenant,55.10713641266318,60.9955301649242,O,57.21288166586858,0
115,Lieutenant,51.451203790168165,61.99364582995531,O,56.05032716242604,0
116,Lieutenant,55.83780617160434,53.751151271060245,O,53.8754120957729,0
117,Lieutenant,48.54002375838766,51.74793023928244,O,51.21533857971473,0
