,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,GP,F,17.99493411336646,U,GT3,A,4.007992382137631,3.9948262633025022,at_home,teacher,course,mother,1.9952756085159509,1.9979521983085253,0.0087249420733022,yes,no,no,no,yes,yes,no,no,3.9976919672882687,2.988826676537788,3.9925624092444094,1.0062294158940752,1.004055293618226,3.500996808940535,3.996590260608318,3.2390132088765586,10.512557653457709,0
1,GP,F,17.004347704648964,U,GT3,T,1.012690569616904,1.009163013549637,at_home,other,course,father,0.9833889229371053,2.0021101179922125,-0.004414840875982739,no,yes,no,no,no,yes,yes,no,5.011679248610807,3.5032974127401424,3.0094499910271075,1.508843399434698,1.0076677297728964,2.9963598100102224,1.9944472239730708,8.990102764992649,10.998926823243218,0
2,GP,F,14.987405412221408,U,LE3,T,0.9968412480047202,0.9941581351635159,at_home,other,other,mother,1.004104718465039,2.0041347446758757,-0.012638132154429677,yes,no,no,no,yes,yes,yes,no,4.005018432309112,3.4961175500139747,2.0044152669462107,2.4974529999292354,3.5104784137945915,3.5066265521869884,6.995190086297168,11.491149208736932,12.511028989714472,1
3,GP,F,14.988011593499392,U,GT3,T,4.001191009879182,2.5000812458338055,health,services,home,mother,1.0174826552469598,2.990945343476031,0.508346288121439,no,yes,no,yes,yes,yes,yes,yes,2.9883306703565014,1.9979866244228663,2.0025446425307614,1.5047453129530943,1.4986447432168954,4.999983968304957,-0.001021154368946861,13.50695939074337,13.499824665237682,1
4,GP,F,15.988485309336113,U,GT3,T,3.5038539522211316,3.4925387798720426,other,other,home,father,0.9963002181774776,1.4990558515457129,-0.017780423246348584,no,yes,no,no,yes,yes,no,no,4.004838563394877,3.000841790114178,2.00489941193782,0.9888099149396716,2.5079922901727523,4.998334250980532,0.006338778569803433,10.490229526766091,12.50791174963329,1
5,GP,M,15.99010217549909,U,LE3,T,4.020129672858599,2.504265848565073,services,other,reputation,mother,0.9833889229371053,2.0019967896759754,-0.009521703631192327,no,yes,no,yes,yes,yes,yes,no,5.008023766964428,4.004389208652621,1.4937199493314433,0.9969762355867569,1.5088670248543607,5.011371211766596,6.000478638379428,12.503516357666136,12.500503148389225,1
6,GP,M,16.001490398050663,U,LE3,T,1.4973363110282534,2.0062464102712507,other,other,home,mother,0.9801119971894292,2.5059970653171675,0.0034969558558475763,no,no,no,no,yes,yes,yes,no,3.9913660423016566,3.4961175500139747,3.993739810312356,1.0021214989951779,0.9836980314881842,3.001684856194972,-0.0001483489919426436,13.4925567906235,12.505903455433725,1
7,GP,F,16.994364462310983,U,GT3,A,4.001876265146879,4.004679506818084,other,teacher,home,mother,2.015363066507329,1.5003745222975127,0.003759714312333421,yes,yes,no,no,yes,yes,no,no,4.503716079128491,0.9882349792263796,4.5010995488621095,1.003393429091608,1.5041870085382274,1.4982539986196513,2.997908772094387,9.992956030824892,12.493294033866631,1
8,GP,M,15.509612430026461,U,LE3,A,2.5045246200168068,1.9915211668314372,services,other,home,mother,0.997913947529733,2.5069127630519974,-0.010170433846632057,no,yes,no,no,yes,yes,yes,no,4.008175885099632,2.0048640638134545,1.9885794923561133,0.9908697258561483,1.0032924187708288,0.9996782780483761,0.012207365777429653,15.5001159275557,16.498875968729347,1
9,GP,M,14.990396466501778,U,GT3,T,2.991275118918624,3.4913756512709773,other,other,home,mother,1.0025285851315153,2.4915674683421614,-0.00032348326262591446,no,yes,no,yes,yes,yes,yes,no,5.005516253544956,4.4965770684266655,0.9917752103420443,0.9927957171091943,1.0034033519708945,4.994329182514086,0.008766586332182877,12.485922467306267,12.501572067763632,1
10,GP,F,14.995635317676442,U,GT3,T,4.002413769865393,4.008796725068791,teacher,health,reputation,mother,1.0089036284672426,1.9996364516609022,-0.012947445820766491,no,yes,no,no,yes,yes,yes,no,3.5000598871175397,2.993967310637662,3.0044122000325357,0.9937941614458172,2.5124594967302363,1.9994479360401098,1.9906769395753918,13.508855926938075,13.495325277059633,1
11,GP,F,15.000224298340271,U,GT3,T,1.9982429461050348,0.9794969523281003,services,other,reputation,father,2.9981139233132756,2.497322500904046,-0.021563620455449233,no,yes,no,yes,yes,yes,yes,no,4.996312808989888,1.9845816933489027,2.0106455981960947,1.5065923276681348,1.5062868169379262,4.007898212003718,0.0008566139294275763,9.498673334926142,11.997766736616558,1
12,GP,M,15.50044265490375,U,LE3,T,3.9970885668808256,3.997927535743516,health,services,course,father,1.003495682015483,0.9938131455622341,-0.003695273887286227,no,yes,no,yes,yes,yes,yes,no,4.004010756352372,2.997028504186603,2.998791919131158,0.997116491651719,2.491977975416532,4.485530820167977,-0.002714015813837862,12.512960790105618,13.499824665237682,1
13,GP,M,15.004031848615293,U,GT3,T,3.9969915477001194,2.5028675289014535,teacher,other,course,mother,1.9903050117298977,1.9881423812368963,0.018580843217033096,no,yes,no,no,yes,yes,yes,no,4.994089389526094,3.5068855912953643,3.0044122000325357,0.9912673391359323,1.5113709374029276,2.5039534017200484,0.004135638045770088,12.498942711131845,12.493294033866631,1
14,GP,M,14.989373092202623,U,GT3,A,2.009596971971918,1.5023993088421623,other,other,home,other,0.9963002181774776,3.0018407416932513,0.006402743189877942,no,yes,no,no,yes,yes,yes,yes,3.4912317658891627,4.9989986328300215,1.499528757344033,0.9863626263767179,0.9752811240822248,2.4978828760524343,-0.00212554115472824,14.503923939372015,14.50939358631246,1
