trial__id,race,struck_state,defendant_race,same_race,struck_by
4,Black,1,White,different race,Juror chosen to serve on jury
4,Black,0,White,different race,Struck by the state
4,White,1,White,same race,Juror chosen to serve on jury
4,White,1,White,same race,Struck by the defense
4,Black,0,White,different race,Struck by the state
4,White,1,White,same race,Juror chosen to serve on jury
4,Black,0,White,different race,Struck by the state
4,White,1,White,same race,Struck by the defense
4,White,1,White,same race,Juror chosen to serve on jury
4,White,1,White,same race,Struck by the defense
4,White,1,White,same race,Juror chosen to serve on jury
4,White,1,White,same race,Struck by the defense
301,Black,0,Black,same race,Struck by the state
5,Black,1,Black,same race,Juror chosen to serve on jury
5,Black,1,Black,same race,Juror chosen to serve on jury
5,White,1,Black,different race,Struck by the defense
5,Black,0,Black,same race,Struck by the state
5,White,1,Black,different race,Juror chosen to serve on jury
5,Black,0,Black,same race,Struck by the state
5,White,1,Black,different race,Struck by the defense
5,Black,1,Black,same race,Juror chosen to serve on jury
5,Black,1,Black,same race,Juror chosen to serve on jury
5,White,1,Black,different race,Juror chosen to serve on jury
5,White,1,Black,different race,Juror chosen to serve on jury
5,White,1,Black,different race,Juror chosen to serve on jury
5,White,0,Black,different race,Struck by the state
6,White,0,White,same race,Struck by the state
7,Black,0,White,different race,Struck by the state
7,White,1,White,same race,Juror chosen to serve on jury
7,White,0,White,same race,Struck by the state
269,Black,0,Black,same race,Struck by the state
8,Black,0,Black,same race,Struck by the state
7,White,1,White,same race,Struck by the defense
301,Black,1,Black,same race,Struck by the defense
102,White,1,Black,different race,Juror chosen to serve on jury
36,Black,1,White,different race,Struck by the defense
58,White,1,Black,different race,Juror chosen as alternate
161,White,1,Black,different race,Struck by the defense
161,White,1,Black,different race,Struck by the defense
161,Black,1,Black,same race,Juror chosen to serve on jury
161,Black,1,Black,same race,Juror chosen to serve on jury
161,Black,0,Black,same race,Struck by the state
161,Black,1,Black,same race,Juror chosen to serve on jury
161,White,1,Black,different race,Struck by the defense
161,Black,1,Black,same race,Juror chosen to serve on jury
161,Black,1,Black,same race,Juror chosen to serve on jury
161,White,0,Black,different race,Struck by the state
161,Black,1,Black,same race,Juror chosen to serve on jury
161,Black,0,Black,same race,Struck by the state
161,Black,1,Black,same race,Juror chosen to serve on jury
161,Black,1,Black,same race,Juror chosen to serve on jury
161,White,1,Black,different race,Juror chosen as alternate
22,White,1,Black,different race,Juror chosen to serve on jury
22,White,1,Black,different race,Juror chosen to serve on jury
166,White,1,Black,different race,Juror chosen to serve on jury
166,Black,0,Black,same race,Struck by the state
166,Black,0,Black,same race,Struck by the state
166,White,1,Black,different race,Juror chosen to serve on jury
166,Black,1,Black,same race,Juror chosen to serve on jury
166,Black,0,Black,same race,Struck by the state
166,White,1,Black,different race,Juror chosen to serve on jury
166,White,1,Black,different race,Juror chosen to serve on jury
59,Black,0,Black,same race,Struck by the state
59,White,1,Black,different race,Juror chosen to serve on jury
59,White,0,Black,different race,Struck by the state
59,Black,0,Black,same race,Struck by the state
59,White,1,Black,different race,Juror chosen as alternate
71,Black,1,Black,same race,Juror chosen as alternate
71,Black,0,Black,same race,Struck by the state
71,Black,0,Black,same race,Struck by the state
71,White,1,Black,different race,Struck by the defense
71,White,1,Black,different race,Juror chosen to serve on jury
71,Black,1,Black,same race,Juror chosen to serve on jury
71,White,1,Black,different race,Struck by the defense
71,White,1,Black,different race,Juror chosen to serve on jury
71,White,1,Black,different race,Struck by the defense
71,Black,0,Black,same race,Struck by the state
71,Black,1,Black,same race,Juror chosen to serve on jury
71,White,1,Black,different race,Juror chosen to serve on jury
71,Black,0,Black,same race,Struck by the state
71,White,1,Black,different race,Juror chosen to serve on jury
71,Black,0,Black,same race,Struck by the state
