LIMIT_BAL,sex,education,MARRIAGE,age,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default
2,female,higher ed,1,24,2,2,-1,-1,-2,-2,0.3913,0.3102,0.0689,0,0,0,0,0.0689,0,0,0,0,1
12,female,higher ed,2,26,-1,2,0,0,0,2,0.2682,0.1725,0.2682,0.3272,0.3455,0.3261,0,0.1,0.1,0.1,0,0.2,1
9,female,higher ed,2,34,0,0,0,0,0,0,2.9239,1.4027,1.3559,1.4331,1.4948,1.5549,0.1518,0.15,0.1,0.1,0.1,0.5,0
5,female,higher ed,1,37,0,0,0,0,0,0,4.699,4.8233,4.9291,2.8314,2.8959,2.9547,0.2,0.2019,0.12,0.11,0.1069,0.1,0
5,male,higher ed,1,57,-1,0,-1,0,0,0,0.8617,0.567,3.5835,2.094,1.9146,1.9131,0.2,3.6681,1,0.9,0.0689,0.0679,0
5,male,higher ed,2,37,0,0,0,0,0,0,6.44,5.7069,5.7608,1.9394,1.9619,2.0024,0.25,0.1815,0.0657,0.1,0.1,0.08,0
50,male,higher ed,2,29,0,0,0,0,0,0,36.7965,41.2023,44.5007,54.2653,48.3003,47.3944,5.5,4,3.8,2.0239,1.375,1.377,0
10,female,higher ed,2,23,0,-1,-1,0,0,-1,1.1876,0.038,0.0601,0.0221,-0.0159,0.0567,0.038,0.0601,0,0.0581,0.1687,0.1542,0
14,female,high school,1,28,0,0,2,0,0,0,1.1285,1.4096,1.2108,1.2211,1.1793,0.3719,0.3329,0,0.0432,0.1,0.1,0.1,0
2,male,high school,2,35,-2,-2,-2,-2,-1,-1,0,0,0,0,1.3007,1.3912,0,0,0,1.3007,0.1122,0,0
20,female,high school,2,34,0,0,2,0,0,-1,1.1073,0.9787,0.5535,0.2513,0.1828,0.3731,0.2306,0.0012,0.005,0.03,0.3738,0.0066,0
26,female,higher ed,2,51,-1,-1,-1,-1,-1,2,1.2261,2.167,0.9966,0.8517,2.2287,1.3668,2.1818,0.9966,0.8583,2.2301,0,0.364,0
63,female,higher ed,2,41,-1,0,-1,-1,-1,-1,1.2137,0.65,0.65,0.65,0.65,0.287,0.1,0.65,0.65,0.65,0.287,0,0
7,male,higher ed,2,30,1,2,2,0,0,2,6.5802,6.7369,6.5701,6.6782,3.6137,3.6894,0.32,0,0.3,0.3,0.15,0,1
25,male,higher ed,2,29,0,0,0,0,0,0,7.0887,6.706,6.3561,5.9696,5.6875,5.5512,0.3,0.3,0.3,0.3,0.3,0.3,0
5,female,high school,3,23,1,2,0,0,0,0,5.0614,2.9173,2.8116,2.8771,2.9531,3.0211,0,0.15,0.11,0.12,0.13,0.11,0
2,male,higher ed,2,24,0,0,2,2,2,2,1.5376,1.801,1.7428,1.8338,1.7905,1.9104,0.32,0,0.15,0,0.165,0,1
32,male,higher ed,1,49,0,0,0,-1,-1,-1,25.3286,24.6536,19.4663,7.0074,0.5856,19.5599,1.0358,1,7.594,2,19.5599,5,0
36,female,higher ed,1,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
18,female,higher ed,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
13,female,high school,2,39,0,0,0,0,0,-1,3.8358,2.7688,2.4489,2.0616,1.1802,0.093,0.3,0.1537,0.1,0.2,0.093,3.3764,0
12,female,higher ed,1,39,-1,-1,-1,-1,-1,-1,0.0316,0.0316,0.0316,0,0.0632,0.0316,0.0316,0.0316,0,0.0632,0.0316,0,1
7,female,higher ed,2,26,2,0,0,2,2,2,4.1087,4.2445,4.502,4.4006,4.6905,4.6012,0.2007,0.3582,0,0.3601,0,0.182,1
45,female,higher ed,1,40,-2,-2,-2,-2,-2,-2,0.5512,1.942,0.1473,0.056,0,0,1.9428,0.1473,0.056,0,0,0.1128,1
9,male,higher ed,2,23,0,0,0,-1,0,0,0.4744,0.707,0,0.5398,0.636,0.8292,0.5757,0,0.5398,0.12,0.2045,0.2,0
5,male,high school,2,23,0,0,0,0,0,0,4.762,4.181,3.6023,2.8967,2.9829,3.0046,0.1973,0.1426,0.1001,0.1432,0.1062,0.0997,0
6,male,higher ed,2,27,1,-2,-1,-1,-1,-1,-0.0109,-0.0425,0.0259,-0.0057,0.0127,-0.0189,0,0.1,0,0.05,0,0.1,1
5,female,high school,2,30,0,0,0,0,0,0,2.2541,1.6138,1.7163,1.7878,1.8931,1.9617,0.13,0.13,0.1,0.15,0.1,0.1012,0
5,female,high school,1,47,-1,-1,-1,-1,-1,-1,0.065,0.3415,0.3416,0.204,3.043,0.0257,0.3415,0.3421,0.2044,3.043,0.0257,0,0
5,male,higher ed,2,26,0,0,0,0,0,0,1.5329,1.6575,1.7496,1.7907,1.8375,1.14,0.15,0.15,0.1,0.1,0.16,0,0
23,female,higher ed,2,27,-1,-1,-1,-1,-1,-1,1.6646,1.7265,1.3266,1.5339,1.4307,3.6923,1.727,1.3281,1.5339,1.4307,3.7292,0,0
5,male,higher ed,2,33,2,0,0,0,0,0,3.0518,2.9618,2.2102,2.2734,2.3217,2.368,0.1718,0.15,0.1,0.1,0.1,0.0716,1
10,male,higher ed,2,32,0,0,0,0,0,0,9.3036,8.4071,8.288,8.0958,7.8703,7.5589,0.3023,0.3511,0.3302,0.3204,0.32,0.2504,0
50,female,higher ed,1,54,-2,-2,-2,-2,-2,-2,1.0929,0.4152,2.2722,0.7521,7.1439,0.8981,0.4152,2.2827,0.7521,7.1439,0.0981,5.1582,0
50,male,higher ed,1,58,-2,-2,-2,-2,-2,-2,1.3709,0.5006,3.113,0.318,0,0.5293,0.5006,3.1178,0.318,0,0.5293,0.0768,0
16,male,higher ed,2,30,-1,-1,-2,-2,-2,-1,3.0265,-0.0131,-0.0527,-0.0923,-0.1488,-0.1884,0.0131,0.0396,0.0396,0.0565,0.0792,0,0
28,male,higher ed,1,40,0,0,0,0,0,0,18.6503,18.1328,18.0422,17.041,17.3901,17.7413,0.8026,0.806,0.63,0.64,0.64,0.6737,0
6,female,higher ed,2,22,0,0,0,0,0,-1,1.5054,0.9806,1.1068,0.6026,-2.8335,1.866,0.15,0.1518,0.2043,0,4.7671,0.0617,0
5,male,higher ed,2,25,1,-1,-1,-2,-2,-2,0,0.078,0,0,0,0,0.078,0,0,0,0,0,1
28,male,higher ed,2,31,-1,-1,2,-1,0,-1,0.0498,0.9075,0.4641,0.9976,1.7976,0.9477,0.9075,0,0.9976,0.8,0.9525,0.0781,0
36,male,higher ed,2,33,0,0,0,0,0,0,21.8668,22.1296,20.6895,62.8699,19.5969,17.9224,1,0.7,0.6,18.884,2.8,0.4,0
7,female,higher ed,2,25,0,0,0,0,0,0,6.7521,6.6999,6.3949,6.3699,6.4718,6.597,0.3,0.45,0.4042,0.25,0.28,0.25,0
1,male,higher ed,2,22,0,0,0,0,0,0,0.1877,0.3184,0.6003,0.3576,0.367,0.4451,0.15,0.2927,0.1,0.03,0.1,0.05,0
14,female,higher ed,1,37,0,0,0,0,0,0,5.9504,6.1544,6.2925,6.428,6.7079,6.9802,0.3,0.3,0.3,0.4,0.4,0.3,0
4,female,higher ed,2,30,0,0,0,2,0,0,1.8927,2.1295,2.5921,2.5209,2.6636,2.9197,0.3,0.5,0,0.2,0.3,0,0
21,male,higher ed,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,female,higher ed,2,22,0,0,2,-1,0,0,1.4028,1.6484,1.58,1.6341,1.6675,0,0.3,0,1.6741,0.0334,0,0,1
38,male,higher ed,2,32,-1,-1,-1,-1,-1,-1,2.2401,2.154,1.5134,3.2018,1.1849,1.1873,2.154,1.5138,2.4677,1.1851,1.1875,0.8251,0
2,male,higher ed,2,24,0,0,0,0,0,0,1.7447,1.8479,1.9476,1.9865,2.048,2.0063,0.1318,0.1315,0.0704,0.0928,0.0912,0.1069,0
7,male,high school,2,42,1,2,2,2,2,0,3.7042,3.6171,3.8355,3.9423,3.8659,3.9362,0,0.31,0.2,0,0.15,0.15,1
10,female,high school,3,43,0,0,0,0,0,0,6.1559,5.1163,4.3824,3.9619,3.5762,3.3258,0.2,0.1606,0.15,0.2,0.15,0.1,0
31,female,higher ed,1,49,-2,-2,-2,-2,-2,-2,1.3465,0.7867,0.76,1.1185,0.3544,0.0464,0.7875,0.76,1.1185,0.3544,0.0464,0,0
18,female,higher ed,2,25,1,2,0,0,0,0,4.1402,4.1742,4.2758,4.351,4.442,4.5319,0.13,0.201,0.1762,0.1762,0.179,0.1622,0
15,female,higher ed,2,29,2,0,0,0,0,0,4.6224,3.4993,3.1434,2.6518,2.1042,1.654,0.16,0.1718,0.1049,0.15,0.2,0.5,0
50,female,higher ed,1,45,-2,-2,-2,-2,-2,-2,0.1905,0.364,0.0162,0,0.0151,0.253,0.364,0.0162,0,0.0151,0.253,0,0
