 CAMIS ,DBA,borough,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,score,GRADE DATE,Community Board,Council District,Census Tract,BIN,BBL,NTA
30075445,MORRIS PARK BAKE SHOP,Bronx,Bakery,11/4/19,04N,7,11/4/19,211,13,25200,2045445,2041270037,BX37
30112340,WENDY'S,Brooklyn,Hamburgers,3/4/19,02G,13,3/4/19,309,40,32700,3029737,3011970017,BK60
30191841,DJ REYNOLDS PUB AND RESTAURANT,Manhattan,Irish,6/6/19,06C,8,6/6/19,104,3,13900,1026048,1010480008,MN15
40356018,RIVIERA CATERERS,Brooklyn,American,11/8/19,06D,10,11/8/19,313,47,34800,3347399,3069970098,BK21
40356151,BRUNOS ON THE BOULEVARD,Queens,American,10/6/18,04N,40,,403,22,32900,4024132,4011000037,QN28
40356483,WILKEN'S FINE FOOD,Brooklyn,Delicatessen,5/3/19,06C,13,5/3/19,318,46,70000,3237693,3084310041,BK45
40356731,TASTE THE TROPICS ICE CREAM,Brooklyn,"Ice Cream, Gelato, Yogurt, Ices",5/31/19,10F,10,5/31/19,317,45,82800,3112318,3049640001,BK95
40357217,WILD ASIA,Bronx,American,5/22/19,04L,10,5/22/19,206,15,33400,2116700,2031200020,BX99
40359480,1 EAST 66TH STREET KITCHEN,Manhattan,American,10/1/19,04H,9,10/1/19,108,4,12200,1041159,1013810001,MN40
40359705,NATHAN'S FAMOUS,Brooklyn,Hotdogs,4/6/19,10F,12,4/6/19,313,47,35200,3189660,3070740340,BK21
40360045,SEUDA FOODS,Brooklyn,Jewish/Kosher,12/6/19,06D,8,12/6/19,315,44,41800,3177501,3066640028,BK25
40360076,CARVEL ICE CREAM,Brooklyn,"Ice Cream, Gelato, Yogurt, Ices",9/16/19,08A,12,9/16/19,312,39,49600,3124566,3053350041,BK41
40361322,CARVEL ICE CREAM,Queens,"Ice Cream, Gelato, Yogurt, Ices",3/19/19,10F,4,3/19/19,413,23,157901,4179545,4087770025,QN44
40361618,SAL'S DELI,Queens,Delicatessen,5/16/19,22G,12,5/16/19,407,19,90700,4099345,4041740023,QN23
40361998,STEVE CHU'S DELI & GROCERY,Queens,Delicatessen,7/15/19,06F,5,7/15/19,401,26,3900,4003862,4003240031,QN68
40362264,P & S DELI GROCERY,Manhattan,American,5/13/19,04H,9,5/13/19,107,6,18100,1082743,1012260029,MN12
40362274,ANGELIKA FILM CENTER,Manhattan,American,12/16/19,06C,24,,102,1,5501,1008240,1005230048,MN23
40362432,HO MEI RESTAURANT,Queens,Chinese,2/7/19,02G,12,2/7/19,403,21,37900,4043399,4017450030,QN26
40362715,THE COUNTRY CAFE,Manhattan,Sandwiches/Salads/Mixed Buffet,1/2/20,04N,27,1/2/20,101,1,700,1001004,1000400003,MN25
40362869,SHASHEMENE INT'L RESTAURANT,Brooklyn,Caribbean,6/14/19,06C,13,6/14/19,317,41,93800,3103101,3047040001,BK96
40363098,DUNKIN',Brooklyn,Donuts,11/18/19,10F,10,11/18/19,302,33,900,3397831,3002657502,BK09
40363298,CAFE METRO,Manhattan,American,5/10/19,02B,7,5/10/19,104,3,11500,1083268,1010320029,MN15
40363426,LEXLER DELI,Manhattan,Sandwiches/Salads/Mixed Buffet,8/3/18,09A,7,8/3/18,106,4,9200,1036156,1012970023,MN19
40363427,BAGELS N BUNS,Staten Island,Delicatessen,12/3/19,10F,9,12/3/19,501,50,18901,5000000,5004860001,SI07
40363565,HOT BAGELS,Queens,Bagels/Pretzels,8/22/19,06A,10,8/22/19,405,30,65703,4437624,4030690069,QN21
40363630,LORENZO & MARIA'S KITCHEN,Manhattan,Continental,12/3/19,04L,9,12/3/19,108,5,14000,1047523,1015090035,MN40
40363685,BERKELEY,Manhattan,American,1/23/19,10B,8,1/23/19,105,4,10200,1035455,1012850021,MN17
40363834,CARVEL ICE CREAM,Staten Island,"Ice Cream, Gelato, Yogurt, Ices",10/1/19,10F,11,10/1/19,502,50,6400,5047319,5032270002,SI14
40363920,NEW GOLDEN BILLION,Brooklyn,Chinese,1/31/19,10I,2,1/31/19,317,41,88200,3099886,3046110006,BK96
40363945,DOMINO'S,Manhattan,Pizza,1/13/20,04A,12,1/13/20,107,6,15700,1081483,1011430049,MN14
40364179,SPOONBREAD TOO,Manhattan,Soul Food,5/18/19,,0,,107,7,19300,1055741,1018450003,MN09
40364220,KOSHER BAGEL HOLE,Brooklyn,Jewish/Kosher,11/27/19,10F,9,11/27/19,314,44,53000,3179615,3067070043,BK43
40364286,PLAZA BAGELS & DELI,Staten Island,Bagels/Pretzels,6/4/19,10F,6,6/4/19,502,50,13400,5057324,5041990018,SI45
40364296,HAPPY GARDEN,Bronx,Chinese,12/18/19,04M,21,,207,15,39901,2016817,2032930106,BX05
40364299,B & M HOT BAGEL & GROCERY,Staten Island,Delicatessen,2/20/19,06D,8,2/20/19,503,51,14605,5062376,5046130011,SI54
40364305,PHILADELPHIA GRILLE EXPRESS,Brooklyn,Pizza/Italian,12/11/19,02B,12,12/11/19,310,43,5602,3156122,3061370045,BK31
40364335,PETER LUGER STEAKHOUSE,Brooklyn,Steak,1/29/19,10F,2,1/29/19,301,34,54900,3335296,3021320021,BK73
40364347,METROPOLITAN CLUB,Manhattan,American,5/30/19,04N,13,5/30/19,108,4,11401,1081206,1013750001,MN40
40364362,21 CLUB,Manhattan,American,7/26/19,02B,30,,105,4,10400,1034519,1012680023,MN17
40364363,MANHEM CLUB,Bronx,American,8/29/19,10F,7,8/29/19,210,13,16000,2097560,2054860029,BX52
40364373,ISLE OF CAPRI RESTURANT,Manhattan,Italian,10/23/18,02I,11,10/23/18,108,4,11402,1041931,1013950040,MN40
40364389,OLD TOWN BAR & RESTAURANT,Manhattan,American,12/9/19,06D,9,12/9/19,105,2,5200,1016150,1008470034,MN13
40364404,POLISH NATIONAL HOME,Brooklyn,Polish,6/11/19,08C,9,6/11/19,301,33,49900,3338042,3026980020,BK76
40364439,SEVILLA RESTAURANT,Manhattan,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/25/19,06D,13,6/25/19,102,3,7300,1010824,1006110009,MN23
40364443,CRIMINAL COURT BLDG CAFETERIA,Manhattan,American,4/16/19,09B,2,4/16/19,101,1,2900,1079000,1001670001,MN27
40364449,GOTTSCHEER HALL,Queens,German,7/23/19,04H,7,7/23/19,405,30,58900,4083396,4034850001,QN20
40364467,NYAC MAIN DINING ROOM,Manhattan,American,1/7/20,10F,37,1/7/20,105,4,13700,1023750,1010110001,MN17
40364518,7B BAR,Manhattan,American,6/19/19,10F,10,6/19/19,103,2,3200,1005094,1004020034,MN22
40364531,CAFE ATELIER (ART STUDENTS LEAGUE),Manhattan,American,7/12/19,02G,13,7/12/19,105,4,13700,1080846,1010290023,MN17
40364572,DONOHUE'S STEAK HOUSE,Manhattan,Steak,2/13/19,06D,5,2/13/19,108,4,12000,1042358,1013990022,MN40
40364576,TOUT VA BIEN,Manhattan,French,10/9/19,04A,22,10/9/19,104,3,13300,1025226,1010420125,MN15
40364581,JUNIOR'S,Brooklyn,American,1/24/19,10B,12,1/24/19,302,33,1500,3000369,3001490060,BK38
40364668,MARCHIS RESTAURANT,Manhattan,Italian,3/21/19,10B,12,3/21/19,106,2,7000,1081628,1009120026,MN20
40364681,TOWNE CAFE,Brooklyn,American,4/3/19,10D,9,4/3/19,315,48,60600,3204915,3074590007,BK17
40364691,THE GEORGIAN SUITE KITCHEN,Manhattan,Continental,1/14/20,04L,13,1/14/20,,,,,1,
40364715,OLD HOMESTEAD,Manhattan,American,9/16/19,06C,12,9/16/19,104,3,8300,1013042,1007380080,MN13
40364744,NEW PARK PIZZERIA & RESTAURANT,Queens,Pizza/Italian,12/4/19,10F,8,12/4/19,410,32,88400,4294806,4141480033,QN57
40364858,DOUGLASTON CLUB,Queens,American,11/20/19,10B,5,11/20/19,411,19,148300,4168135,4080310001,QN45
40364920,RIZZO'S FINE PIZZA,Queens,Pizza,8/1/19,06D,10,8/1/19,401,22,14900,4011252,4006800044,QN70
