	age	workclass	fnlwgt?	education	edu-num	marital-status	occupation	relationship	race	sex	capital-gain	capital-loss	hrs-per-wk	native-country	income	Bayes Classification
0	25	 Private	226802	11th	7	 Never-married	 Machine-op-inspct	 Own-child	 Black	 Male	0	0	40	 United-States	<=50K.	<=50K.
1	38	 Private	89814	 HS-grad	9	 Married-civ-spouse	 Farming-fishing	 Husband	 White	 Male	0	0	50	 United-States	<=50K.	<=50K.
2	28	 Local-gov	336951	 Assoc-acdm	12	 Married-civ-spouse	 Protective-serv	 Husband	 White	 Male	0	0	40	 United-States	>50K.	<=50K.
3	44	 Private	160323	 Some-college	10	 Married-civ-spouse	 Machine-op-inspct	 Husband	 Black	 Male	7688	0	40	 United-States	>50K.	>50K.
4	18	 ?	103497	 Some-college	10	 Never-married	 ?	 Own-child	 White	 Female	0	0	30	 United-States	<=50K.	<=50K.
5	34	 Private	198693	10th	6	 Never-married	 Other-service	 Not-in-family	 White	 Male	0	0	30	 United-States	<=50K.	<=50K.
6	29	 ?	227026	 HS-grad	9	 Never-married	 ?	 Unmarried	 Black	 Male	0	0	40	 United-States	<=50K.	<=50K.
7	63	 Self-emp-not-inc	104626	 Prof-school	15	 Married-civ-spouse	 Prof-specialty	 Husband	 White	 Male	3103	0	32	 United-States	>50K.	>50K.
8	24	 Private	369667	 Some-college	10	 Never-married	 Other-service	 Unmarried	 White	 Female	0	0	40	 United-States	<=50K.	<=50K.
9	55	 Private	104996	7th-8th	4	 Married-civ-spouse	 Craft-repair	 Husband	 White	 Male	0	0	10	 United-States	<=50K.	<=50K.
10	65	 Private	184454	 HS-grad	9	 Married-civ-spouse	 Machine-op-inspct	 Husband	 White	 Male	6418	0	40	 United-States	>50K.	>50K.
11	36	 Federal-gov	212465	 Bachelors	13	 Married-civ-spouse	 Adm-clerical	 Husband	 White	 Male	0	0	40	 United-States	<=50K.	<=50K.
12	26	 Private	82091	 HS-grad	9	 Never-married	 Adm-clerical	 Not-in-family	 White	 Female	0	0	39	 United-States	<=50K.	<=50K.
13	58	 ?	299831	 HS-grad	9	 Married-civ-spouse	 ?	 Husband	 White	 Male	0	0	35	 United-States	<=50K.	<=50K.
14	48	 Private	279724	 HS-grad	9	 Married-civ-spouse	 Machine-op-inspct	 Husband	 White	 Male	3103	0	48	 United-States	>50K.	>50K.
